index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,సూర్య,soorya
2,"00:00:13,919","00:00:14,269",speaker_0,నంబ,namba
3,"00:00:15,770","00:00:16,839",speaker_0,చంద్ర నంబ,chandhra namba
4,"00:00:16,890","00:00:17,670",speaker_0,రాజను బబ్బా శ్రీ,raajanu babbaa shree
5,"00:00:21,859","00:00:22,210",speaker_0,రాజను,raajanu
6,"00:00:23,519","00:00:23,870",speaker_0,బబ్బా,babbaa
7,"00:00:27,199","00:00:27,399",speaker_0,ఆఆఆ,aaaaaa
8,"00:01:57,689","00:01:58,039",speaker_1,"నీవు,","neevu,"
9,"00:01:58,719","00:01:59,649",speaker_1,నీవు ఏం చేస్తున్నావు,neevu yem chesthunnaavu
10,"00:02:00,000","00:02:00,349",speaker_1,దితి?,dhithi?
11,"00:02:01,079","00:02:01,429",speaker_0,స్వామీ!,svaamee!
12,"00:02:03,090","00:02:03,959",speaker_0,ఎందుకు తెలియదు,yendhuku theliyadhu
13,"00:02:04,040","00:02:04,390",speaker_0,కానీ,kaanee
14,"00:02:05,519","00:02:05,869",speaker_0,హఠాత్తుగా,hataaththugaa
15,"00:02:07,250","00:02:07,900",speaker_0,కామదేవుడు తన,kaamadhevudu thana
16,"00:02:07,980","00:02:08,330",speaker_0,బాణాన్ని,baanaanni
17,"00:02:08,639","00:02:09,180",speaker_0,నా మీద,naa meedha
18,"00:02:11,390","00:02:12,569",speaker_0,ప్రయోగించినట్లు అనిపిస్తోంది.,prayoginchinatlu anipisthondhi.
19,"00:02:14,590","00:02:15,259",speaker_1,కామవాంఛ లోని,kaamavaancha loni
20,"00:02:15,319","00:02:15,669",speaker_1,ఆవేశం,aavesham
21,"00:02:15,879","00:02:16,769",speaker_1,నిన్ను ఇంత దుర్బలంగా,ninnu intha dhurbalangaa
22,"00:02:17,080","00:02:17,430",speaker_1,మార్చేసిందా?,maarchesindhaa?
23,"00:02:18,900","00:02:20,090",speaker_1,ఒక సాధువు సంధ్యావందన,oka saadhuvu sandhyaavandhana
24,"00:02:20,520","00:02:20,870",speaker_1,కర్మను,karmanu
25,"00:02:21,979","00:02:22,829",speaker_1,భగ్నం చేయడానికి,bhagnam cheyadaaniki
26,"00:02:23,039","00:02:23,710",speaker_1,నిన్ను వివశరాలిని,ninnu vivasharaalini
27,"00:02:24,139","00:02:24,489",speaker_1,చేసిందా?,chesindhaa?
28,"00:02:25,659","00:02:26,009",speaker_0,ప్రభూ!,prabhoo!
29,"00:02:27,919","00:02:29,009",speaker_0,నా తండ్రి దక్షుడు,naa thandri dhakshudu
30,"00:02:30,020","00:02:30,909",speaker_0,నాతో పాటు,naatho paatu
31,"00:02:31,639","00:02:32,329",speaker_0,తన పదమూడు,thana padhamoodu
32,"00:02:32,580","00:02:33,250",speaker_0,మంది కుమార్తెల్ని,mandhi kumaarthelni
33,"00:02:33,979","00:02:34,989",speaker_0,మీకే ఇచ్చి వివాహం,meeke ichhi vivaaham
34,"00:02:35,139","00:02:35,489",speaker_0,చేశారు.,cheshaaru.
35,"00:02:36,520","00:02:37,469",speaker_0,మీరు నా సోదరీమణులందరికీ,meeru naa sodhareemanulandharikee
36,"00:02:38,599","00:02:38,949",speaker_0,సంతతినిచ్చి,santhathinichhi
37,"00:02:40,990","00:02:42,400",speaker_0,వారిని పరిపూర్ణుల్ని,vaarini paripoornulni
38,"00:02:42,460","00:02:42,810",speaker_0,చేశారు.,cheshaaru.
39,"00:02:43,840","00:02:44,189",speaker_0,ఏవలన్,yevalan
40,"00:02:46,060","00:02:46,909",speaker_0,నేను మాత్రమే,nenu maathrame
41,"00:02:47,259","00:02:47,609",speaker_0,అభాగ్యురాలిని.,abhaagyuraalini.
42,"00:02:49,530","00:02:50,360",speaker_0,ఇంతవరకు నేను,inthavaraku nenu
43,"00:02:51,289","00:02:52,620",speaker_0,గర్భం దాల్చలేదు.,garbham dhaalchaledhu.
44,"00:02:53,159","00:02:54,509",speaker_0,నా పట్ల ఇంత పక్షపాతం,naa patla intha pakshapaatham
45,"00:02:55,000","00:02:55,349",speaker_0,ఎందుకు,yendhuku
46,"00:02:55,500","00:02:55,900",speaker_0,స్వామీ?,svaamee?
47,"00:02:56,879","00:02:57,629",speaker_0,నేను సంతాన,nenu santhaana
48,"00:02:57,840","00:02:58,189",speaker_0,భాగ్యాన్ని,bhaagyaanni
49,"00:02:58,500","00:02:58,849",speaker_0,కోరుకోవడం,korukovadam
50,"00:02:59,659","00:03:00,009",speaker_0,అనుచితమా?,anuchithamaa?
51,"00:03:01,219","00:03:01,639",speaker_1,కాదు.,kaadhu.
52,"00:03:02,259","00:03:03,090",speaker_1,కానీ సంతానం,kaanee santhaanam
53,"00:03:03,319","00:03:04,829",speaker_1,కోసం ఈ సంధ్యా సమయంలో,kosam ee sandhyaa samayamlo
54,"00:03:05,919","00:03:06,269",speaker_1,సంగమించడం,sangaminchadam
55,"00:03:06,800","00:03:07,150",speaker_1,అనుచితమైనది.,anuchithamainadhi.
56,"00:03:08,770","00:03:09,460",speaker_1,ఎందుకంటే ఈ,yendhukante ee
57,"00:03:09,520","00:03:09,870",speaker_1,సమయంలో,samayamlo
58,"00:03:11,139","00:03:11,949",speaker_1,భూత పిశాచ,bhootha pishaacha
59,"00:03:12,219","00:03:12,569",speaker_1,"ప్రేతాలు,","prethaalu,"
60,"00:03:13,060","00:03:14,810",speaker_1,మాయా రాక్షస గణాలు అన్నీ,maayaa raakshasa ganaalu annee
61,"00:03:15,259","00:03:16,370",speaker_1,తమ ప్రభువు శివునితో,thama prabhuvu shivunitho
62,"00:03:16,620","00:03:16,969",speaker_1,కలిసి,kalisi
63,"00:03:17,840","00:03:19,650",speaker_1,ఆకాశ గమనం చేస్తూ ఉంటాయి.,aakaasha gamanam chesthoo untaayi.
64,"00:03:22,510","00:03:23,180",speaker_1,శాస్త్రానుసారంగా ఈ,shaastha్raanusaarangaa ee
65,"00:03:23,240","00:03:23,590",speaker_1,సమయంలో,samayamlo
66,"00:03:23,919","00:03:25,370",speaker_1,స్త్రీ పురుషుల మధ్య జరిగే,stha్ree purushula madhya jarige
67,"00:03:25,560","00:03:25,909",speaker_1,సంగమం,sangamam
68,"00:03:26,219","00:03:26,569",speaker_1,ఫలితంగా,phalithangaa
69,"00:03:28,689","00:03:29,400",speaker_1,సంగమించే స్త్రీ,sangaminche stha్ree
70,"00:03:29,500","00:03:29,849",speaker_1,గర్భంలో,garbhamlo
71,"00:03:30,159","00:03:30,509",speaker_1,ఏదైనా,yedhainaa
72,"00:03:30,719","00:03:31,580",speaker_1,అసుర శక్తి,asura shakti
73,"00:03:32,750","00:03:33,939",speaker_1,ఆశ్రయం పొందడానికి,aashrayam pondhadaaniki
74,"00:03:34,000","00:03:34,349",speaker_1,ఎంతగానో,yenthagaano
75,"00:03:34,740","00:03:35,090",speaker_1,వీలుంటుంది.,veeluntundhi.
76,"00:03:36,259","00:03:37,060",speaker_1,అందుకే నేను,andhuke nenu
77,"00:03:38,099","00:03:38,460",speaker_1,దితి!,dhithi!
