index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:05,200","00:01:06,060",speaker_0,ఒకే ఒక కథ వినిపించనా సార్?,oke oka katha vinipinchanaa saar?
2,"00:02:08,270","00:02:08,759",speaker_0,పని ఏమీ,pani yemee
3,"00:02:08,810","00:02:09,500",speaker_0,ఇప్పుడు ఎవడు ఉన్నాడా?,ippudu yevadu unnaadaa?
4,"00:02:10,419","00:02:11,139",speaker_0,ఇలా లాభం లేదు,ilaa laabham ledhu
5,"00:02:11,620","00:02:12,849",speaker_0,Digital India కి పని చెప్పాల్సిందే.,Digital India ki pani cheppaalsindhe.
6,"00:02:25,039","00:02:26,349",speaker_0,ఇప్పుడే ఊరంతా దిగిపోయారేంట్రా?,ippude ooranthaa dhigipoyaarentraa?
7,"00:02:34,639","00:02:35,020",speaker_0,ఆహ్!,aah!
8,"00:02:39,159","00:02:39,300",speaker_0,ష్..,sh..
9,"00:02:40,139","00:02:42,590",speaker_0,"సచ్చేక ఆ రౌడీల సంగతి పక్కన పెట్టు, బ్రతికుండగా","sachheka aa raudeela sangathi pakkana pettu, brathikundagaa"
10,"00:02:42,900","00:02:44,310",speaker_0,రెండు అడుగులు దొరకట్లేదు ఈ దేశంలో.,rendu adugulu dhorakatledhu ee dheshamlo.
11,"00:02:48,090","00:02:48,769",speaker_0,రేయ్ ఎవడ్రా,rey yevadraa
12,"00:02:48,819","00:02:49,590",speaker_0,ఇక్కడ light వేసుకొచ్చింది.,ikkada light vesukochhindhi.
13,"00:02:51,060","00:02:51,989",speaker_0,పళ్ళు మూసుకుని పోయేదానికే,pallu moosukuni poyedhaanike
14,"00:02:52,199","00:02:52,979",speaker_0,అంత వెలుతురు అవసరమా?,antha veluthuru avasaramaa?
15,"00:02:55,310","00:02:56,080",speaker_0,ఆహ్ ఆహ్ ఆహ్,aah aah aah
16,"00:02:56,319","00:02:57,159",speaker_1,అరేయ్ ఎగరా లే,arey yegaraa le
17,"00:02:57,210","00:02:57,699",speaker_0,అరేయ్ అరేయ్,arey arey
18,"00:02:58,330","00:02:59,149",speaker_0,కాళ్ళు అడుగులు,kaallu adugulu
19,"00:02:59,199","00:03:00,009",speaker_0,ఎక్కడికో పరుగెత్తుతున్నారు,yekkadiko parugeththuthunnaaru
20,"00:03:00,639","00:03:01,000",speaker_1,రేయ్ ముసుకోండ్రా,rey musukondraa
21,"00:03:01,269","00:03:01,368",speaker_1,రా,raa
22,"00:03:01,419","00:03:01,919",speaker_0,టైమ్ ఇవ్వండ్రా,time ivvandraa
23,"00:03:02,060","00:03:02,860",speaker_1,వద్దాం కనే ఒక పందెం,vadhdhaam kane oka pandhem
24,"00:03:03,439","00:03:04,479",speaker_0,మీది ఎంతరా ఇంత పొడుగునా?,meedhi yentharaa intha podugunaa?
25,"00:03:05,280","00:03:05,379",speaker_1,రేయ్,rey
26,"00:03:06,379","00:03:07,949",speaker_1,దాము అక్కడికి ఇంకొంత సాయిల్ ఉన్నాయ్ ఇవ్వురా,dhaamu akkadiki inkontha soil unnaay ivvuraa
27,"00:03:08,060","00:03:08,240",speaker_0,అదా,adhaa
28,"00:03:26,659","00:03:26,919",speaker_0,సదా,sadhaa
29,"00:03:27,360","00:03:28,560",speaker_0,నాకు ఇద్దరు పెళ్ళాళ్ళు అయిపోయారు,naaku idhdharu pellaallu ayipoyaaru
30,"00:03:29,120","00:03:29,219",speaker_1,సదా,sadhaa
31,"00:03:29,159","00:03:31,039",speaker_0,మా ఇంట్లో తిన్నప్పుడు నీకు అసలు పెళ్లి కాలేదని చెప్పావు,maa intlo thinnappudu neeku asalu pelli kaaledhani cheppaavu
32,"00:03:31,090","00:03:31,189",speaker_1,సదా,sadhaa
33,"00:03:31,439","00:03:31,539",speaker_0,ఏం చెప్పా?,yem cheppaa?
34,"00:03:31,819","00:03:32,259",speaker_1,సదా,sadhaa
35,"00:03:32,620","00:03:33,580",speaker_0,పెళ్లి కాలేదని చెప్పారా?,pelli kaaledhani cheppaaraa?
36,"00:03:33,960","00:03:34,060",speaker_1,ఆ,aa
37,"00:03:33,979","00:03:35,039",speaker_0,పెళ్లి కాలేదని చెప్పావా?,pelli kaaledhani cheppaavaa?
