index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,ఓం,om
2,"00:00:16,940","00:00:17,290",speaker_0,నమో,namo
3,"00:00:19,519","00:00:19,870",speaker_0,నారాయణ.,naaraayana.
4,"00:01:19,359","00:01:21,180",speaker_1,ఏయ్ ఆ రేడియో ఆపు. అసలే tension లో ఉంటే.,yey aa radio aapu. asale tension lo unte.
5,"00:01:22,099","00:01:23,379",speaker_2,పాపం ఒకరు రెండు ఏం చేసి ఉంటారు సార్?,paapam okaru rendu yem chesi untaaru saar?
6,"00:01:23,599","00:01:24,140",speaker_1,నాకేం తెలుసు?,naakem thelusu?
7,"00:01:35,719","00:01:36,069",speaker_1,ఏంటి?,yenti?
8,"00:01:47,620","00:01:48,599",speaker_1,రేయ్ ఎవడ్రా వాడు?,rey yevadraa vaadu?
9,"00:01:59,849","00:02:00,319",speaker_2,నమస్తే సార్.,namasthe saar.
10,"00:02:00,980","00:02:01,719",speaker_2,నా పేరు ఫణీంద్ర.,naa peru phaneendhra.
11,"00:02:02,260","00:02:03,549",speaker_2,ఈ area కి కొత్తగా వచ్చిన SI ని.,ee area ki koththagaa vachhina SI ni.
12,"00:02:04,019","00:02:04,649",speaker_1,ఎందుకు వచ్చినావ్?,yendhuku vachhinaav?
13,"00:02:05,040","00:02:07,489",speaker_2,అదే ఒక college student ని మీ మనుషులు kidnap చేశారని...,adhe oka college student ni mee manushulu kidnap cheshaarani...
14,"00:02:12,060","00:02:12,909",speaker_2,అదే తీసుకొచ్చేశారని,adhe theesukochheshaarani
15,"00:02:13,500","00:02:15,699",speaker_2,వాళ్ళ అమ్మ complaint చేసింది. వాడి పేరు,vaalla amma complaint chesindhi. vaadi peru
16,"00:02:16,300","00:02:16,769",speaker_2,ఆ సిద్ధార్థ్.,aa sidhdhaarth.
17,"00:02:18,180","00:02:20,120",speaker_2,మీరు వాడిని ఏమైనా తీసుకుని వచ్చారా సార్?,meeru vaadini yemainaa theesukuni vachhaaraa saar?
18,"00:02:24,740","00:02:25,609",speaker_2,ఆ అబబబ అంటే,aa abababa ante
19,"00:02:26,900","00:02:28,699",speaker_2,అంత serious అవ్వాల్సిన అవసరం లేదు సార్.,antha serious avvaalsina avasaram ledhu saar.
20,"00:02:29,180","00:02:30,599",speaker_2,జస్ట్ routine enquiry అంతే.,just routine enquiry anthe.
21,"00:02:31,300","00:02:31,560",speaker_2,అది,adhi
22,"00:02:32,219","00:02:33,189",speaker_2,ఓహ్ ఎవడ?,oh yevada?
23,"00:02:38,530","00:02:38,929",speaker_2,బేసిక్ గా,basic gaa
24,"00:02:38,979","00:02:39,989",speaker_2,నేను చాలా friendly,nenu chaalaa friendly
25,"00:02:40,300","00:02:40,650",speaker_2,police,police
26,"00:02:40,789","00:02:41,139",speaker_2,sir.,sir.
