index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:14,480","00:01:14,829",speaker_0,వీడో,veedo
2,"00:01:17,570","00:01:18,939",speaker_0,toxic అబ్బాయి.,toxic abbaayi.
3,"00:01:25,040","00:01:25,390",speaker_0,వీడో,veedo
4,"00:01:28,130","00:01:31,359",speaker_0,toxic అబ్బాయి.,toxic abbaayi.
5,"00:01:35,260","00:01:35,609",speaker_0,వీడో,veedo
6,"00:01:38,100","00:01:40,260",speaker_0,toxic అబ్బాయి.,toxic abbaayi.
7,"00:01:46,250","00:01:47,480",speaker_0,చికెన్ దో,chicken dho
8,"00:01:49,770","00:01:51,959",speaker_0,చచ్చింది అమ్మాయి.,chachhindhi ammaayi.
9,"00:01:55,019","00:01:55,869",speaker_1,అచ్చా కొడతావ్రా,achhaa kodathaavraa
10,"00:01:56,140","00:01:56,489",speaker_1,చెల్లీ,chellee
11,"00:01:59,340","00:01:59,859",speaker_0,వీడో toxic,veedo toxic
12,"00:02:00,500","00:02:00,849",speaker_0,అబ్బాయి.,abbaayi.
13,"00:02:01,260","00:02:03,929",speaker_1,"మీరు చేసే comments కి, వేషాలకి అమ్మలకి ఇంకెంత బాధగా ఉంటుందో తెలుసారా?","meeru chese comments ki, veshaalaki ammalaki inkentha baadhagaa untundho thelusaaraa?"
14,"00:02:04,719","00:02:05,349",speaker_1,letters ఇవ్వు.,letters ivvu.
15,"00:02:06,200","00:02:07,459",speaker_1,ఇప్పుడైనా అమ్మాయి జోలికి వెళ్తావా?,ippudainaa ammaayi joliki velthaavaa?
16,"00:02:07,519","00:02:08,219",speaker_0,ఇంకేం అమ్మాయి నీడిపి-,inkem ammaayi needipi-
17,"00:02:10,939","00:02:11,289",speaker_2,నెల్లూరియా?,nellooriyaa?
18,"00:02:11,860","00:02:12,020",speaker_1,ఆ,aa
19,"00:02:12,180","00:02:12,520",speaker_2,పేరు?,peru?
20,"00:02:13,189","00:02:13,879","speaker_1, speaker_2",బాబు ఊరు?,baabu ooru?
21,"00:02:14,219","00:02:14,560",speaker_1,ఊరెందుకు?,oorendhuku?
22,"00:02:14,900","00:02:15,889",speaker_2,ఆ ఊరికే అడిగా.,aa oorike adigaa.
23,"00:02:17,390","00:02:19,379",speaker_0,గంట పడిందో,ganta padindho
24,"00:02:19,580","00:02:20,289",speaker_0,తన privacy,thana privacy
25,"00:02:20,900","00:02:21,569",speaker_0,ని piracy,ni piracy
26,"00:02:22,219","00:02:22,969",speaker_0,చేసి అందరికీ,chesi andharikee
27,"00:02:23,620","00:02:24,889",speaker_0,ఓ show నే వేస్తాడే.,o show ne vesthaade.
28,"00:02:27,800","00:02:28,629",speaker_0,గంట పడిందో,ganta padindho
29,"00:02:30,099","00:02:30,769",speaker_0,తన privacy,thana privacy
30,"00:02:31,419","00:02:32,090",speaker_0,ని piracy,ni piracy
31,"00:02:32,719","00:02:33,469",speaker_0,చేసి అందరికీ,chesi andharikee
32,"00:02:34,099","00:02:35,409",speaker_0,ఓ show నే వేస్తాడే.,o show ne vesthaade.
33,"00:02:39,300","00:02:39,599",speaker_3,Hello,Hello
34,"00:02:40,819","00:02:41,060",speaker_4,Hello,Hello
35,"00:02:41,240","00:02:42,189",speaker_3,ఏంటి ఇంకా money పంపించలేదు?,yenti inkaa money pampinchaledhu?
36,"00:02:43,240","00:02:44,389",speaker_3,గంటలో amount credit అవకపోతే,gantalo amount credit avakapothe
37,"00:02:47,039","00:02:48,030",speaker_3,నీ video viral అయిపోతుంది,nee video viral ayipothundhi
38,"00:02:48,900","00:02:49,180",speaker_4,Okay,Okay
39,"00:02:53,300","00:02:53,939",speaker_3,Call trace అయిందా?,Call trace ayindhaa?
40,"00:02:54,000","00:02:55,280",speaker_1,"Mansion Heights, Jubilee Hills.","Mansion Heights, Jubilee Hills."
41,"00:02:57,039","00:02:57,389",speaker_3,Bannerjee!,Bannerjee!
42,"00:02:58,120","00:02:59,259",speaker_3,డబ్బులు తీసుకుని phone ఎత్తట్లేదా?,dabbulu theesukuni phone yeththatledhaa?
43,"00:02:59,900","00:03:00,250",speaker_0,వీడో,veedo
44,"00:03:02,650","00:03:04,340",speaker_0,toxic అబ్బాయి.,toxic abbaayi.
45,"00:03:05,230","00:03:05,599",speaker_0,చికెన్ దో,chicken dho
46,"00:03:05,650","00:03:07,189",speaker_1,ఇన్ని flats లో వాడు ఎలా సార్ పట్టుకునేది?,inni flats lo vaadu yelaa saar pattukunedhi?
47,"00:03:07,560","00:03:10,439",speaker_3,Simple. ప్రతి flat కి వెళ్ళి వాడు call చేసిన number కి phone చేయండి.,Simple. prathi flat ki velli vaadu call chesina number ki phone cheyandi.
48,"00:03:11,620","00:03:12,460",speaker_3,అక్కడ ring అవ్వగానే,akkada ring avvagaane
49,"00:03:13,300","00:03:13,840",speaker_3,inform చేయండి.,inform cheyandi.
50,"00:03:14,539","00:03:16,759",speaker_1,పొద్దున్న బుజ్జి bathroom లో fix చేసిన camera footage చూపెట్టు.,podhdhunna bujji bathroom lo fix chesina camera footage choopettu.
51,"00:03:17,000","00:03:18,719",speaker_2,కొత్త application కాదండి already apply చేశాను.,koththa application kaadhandi already apply cheshaanu.
52,"00:03:19,530","00:03:20,400",speaker_2,తేజస్వి తోట.,thejasvi thota.
53,"00:03:23,759","00:03:24,360",speaker_3,మీ పేరు ఏంటి?,mee peru yenti?
54,"00:03:24,860","00:03:25,479",speaker_2,తేజస్వి తోట.,thejasvi thota.
55,"00:03:26,340","00:03:26,989",speaker_2,Banerjee పంపించాడా?,Banerjee pampinchaadaa?
56,"00:03:27,620","00:03:28,250",speaker_2,passport వచ్చిందా?,passport vachhindhaa?
57,"00:03:31,469","00:03:32,199",speaker_1,You bloody,You bloody
58,"00:03:37,479","00:03:37,829",speaker_2,ఎవరా?,yevaraa?
59,"00:03:52,960","00:03:53,310",speaker_2,ఆ,aa
60,"00:04:34,779","00:04:36,220",speaker_1,foreign నుంచి ఎప్పుడొచ్చావ్ పాపా?,foreign nunchi yeppudochhaav papa?
61,"00:04:36,699","00:04:37,970",speaker_1,చెప్పుంటే station కి వచ్చుండేవాడిగా.,cheppunte station ki vachhundevaadigaa.
62,"00:04:39,079","00:04:40,510",speaker_2,చెప్తే అది surprise ఎందుకవుతుంది,chepthe adhi surprise yendhukavuthundhi
63,"00:04:41,079","00:04:41,899",speaker_2,ఎర్రి పప్ప.,yerri pappa.
64,"00:04:42,560","00:04:42,720",speaker_2,సరే,sare
65,"00:04:43,160","00:04:43,710",speaker_2,నన్ను ఆశీర్వదించండి.,nannu aasheervadhinchandi.
66,"00:04:49,019","00:04:49,319","speaker_1, speaker_2",పాపా పప్పా,papa pappaa
67,"00:04:49,370","00:04:50,660",speaker_1,ముందు అమ్మ ఆశీర్వాదం తీసుకో.,mundhu amma aasheervaadham theesuko.
68,"00:04:52,149","00:04:52,750",speaker_1,ఆ చూడు,aa choodu
69,"00:04:52,800","00:04:53,218",speaker_1,రత్న,rathna
70,"00:04:54,160","00:04:56,410",speaker_1,మన పాపా foreign లో ఉన్న చదువులన్నీ చదివి వచ్చింది.,mana papa foreign lo unna chadhuvulannee chadhivi vachhindhi.
71,"00:04:58,000","00:04:59,230",speaker_1,ఇక పెళ్లి చేసి అత్తారింటికి,ika pelli chesi aththaarintiki
72,"00:04:59,420","00:04:59,770",speaker_1,పంపించేస్తే,pampinchesthe
73,"00:05:01,420","00:05:02,070",speaker_1,ఇంటి ఇల్లాలుగా,inti illaalugaa
74,"00:05:02,199","00:05:03,510",speaker_1,అక్కడ సేవ చేసుకుంటూ బతికేస్తుంది.,akkada seva chesukuntoo bathikesthundhi.
75,"00:05:04,279","00:05:04,939",speaker_1,ఏ పాపా?,ye papa?
