index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:09,939","00:00:11,990",speaker_0,పొగ త్రాగటం మద్యం సేవించడం ఆరోగ్యానికి హానికరం.,poga thraagatam madhyam sevinchadam aarogyaaniki haanikaram.
2,"00:00:12,619","00:00:14,539",speaker_0,Smoking and drinking alcohol is injurious to health.,Smoking and drinking alcohol is injurious to health.
3,"00:02:54,680","00:02:55,530",speaker_2,ఇదే sir.,idhe sir.
4,"00:02:57,340","00:02:58,609",speaker_2,ఎవడో కొట్టి సముద్రంలో పడేసినట్టున్నాడు,yevado kotti samudhramlo padesinattunnaadu
5,"00:02:58,879","00:02:59,060",speaker_2,sir.,sir.
6,"00:03:00,099","00:03:01,020",speaker_2,బాగా blood కూడా వచ్చింది.,baagaa blood koodaa vachhindhi.
7,"00:03:02,780","00:03:02,879",speaker_1,ఏయ్,yey
8,"00:03:02,829","00:03:03,939",speaker_2,ఆగా మాకు ఇప్పుడి video ఏంటి?,aagaa maaku ippudi video yenti?
9,"00:03:07,319","00:03:08,699",speaker_1,ఇక్కడ ఎవడ్రా పోలీసులకు phone చేసింది?,ikkada yevadraa poleesulaku phone chesindhi?
10,"00:03:09,000","00:03:09,489",speaker_3,ఒక responsible,oka responsible
11,"00:03:09,639","00:03:11,469",speaker_3,citizen గా feel అయ్యి నేనే చేశాను sir.,citizen gaa feel ayyi nene cheshaanu sir.
12,"00:03:13,240","00:03:13,590",speaker_1,ఉమ్,um
13,"00:03:16,319","00:03:16,778",speaker_1,రేయ్ వాళ్ళని,rey vaallani
14,"00:03:16,829","00:03:17,250",speaker_1,లేపండ్రా.,lepandraa.
15,"00:03:17,300","00:03:17,650",speaker_3,చచ్చిపోయినోళ్ళని,chachhipoyinollani
16,"00:03:17,769","00:03:18,109",speaker_3,ఎలా లేస్తారు,yelaa lesthaaru
17,"00:03:18,599","00:03:18,699",speaker_3,sir?,sir?
18,"00:03:18,620","00:03:19,680",speaker_1,తాగినోళ్ళు లేస్తారు sir.,thaaginollu lesthaaru sir.
19,"00:03:19,740","00:03:21,659",speaker_2,బాగా తాగి పడుకున్నారు. లేగండి. ఏయ్ లే.,baagaa thaagi padukunnaaru. legandi. yey le.
20,"00:03:22,219","00:03:23,799",speaker_3,అంటే వీళ్ళు చచ్చిపోలేదా? అబద్ధం ఆరుకుతోంది ఏంటి sir?,ante veellu chachhipoledhaa? abadhdham aarukuthondhi yenti sir?
21,"00:03:23,900","00:03:25,750",speaker_1,ఆవకాయ పచ్చడి packet job లో పెట్టుకొని చచ్చారు ఇద్దరు.,aavakaaya pachhadi packet job lo pettukoni chachhaaru idhdharu.
22,"00:03:26,020","00:03:26,340",speaker_3,ఆవకాయ?,aavakaaya?
23,"00:03:26,539","00:03:26,889",speaker_1,ఆ.,aa.
24,"00:03:27,120","00:03:27,919",speaker_1,రేయ్ లేగండి.,rey legandi.
25,"00:03:29,780","00:03:30,060",speaker_1,ఏయ్.,yey.
26,"00:03:32,099","00:03:33,150",speaker_1,రేయ్ ఇంకా ఉగుతున్నావేంట్రా?,rey inkaa uguthunnaaventraa?
27,"00:03:34,879","00:03:35,599",speaker_1,ఏయ్ నువ్వు ఎక్కడికి రా?,yey nuvvu yekkadiki raa?
28,"00:03:36,000","00:03:36,800",speaker_1,ఏయ్ బయట నిల్చా.,yey bayata nilchaa.
29,"00:03:38,159","00:03:38,599",speaker_1,ఎవర్రా మీరు?,yevarraa meeru?
30,"00:03:39,580","00:03:40,180",speaker_4,మా అబ్బాయి sir.,maa abbaayi sir.
31,"00:03:40,580","00:03:41,099",speaker_3,మా నాన్న sir.,maa naanna sir.
32,"00:03:41,539","00:03:42,269",speaker_1,తాగి ఎక్కడ పడిపోయారేంట్రా?,thaagi yekkada padipoyaarentraa?
33,"00:03:42,960","00:03:44,030",speaker_3,Family problem sir.,Family problem sir.
34,"00:03:44,620","00:03:45,300",speaker_4,Love problem sir.,Love problem sir.
35,"00:03:46,319","00:03:49,000",speaker_1,ఈ age లో నీకు family problems ఉండాలి. వాడికి love problems ఉండాలి.,ee age lo neeku family problems undaali. vaadiki love problems undaali.
36,"00:03:49,280","00:03:50,669",speaker_1,సంబంధం లేకుండా reverse లో చెప్తున్నారేంట్రా?,sambandham lekundaa reverse lo chepthunnaarentraa?
37,"00:03:50,979","00:03:51,419",speaker_1,ఆ.,aa.
38,"00:03:52,329","00:03:53,159",speaker_3,అదే sir మా problem.,adhe sir maa problem.
39,"00:03:54,419","00:03:55,629",speaker_1,జరిగింది ఏది అర్థం అయ్యేలా చెప్తారా?,jarigindhi yedhi artham ayyelaa chepthaaraa?
40,"00:03:57,080","00:03:58,409",speaker_4,bottle బాగా తడిసిపోయాయి sir.,bottle baagaa thadisipoyaayi sir.
41,"00:03:58,800","00:04:00,759",speaker_3,ఒ రెండు నిమిషాలు ఆరే gap ఇస్తే ఎక్కింది దిగుద్ది.,o rendu nimishaalu aare gap isthe yekkindhi dhigudhdhi.
42,"00:04:01,060","00:04:01,889",speaker_1,Station కి వెళ్లి ఆరబెట్టుకో.,Station ki velli aarabettuko.
43,"00:04:02,360","00:04:02,599",speaker_1,పదా.,padhaa.
44,"00:04:02,680","00:04:03,019",speaker_3,పదండి.,padhandi.
45,"00:04:04,780","00:04:05,560",speaker_1,ఆ Dilip గాడు దొరికాడా?,aa Dilip gaadu dhorikaadaa?
46,"00:04:05,840","00:04:07,069",speaker_2,ఆ trace చేస్తున్నాం sir.,aa trace chesthunnaam sir.
47,"00:04:07,300","00:04:08,389",speaker_2,"ఒక two, three hours లో దొరికేస్తాడు.","oka two, three hours lo dhorikesthaadu."
48,"00:04:08,439","00:04:08,879",speaker_1,దొరకాలి.,dhorakaali.
49,"00:04:09,379","00:04:10,900",speaker_1,Solid payment అందింది వాణ్ని పట్టుకోమని.,Solid payment andhindhi vaanni pattukomani.
50,"00:04:11,780","00:04:12,819",speaker_1,payment ముఖ్యం బిడ్డలు.,payment mukhyam biddalu.
51,"00:04:13,120","00:04:13,549",speaker_2,Yes sir.,Yes sir.
52,"00:04:13,599","00:04:13,949",speaker_1,ఊ.,oo.
53,"00:04:21,889","00:04:22,199",speaker_1,కూర్చోండి.,koorchondi.
54,"00:04:25,259","00:04:27,610",speaker_1,మీరు చేసిన పనికి police station తీసుకురావలసిన అవసరం లేదురా.,meeru chesina paniki police station theesukuraavalasina avasaram ledhuraa.
55,"00:04:27,920","00:04:28,020",speaker_3,ఆ.,aa.
56,"00:04:28,339","00:04:29,430",speaker_1,కానీ ఎందుకు తీసుకువచ్చానో తెలుసా?,kaanee yendhuku theesukuvachhaano thelusaa?
57,"00:04:29,629","00:04:29,730",speaker_3,ఆ.,aa.
58,"00:04:30,139","00:04:31,279",speaker_1,"ఈ age లో నీకు love problem,","ee age lo neeku love problem,"
59,"00:04:32,319","00:04:33,270",speaker_1,వాడికి family problem,vaadiki family problem
60,"00:04:33,600","00:04:34,710",speaker_1,చాలా interesting గా అనిపించింది.,chaalaa interesting gaa anipinchindhi.
61,"00:04:35,540","00:04:36,730",speaker_1,ఈ మధ్య నేను ఒక novel రాస్తున్నాను.,ee madhya nenu oka novel raasthunnaanu.
