index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:42,579","00:01:42,929",speaker_0,ఉత్తరాన,uththaraana
2,"00:01:51,900","00:01:52,629",speaker_0,ఉన్న చెమ్మాలలో,unna chemmaalalo
3,"00:01:53,140","00:01:53,489",speaker_0,మంటలు,mantalu
4,"00:01:53,700","00:01:54,049",speaker_0,చల్లారాక,challaaraaka
5,"00:01:56,109","00:01:56,879",speaker_0,దక్షిణాదిలో ఉన్న,dhakshinaadhilo unna
6,"00:01:56,939","00:01:57,289",speaker_0,కాన్సస్,kaansas
7,"00:01:57,579","00:01:58,309",speaker_0,లో కుట్రలు,lo kutralu
8,"00:01:58,500","00:01:58,849",speaker_0,తగ్గాక,thaggaaka
9,"00:02:00,420","00:02:01,669",speaker_0,తూర్పున ఉన్న కేకులపాలెంలో,thoorpuna unna kekulapaalemlo
10,"00:02:02,500","00:02:02,849",speaker_0,అరాచకాలు,araachakaalu
11,"00:02:03,379","00:02:03,729",speaker_0,అంతమయ్యాక,anthamayyaaka
12,"00:02:05,730","00:02:06,519",speaker_0,పడమరలో ఉన్న,padamaralo unna
13,"00:02:06,680","00:02:07,589",speaker_0,జంగ్లీ పట్టణంలో,janglee pattanamlo
14,"00:02:07,840","00:02:08,609",speaker_0,జరిగిన యదార్థ,jarigina yadhaartha
15,"00:02:09,000","00:02:09,349",speaker_0,సంఘటనే,sanghatane
16,"00:02:10,500","00:02:11,090",speaker_0,ఈ కథ.,ee katha.
17,"00:02:34,170","00:02:34,669",speaker_1,కిత్నా దేర్,kithnaa dher
18,"00:02:34,719","00:02:36,000",speaker_1,దేఖోగే? శురూ కరో.,dhekhoge? shuroo karo.
19,"00:02:49,659","00:02:49,879",speaker_0,అన్న,anna
20,"00:02:51,080","00:02:51,740",speaker_0,వద్దు అన్న వద్దు.,vadhdhu anna vadhdhu.
21,"00:02:52,580","00:02:53,699",speaker_0,ఈ విషయం నారాయణకు తెలిస్తే,ee vishayam naaraayanaku thelisthe
22,"00:02:54,389","00:02:55,030",speaker_0,ఎవర్నీ బతకనియ్యడు.,yevarnee bathakaniyyadu.
23,"00:02:56,219","00:02:58,079",speaker_1,క్యా బోల్ రహా హై? క్యా హో రహా హై? కుచ్ ప్రాబ్లం హై క్యా?,kyaa bol rahaa hai? kyaa ho rahaa hai? kuch praablam hai kyaa?
24,"00:02:58,159","00:02:59,310",speaker_0,లే నోలు ముయ్యద్దలా.,le nolu muyyadhdhalaa.
25,"00:03:00,180","00:03:01,750",speaker_0,చాల్. ఈ బ్యాగ్ నిండా డబ్బులున్నాయి.,chaal. ee badge nindaa dabbulunnaayi.
26,"00:03:02,080","00:03:02,789",speaker_0,ఇది మీరు తీసుకుని,idhi meeru theesukuni
27,"00:03:03,400","00:03:05,860",speaker_0,MLA టికెట్ నాకే ఇత్తర్. ప్లీజ్ సర్ ప్లీజ్.,MLA ticket naake iththar. please sir please.
28,"00:03:17,699","00:03:18,669",speaker_1,ఏందన్నా నువ్వు ఒప్పుకునేది?,yendhannaa nuvvu oppukunedhi?
29,"00:03:19,819","00:03:20,560",speaker_1,నారాయణ ఎక్కడ?,naaraayana yekkada?
30,"00:03:21,539","00:03:21,889",speaker_1,నారాయణ!,naaraayana!
31,"00:03:24,240","00:03:25,419",speaker_1,ఏ నారాయణ నారాయణ కోనే?,ye naaraayana naaraayana kone?
32,"00:03:38,199","00:03:39,659",speaker_0,రెండో ప్రపంచ యుద్ధం,rendo prapancha yudhdham
33,"00:03:40,370","00:03:40,900",speaker_0,ఆపినది మా,aapinadhi maa
34,"00:03:40,979","00:03:42,430",speaker_0,తుట్ట కులం. ఈ దేశానికి,thutta kulam. ee dheshaaniki
35,"00:03:42,840","00:03:43,189",speaker_0,స్వాతంత్రం,svaathanthram
36,"00:03:43,560","00:03:43,909",speaker_0,తెచ్చినది,thechhinadhi
37,"00:03:44,199","00:03:45,019",speaker_0,మా తుట్ట కులం.,maa thutta kulam.
38,"00:03:45,419","00:03:46,109",speaker_0,మొన్న కరోనాకి,monna karonaaki
39,"00:03:46,400","00:03:46,750",speaker_0,వ్యాక్సిన్,vyaaksin
40,"00:03:46,900","00:03:47,250",speaker_0,కనిపెట్టింది,kanipettindhi
41,"00:03:47,620","00:03:48,919",speaker_0,కూడా మా తుట్ట కులం.,koodaa maa thutta kulam.
42,"00:03:49,560","00:03:50,349",speaker_0,నాలుగు వందల,naalugu vandhala
43,"00:03:50,599","00:03:54,189",speaker_0,ఏళ్ళ చరిత్ర ఉన్న నా తుట్ట కులం గురించి బుక్కు రాయమంటే,yella charithra unna naa thutta kulam gurinchi bukku raayamante
44,"00:03:55,139","00:03:55,909",speaker_0,రెండు పేజీలే,rendu pejeele
45,"00:03:56,080","00:03:56,430",speaker_0,రాస్తావ్,raasthaav
46,"00:03:56,609","00:03:59,039",speaker_0,రా. అన్న! ఆ ఇక్కడ ఫస్ట్ పేజీ మొత్తం వాడి పేరే రాసుకున్నాడు.,raa. anna! aa ikkada first page moththam vaadi pere raasukunnaadu.
47,"00:04:07,340","00:04:07,689",speaker_0,అన్న!,anna!
48,"00:04:09,599","00:04:11,569",speaker_0,వేరే కులముల రక్తం మన కులంలో కలుస్తుందన్నా!,vere kulamula raktam mana kulamlo kalusthundhannaa!
49,"00:04:14,930","00:04:15,810",speaker_0,నీకెంత ధైర్యం,neekentha dhairyam
50,"00:04:15,860","00:04:16,210",speaker_0,ఉంటే,unte
51,"00:04:16,680","00:04:18,810",speaker_0,తుట్ట కులం వాడికి రక్తం ఇస్తావరా?,thutta kulam vaadiki raktam isthaavaraa?
52,"00:04:23,560","00:04:24,350",speaker_0,తుట్ట కులంలో,thutta kulamlo
53,"00:04:24,500","00:04:24,939",speaker_0,పుట్టి,putti
54,"00:04:26,079","00:04:28,010",speaker_0,పక్క కులం వాడి రక్తం తీసుకుంటావారా?,pakka kulam vaadi raktam theesukuntaavaaraa?
55,"00:04:33,429","00:04:33,789",speaker_0,నారాయణ అన్న,naaraayana anna
56,"00:04:33,839","00:04:34,199",speaker_0,చూడన్నా!,choodannaa!
57,"00:04:34,740","00:04:36,629",speaker_0,వీడెంత పని చేసిండో. సూసైడ్ చేసుకుందామని,veedentha pani chesindo. suicide chesukundhaamani
58,"00:04:36,839","00:04:37,870",speaker_0,చూస్తున్నాడు. ఏమైందిరా?,choosthunnaadu. yemaindhiraa?
59,"00:04:39,560","00:04:40,570",speaker_0,మన తుట్ట కులంలో,mana thutta kulamlo
60,"00:04:40,740","00:04:41,590",speaker_0,పుట్టి సూసైడ్,putti suicide
61,"00:04:41,839","00:04:42,180",speaker_0,ఏంట్రా?,yentraa?
62,"00:04:42,620","00:04:43,270",speaker_0,నేను లేదనుకున్నావా?,nenu ledhanukunnaavaa?
63,"00:04:44,319","00:04:44,759",speaker_0,చెప్పవా?,cheppavaa?
64,"00:04:46,800","00:04:47,199",speaker_0,చెప్పరా.,chepparaa.
65,"00:04:47,959","00:04:51,270",speaker_0,చెప్పు. ఏం జరిగిందో చెప్పు. నేను వేరే కులం అమ్మాయిని ప్రేమించానన్నా.,cheppu. yem jarigindho cheppu. nenu vere kulam ammaayini preminchaanannaa.
66,"00:04:54,759","00:04:55,530",speaker_0,తుట్ట కులంలో,thutta kulamlo
67,"00:04:55,759","00:04:56,110",speaker_0,పుట్టి,putti
68,"00:04:56,540","00:04:57,689",speaker_0,పక్క కులం అమ్మాయిని,pakka kulam ammaayini
69,"00:04:57,920","00:04:58,570",speaker_0,లవ్ చేస్తావా?,love chesthaavaa?
70,"00:04:59,279","00:04:59,629",speaker_0,ఛీ.,chee.
71,"00:05:04,740","00:05:06,610",speaker_0,మన తుట్ట కులం ఒక ఎమోషన్.,mana thutta kulam oka emotion.
72,"00:05:07,399","00:05:08,890",speaker_0,మన తుట్ట కులం statue,mana thutta kulam statue
73,"00:05:09,180","00:05:09,530",speaker_0,అంటే,ante
74,"00:05:09,779","00:05:10,470",speaker_0,ఒక సెన్సేషన్.,oka sensation.
75,"00:05:11,800","00:05:12,510",speaker_0,మన ప్రజలకు,mana prajalaku
76,"00:05:12,800","00:05:13,550",speaker_0,ఒక రెవల్యూషన్.,oka revolution.
77,"00:05:17,579","00:05:18,229",speaker_0,ఒక్కప్పుడు మన,okkappudu mana
78,"00:05:18,279","00:05:18,629",speaker_0,ఎవరమ్.,yevaram.
79,"00:05:19,609","00:05:20,569",speaker_0,"వీరులం, శూరులం,","veerulam, shoorulam,"
80,"00:05:20,720","00:05:21,070",speaker_0,ధీరులం.,dheerulam.
81,"00:05:21,459","00:05:22,270",speaker_0,ఒక్క మాటలో,okka maatalo
82,"00:05:22,480","00:05:22,830",speaker_0,చెప్పాలంటే,cheppaalante
83,"00:05:24,259","00:05:24,939",speaker_0,గాంట్లు వించే,gaantlu vinche
84,"00:05:25,139","00:05:25,490",speaker_0,పులులం.,pululam.
85,"00:05:29,759","00:05:30,810",speaker_0,మరి ఇప్పుడు ఎవరమ్?,mari ippudu yevaram?
86,"00:05:32,929","00:05:34,439",speaker_0,ముఖాలు చూసుకుంటారేంట్రా.,mukhaalu choosukuntaarentraa.
87,"00:05:35,100","00:05:36,910",speaker_0,ఇప్పుడు కూడా అదే. ఎప్పుడికైనా,ippudu koodaa adhe. yeppudikainaa
88,"00:05:37,459","00:05:38,180",speaker_0,కూడా అదే.,koodaa adhe.
89,"00:05:40,579","00:05:42,330",speaker_0,అసలు మన తుట్ట కులం లేదంటే,asalu mana thutta kulam ledhante
90,"00:05:43,079","00:05:43,670",speaker_0,ఈ దేశానికి,ee dheshaaniki
91,"00:05:44,500","00:05:44,850",speaker_0,చరిత్ర,charithra
92,"00:05:45,259","00:05:45,610",speaker_0,ఉందా?,undhaa?
93,"00:05:46,050","00:05:46,400",speaker_0,లేదు.,ledhu.
94,"00:05:47,459","00:05:47,810",speaker_0,ఫిజిక్స్,physics
95,"00:05:48,019","00:05:48,370",speaker_0,ఉందా?,undhaa?
96,"00:05:48,680","00:05:49,030",speaker_0,లేదు.,ledhu.
97,"00:05:49,560","00:05:49,910",speaker_0,మ్యాథమెటిక్స్,myaathametiks
