index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:02,080","00:00:02,810",speaker_0,అడవి కుక్క రహస్యాన్ని,adavi kukka rahasyaanni
2,"00:00:03,060","00:00:03,410",speaker_0,సేదించిన,sedhinchina
3,"00:00:03,819","00:00:04,469",speaker_0,లేడీ కానిస్టేబుల్,lady kaanistebul
4,"00:00:04,820","00:00:05,449",speaker_0,కనక మహాలక్ష్మి.,kanaka mahaalaksha్mi.
5,"00:00:10,019","00:00:13,160",speaker_0,కనకం చంద్రిక కేసు ఫైలు కూడా CP గారి ఆఫీస్ కి వెళ్లిపోనాలి.,kanakam chandhrika case phailu koodaa CP gaari office ki velliponaali.
6,"00:00:15,160","00:00:17,219",speaker_1,CP గారి ఆఫీస్ లో మీకు తెలిసిన వాళ్ళు ఉన్నారు కదా.,CP gaari office lo meeku thelisina vaallu unnaaru kadhaa.
7,"00:00:17,640","00:00:18,879",speaker_0,నీకు ఇంకా అర్థం కాలేదా అమ్మా?,neeku inkaa artham kaaledhaa ammaa?
8,"00:00:19,980","00:00:20,929",speaker_0,చంద్రిక ఇక్కడ లేదని,chandhrika ikkada ledhani
9,"00:00:21,579","00:00:22,110",speaker_0,ఇక రాదని,ika raadhani
10,"00:00:22,500","00:00:23,089",speaker_0,మన department,mana department
11,"00:00:23,300","00:00:24,470",speaker_0,తో పాటు ఊరంతా నమ్ముతున్నారు.,tho paatu ooranthaa nammuthunnaaru.
12,"00:00:35,859","00:00:37,490",speaker_2,నీ మనసు నిబ్బర పరచుకొని,nee manasu nibbara parachukoni
13,"00:00:38,100","00:00:38,450",speaker_2,ఆలోచించు.,aalochinchu.
14,"00:00:39,619","00:00:41,710",speaker_2,నీ కళ్ళ ముందు బొమ్మలు కదలాడతాయి.,nee kalla mundhu bommalu kadhalaadathaayi.
15,"00:00:44,380","00:00:45,870",speaker_0,అయినా సొంత తల్లిదండ్రులే,ayinaa sontha thallidhandrule
16,"00:00:46,159","00:00:46,509",speaker_0,గమ్మునైపోయినారు.,gammunaipoyinaaru.
17,"00:00:49,960","00:00:53,149",speaker_0,ఆ అమ్మాయి మీతో ఉన్నంత కాలం మీకు ఈ కష్టాలు వస్తూనే ఉంటాయి.,aa ammaayi meetho unnantha kaalam meeku ee kashtaalu vasthoone untaayi.
18,"00:01:07,400","00:01:08,260",speaker_1,మా driver సతీష్.,maa driver satheesh.
19,"00:01:09,140","00:01:10,079",speaker_1,సతీష్ ని కలవాలి.,satheesh ni kalavaali.
20,"00:01:17,700","00:01:17,819",speaker_0,కనకం,kanakam
21,"00:01:18,670","00:01:19,210",speaker_0,చంద్రిక మనీ,chandhrika money
22,"00:01:19,260","00:01:20,640",speaker_0,order పంపింది సత్యనారాయణ గారి ఇంటికి కాదు.,order pampindhi sathyanaaraayana gaari intiki kaadhu.
23,"00:01:20,939","00:01:21,739",speaker_1,మరి ఎక్కడికి పంపింది?,mari yekkadiki pampindhi?
24,"00:01:25,280","00:01:26,819",speaker_0,అయినా ఆ అమ్మాయి తలరాత అలా ఉందేమో.,ayinaa aa ammaayi thalaraatha alaa undhemo.
25,"00:01:27,400","00:01:28,780",speaker_0,దానికి మనమేమి చేయగలం చెప్పమ్మా.,dhaaniki manamemi cheyagalam cheppammaa.
26,"00:01:29,319","00:01:30,500",speaker_1,ఇదంతా నా వల్లే జరిగింది.,idhanthaa naa valle jarigindhi.
27,"00:01:31,560","00:01:32,799",speaker_1,కళ్ళు మూసినా తెరిచినా,kallu moosinaa therichinaa
28,"00:01:33,670","00:01:34,640",speaker_1,చంద్రికనే కనిపిస్తుంది.,chandhrikane kanipisthundhi.
29,"00:01:43,900","00:01:44,140",speaker_1,Sir,Sir
30,"00:01:44,659","00:01:45,599",speaker_1,చంద్రిక బతికే ఉంది.,chandhrika bathike undhi.
31,"00:02:01,299","00:02:02,049",speaker_1,ఈరోజు నుంచి,eeroju nunchi
