index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,380","00:00:06,830",speaker_0,పోగరాగటం cancer కారకం పొగ త్రాగటం ప్రాణాంతకం,pogaraagatam cancer kaarakam poga thraagatam praanaanthakam
2,"00:00:06,980","00:00:09,309",speaker_0,"Smoking causes cancer, smoking kills మద్యపాన సేవనం ఆరోగ్యానికి","Smoking causes cancer, smoking kills madhyapaana sevanam aarogyaaniki"
3,"00:00:09,359","00:00:10,939",speaker_0,హానికరం Drinking alcohol is injurious to health.,haanikaram Drinking alcohol is injurious to health.
4,"00:00:12,289","00:00:12,389",speaker_1,రా!,raa!
5,"00:03:56,460","00:03:56,819",speaker_1,రారా!,raaraa!
6,"00:04:03,080","00:04:04,299",speaker_1,కింద చూసుకో రాళ్ళు ఇగరుచుకుంటాయి.,kindha choosuko raallu igaruchukuntaayi.
7,"00:04:06,699","00:04:07,609",speaker_1,నా వెనకాలే నడుచుకుంటారా?,naa venakaale naduchukuntaaraa?
8,"00:04:15,620","00:04:15,879",speaker_2,నాయనా!,naayanaa!
9,"00:04:17,519","00:04:17,879",speaker_2,నాయనా!,naayanaa!
10,"00:04:19,800","00:04:21,420",speaker_2,ఇంతకుమించి నీటిలో నడిచేది నా వల్ల కాదు.,inthakuminchi neetilo nadichedhi naa valla kaadhu.
11,"00:04:22,000","00:04:23,420",speaker_2,ఇందులో ఉన్న బాంబులు తడిచిపోతాయి నాయనా.,indhulo unna baambulu thadichipothaayi naayanaa.
12,"00:04:24,360","00:04:25,010",speaker_1,ఏం ఎందుకు తీసుకొచ్చావ్,yem yendhuku theesukochhaav
13,"00:04:25,819","00:04:27,170",speaker_1,అక్కడే వదిలేసి రమ్మని చెప్పినా కదా.,akkade vadhilesi rammani cheppinaa kadhaa.
14,"00:04:27,360","00:04:28,319",speaker_2,నేను ఆన్నే వదిలేసి వచ్చినా.,nenu aanne vadhilesi vachhinaa.
15,"00:04:28,879","00:04:29,670",speaker_2,నువ్వు మా అమ్మతో మాట్లాడుతున్నావే,nuvvu maa ammatho maatlaaduthunnaave
16,"00:04:30,500","00:04:31,750",speaker_2,అప్పుడు అమ్మే చెప్పింది ఇవి తీసుకుపోమని.,appudu amme cheppindhi ivi theesukupomani.
17,"00:04:32,500","00:04:32,970",speaker_1,మీ అమ్మకుతి,mee ammakuthi
18,"00:04:33,680","00:04:34,310",speaker_1,"మొగుడు తాగుబోతు,","mogudu thaagubothu,"
19,"00:04:34,980","00:04:36,030",speaker_1,కొడుకుని సరిగ్గా చూసుకోడని,kodukuni sariggaa choosukodani
20,"00:04:36,759","00:04:37,730",speaker_1,అన్నం మూటతో పాటు,annam mootatho paatu
21,"00:04:37,899","00:04:39,110",speaker_1,బాంబుల మూట కూడా ఇచ్చి పంపించిందేమో.,baambula moot koodaa ichhi pampinchindhemo.
22,"00:04:40,759","00:04:41,200",speaker_1,ఈ అమ్మ ఉందే,ee amma undhe
23,"00:04:41,720","00:04:42,110",speaker_1,పట్టుకో,pattuko
24,"00:04:42,160","00:04:42,930",speaker_2,అమ్మేం చేసింది?,ammem chesindhi?
25,"00:04:43,980","00:04:45,270",speaker_2,ఎప్పుడూ అమ్మని ఏదోటి అంటావుంటావ్.,yeppudoo ammani yedhoti antaavuntaav.
26,"00:04:49,649","00:04:50,409",speaker_2,నాయనా! కిందంతా,naayanaa! kindhanthaa
27,"00:04:50,459","00:04:51,360",speaker_2,ఒకటే బురదగా ఉంది.,okate buradhagaa undhi.
28,"00:04:51,920","00:04:52,830",speaker_2,ఆడ పైనుంచి పోతే,aada painunchi pothe
29,"00:04:53,100","00:04:54,399",speaker_2,నడిచేదానికి హీలు ఉండేది కదా.,nadichedhaaniki heelu undedhi kadhaa.
30,"00:04:55,000","00:04:55,570",speaker_1,ఆ ఉంటాది,aa untaadhi
31,"00:04:56,139","00:04:57,010",speaker_1,వెనక ధనుంకు వస్తుంటారే,venaka dhanunku vasthuntaare
32,"00:04:57,560","00:04:57,910",speaker_1,వాళ్లకుంటది.,vaallakuntadhi.
33,"00:04:58,759","00:04:59,250",speaker_1,నువ్వు మాట్లాడుకుంటారా?,nuvvu maatlaadukuntaaraa?
34,"00:05:01,759","00:05:02,019",speaker_1,ఆగు.,aagu.
35,"00:05:03,879","00:05:04,490",speaker_2,నాయనా పోలీసులు,naayanaa poleesulu
36,"00:05:04,759","00:05:05,199",speaker_1,ఆగాగు.,aagaagu.
37,"00:05:07,600","00:05:08,050",speaker_1,"వెనక్కి తిరుగు,","venakki thirugu,"
38,"00:05:26,310","00:05:29,719",speaker_1,వెనక్కి తిరిగి,venakki thirigi
39,"00:05:29,769","00:05:30,120",speaker_1,నడువు.,naduvu.
40,"00:05:30,819","00:05:31,170",speaker_1,ఆ!,aa!
41,"00:05:44,829","00:05:45,300",speaker_1,ఆ! పద,aa! padha
42,"00:05:45,350","00:05:45,450",speaker_1,పదా!,padhaa!
43,"00:05:47,600","00:05:47,879",speaker_3,ఏయ్,yey
44,"00:05:48,319","00:05:48,670",speaker_3,మండాపోయా.,mandaapoyaa.
45,"00:06:00,579","00:06:01,570",speaker_3,యో తార్చివే.,yo thaarchive.
46,"00:06:03,360","00:06:03,920",speaker_1,దిగ సా,dhiga saa
47,"00:06:05,240","00:06:07,000",speaker_4,"ఈ time లో మేక పిల్ల ఏడ నుంచి వచ్చింది స్వామి,","ee time lo meka pilla ada nunchi vachhindhi swam,"
48,"00:06:07,519","00:06:08,990",speaker_4,ఈయనకి ఎవరైనా ఉన్నారా లేక తప్పిపోయిందా?,eeyanaki yevarainaa unnaaraa leka thappipoyindhaa?
49,"00:06:09,720","00:06:11,860",speaker_5,ఊళ్లో murder జరిగి పెత్తనానికి ఒకటి లేచిపోయింది.,oollo murder jarigi peththanaaniki okati lechipoyindhi.
50,"00:06:12,199","00:06:14,658",speaker_5,ఊరు ఊరంతా ఆసుపత్రి దగ్గరే ఉండారు చిన్న పిల్లగాడితో సార్.,ooru ooranthaa aasupathri dhaggare undaaru chinna pillagaaditho saar.
51,"00:06:15,029","00:06:16,480",speaker_5,ఇప్పుడు దీని గురించి పట్టించుకునేది ఎవరు సారె?,ippudu dheeni gurinchi pattinchukunedhi yevaru saare?
52,"00:06:17,399","00:06:18,570",speaker_4,అలా అని ఎవరైనా వెతక్కుండా,alaa ani yevarainaa vethakkundaa
53,"00:06:18,740","00:06:19,420",speaker_4,ఉంటారా ఏంది?,untaaraa yendhi?
54,"00:06:20,000","00:06:20,530",speaker_5,ఇది తప్పిపోయిందని,idhi thappipoyindhani
55,"00:06:20,720","00:06:21,800",speaker_5,తెలిసేదానికే రెండు రోజులు పడతాది.,thelisedhaanike rendu rojulu padathaadhi.
56,"00:06:22,319","00:06:22,670",speaker_4,వెళ్ళవయ్యా,vellavayyaa
57,"00:06:23,589","00:06:25,079","speaker_5, speaker_4",స్వామి వెళ్ళవయ్యా,swam vellavayyaa
58,"00:06:25,139","00:06:25,810",speaker_4,చిట్టిది బాగుంది,chittidhi baagundhi
59,"00:06:26,300","00:06:27,879",speaker_4,లేతది గుండెకి మంచిది వెళ్ళవేలా,lethadhi gundeki manchidhi vellavelaa
60,"00:06:27,930","00:06:28,280",speaker_5,లోకంలో,lokamlo
61,"00:06:35,399","00:06:36,010",speaker_5,జరిగే తప్పులన్నిటికీ,jarige thappulannitikee
62,"00:06:36,399","00:06:37,660",speaker_5,నా కొడుకులే అడ్డంగా ఉంటారంట.,naa kodukule addangaa untaaranta.
63,"00:06:38,459","00:06:39,369",speaker_5,ఈళ్ళు police వాళ్ళు,eellu police vaallu
64,"00:06:41,220","00:06:42,170",speaker_6,ఈడిని ఆ పొద్దు వదిలేయడమే,eedini aa podhdhu vadhileyadame
65,"00:06:42,339","00:06:42,689",speaker_6,తప్పయినాది.,thappayinaadhi.
66,"00:06:43,699","00:06:45,759",speaker_6,నా బిడ్డని కొట్టిన రోజే చీ రెండు ఏసుంటే,naa biddani kottina roje chee rendu yesunte
67,"00:06:46,480","00:06:47,519",speaker_6,ఇక్కడి వరకు వచ్చేది కాదు.,ikkadi varaku vachhedhi kaadhu.
68,"00:06:47,879","00:06:48,529",speaker_5,నువ్వు గమ్మునుండు అమ్మాయి.,nuvvu gammunundu ammaayi.
69,"00:06:49,180","00:06:49,990",speaker_5,నీ కోపమే కదా,nee kopame kadhaa
70,"00:06:50,160","00:06:51,120",speaker_5,నీ బిడ్డలకొచ్చి ఉండాలి.,nee biddalakochhi undaali.
71,"00:06:51,240","00:06:52,050",speaker_4,ఏందయ్యా నీ position,yendhayyaa nee position
72,"00:06:52,540","00:06:53,689",speaker_4,మేక పిల్లను కూడా పట్టుకోలేకపోయావు.,meka pillanu koodaa pattukolekapoyaavu.
