index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,180","00:00:07,850",speaker_0,పొగ త్రాగడం మద్యం సేవించడం ఆరోగ్యానికి హానికరం మరియు cancer కి,poga thraagadam madhyam sevinchadam aarogyaaniki haanikaram mariyu cancer ki
2,"00:00:07,900","00:00:08,769",speaker_0,కారణం మాదకద్రవ్యాలు,kaaranam maadhakadhravyaalu
3,"00:00:09,099","00:00:11,509",speaker_0,సేవించడం ఆరోగ్యానికి హానికరం చట్ట రిత్యా శిక్షార్హులు.,sevinchadam aarogyaaniki haanikaram chatta rithyaa shikshaarhulu.
4,"00:02:01,040","00:02:01,500",speaker_0,ఎక్కడికి భయ్యా?,yekkadiki bhayyaa?
5,"00:02:02,519","00:02:02,939",speaker_1,పదా పదా,padhaa padhaa
6,"00:02:03,319","00:02:04,359",speaker_0,అంటే ఎక్కడికో చెప్పకుండా ఎక్కడికి వెళ్తున్నాం,ante yekkadiko cheppakundaa yekkadiki velthunnaam
7,"00:02:04,409","00:02:05,130",speaker_1,పదా పదా భయ్యా తొందరగా,padhaa padhaa bhayyaa thondharagaa
8,"00:02:05,180","00:02:05,430",speaker_0,సరే సర్,sare sir
9,"00:02:06,060","00:02:06,769",speaker_1,పెళ్లికూతుర్ని తీసుకురాడానికి,pellikoothurni theesukuraadaaniki
10,"00:02:06,819","00:02:07,200",speaker_1,వెళ్తున్నాను,velthunnaanu
11,"00:02:07,739","00:02:08,300",speaker_1,అంతా okay కదా?,anthaa okay kadhaa?
12,"00:02:09,780","00:02:10,340",speaker_1,హా సరే సరే.,haa sare sare.
13,"00:02:11,120","00:02:11,780",speaker_0,భయ్యా love matter ఆ?,bhayyaa love matter aa?
14,"00:02:12,629","00:02:13,280",speaker_1,అవును పొద్దున,avunu podhdhuna
15,"00:02:13,340","00:02:14,038",speaker_1,ఆరున్నరకి ముహూర్తం,aarunnaraki muhoortham
16,"00:02:14,639","00:02:16,340",speaker_1,మా friend గాడు car తీసుకొస్తా అని hand ఇచ్చాడు.,maa friend gaadu car theesukosthaa ani hand ichhaadu.
17,"00:02:17,060","00:02:17,800",speaker_0,మీరేం tension పడకండి bro,meerem tension padakandi bro
18,"00:02:18,599","00:02:19,580",speaker_0,నేను car కంటే fast గా వెళ్తాను,nenu car kante fast gaa velthaanu
19,"00:02:20,340","00:02:21,689",speaker_0,మీరు ఏమనుకోకపోతే నేను మీకు help చేయొచ్చా?,meeru yemanukokapothe nenu meeku help cheyochhaa?
20,"00:02:22,099","00:02:23,159",speaker_1,నీకెందుకు ఆ risk ముందు పోనీ,neekendhuku aa risk mundhu ponee
21,"00:02:23,580","00:02:24,460",speaker_0,నేను love లో fail bro,nenu love lo fail bro
22,"00:02:25,230","00:02:26,069",speaker_0,పక్కోడిలోకైనా హె-హెల్ప్,pakkodilokainaa he-helpa్
23,"00:02:26,159","00:02:26,509",speaker_0,చేద్దామని,chedhdhaamani
24,"00:02:27,780","00:02:28,569",speaker_1,ఇంతకీ నీ పేరేంటి?,inthakee nee perenti?
25,"00:02:29,020","00:02:30,710",speaker_0,love కోసం love కోసం ఎంత దూరమైనా వెళ్తాను,love kosam love kosam yentha dhooramainaa velthaanu
