index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,200","00:00:05,549",speaker_0,"మద్యపానం,","madhyapaanam,"
2,"00:00:05,919","00:00:06,269",speaker_0,ధూమపానం,dhoomapaanam
3,"00:00:06,469","00:00:06,819",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:07,019","00:00:07,369",speaker_0,హానికరం,haanikaram
5,"00:00:07,639","00:00:08,750",speaker_0,మరియు cancer కు కారకం.,mariyu cancer ku kaarakam.
6,"00:00:08,939","00:00:11,529",speaker_0,Cigarette smoking and alcohol consumption are injurious to health.,Cigarette smoking and alcohol consumption are injurious to health.
7,"00:00:11,779","00:00:12,619",speaker_0,It causes cancer.,It causes cancer.
8,"00:01:29,910","00:01:54,260",speaker_0,అహం నిధిం,aham nidhim
9,"00:01:54,659","00:01:55,009",speaker_0,ప్రయచ్ఛ,prayachha
10,"00:01:55,799","00:01:56,149",speaker_0,సంపంగి!,sampangi!
11,"00:03:36,610","00:03:37,439",speaker_0,రేయ్ coffee,rey coffee
12,"00:03:37,490","00:03:37,840",speaker_0,ఇరా.,ira.
13,"00:03:39,199","00:03:39,979",speaker_0,రేయ్ coffee ఇర,rey coffee ira
14,"00:03:41,280","00:03:41,939","speaker_0, speaker_2","అమ్మా! Sir,","ammaa! Sir,"
15,"00:03:42,129","00:03:42,229",speaker_2,"sir, sir","sir, sir"
16,"00:03:42,599","00:03:43,210",speaker_2,coffee sir.,coffee sir.
17,"00:03:43,349","00:03:43,449",speaker_2,"Sir,","Sir,"
18,"00:03:45,719","00:03:46,989",speaker_2,sir మెల్లగా sir. వేడిగుంది sir.,sir mellagaa sir. vedigundhi sir.
19,"00:03:48,580","00:03:48,780",speaker_2,"Sir,","Sir,"
20,"00:03:49,180","00:03:50,240",speaker_2,నాకో doubt sir. అడగొచ్చా?,naako doubt sir. adagochhaa?
21,"00:03:51,010","00:03:51,549","speaker_0, speaker_2",ఊ. నేను,oo. nenu
