index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,రూల్,rule
2,"00:00:29,039","00:00:29,790",speaker_0,ప్రకారం చూసుకున్నట్లయితే,prakaaram choosukunnatlayithe
3,"00:00:30,739","00:00:31,310",speaker_0,పొగ తాగటం,poga thaagatam
4,"00:00:31,500","00:00:32,210",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
5,"00:00:32,479","00:00:32,829",speaker_0,ఆరోగ్యానికి,aarogyaaniki
6,"00:00:33,000","00:00:33,350",speaker_0,హానికరం,haanikaram
7,"00:00:34,269","00:00:35,420",speaker_0,drinking smoking,drinking smoking
8,"00:00:35,820","00:00:36,170",speaker_0,injurious,injurious
9,"00:00:36,340","00:00:37,840",speaker_0,to health are you listening?,to health are you listening?
10,"00:02:28,750","00:02:30,180",speaker_0,శారద వరధారి,shaaradha varadhaari
11,"00:02:30,259","00:02:30,989",speaker_0,సరి శోభిత,sari shobhitha
12,"00:02:31,319","00:02:31,989",speaker_0,కుచ శాతోదరి,kucha shaathodhari
13,"00:02:32,780","00:02:33,129",speaker_0,వైతాళిక,vaithaalika
14,"00:02:33,840","00:02:34,189",speaker_0,వాసంతం,vaasantham
15,"00:02:34,900","00:02:35,250",speaker_0,వైవాహిక,vaivaahika
16,"00:02:35,939","00:02:36,289",speaker_0,సారధ్యం,saaradhyam
17,"00:02:37,039","00:02:37,389",speaker_0,సేవిత,sevitha
18,"00:02:37,699","00:02:38,049",speaker_0,శుభకారి,shubhakaari
19,"00:02:38,759","00:02:39,109",speaker_0,విరివాసిత,virivaasitha
20,"00:02:39,819","00:02:40,169",speaker_0,వలజా,valajaa
21,"00:02:40,539","00:02:40,889",speaker_0,మంజరి,manjari
22,"00:02:41,219","00:02:41,569",speaker_0,కోమల,komala
23,"00:02:41,939","00:02:42,650",speaker_0,సుమ లాలిత్యం,suma laalithyam
24,"00:02:43,379","00:02:43,729",speaker_0,కాఠిన్య,kaatinya
25,"00:02:44,060","00:02:44,409",speaker_0,సమవైరుధ్యం,samavairudhyam
26,"00:02:45,419","00:02:46,169",speaker_0,శ్రీ రమణి,shree ramani
27,"00:02:46,500","00:02:46,849",speaker_0,రసవాహిని,rasavaahini
28,"00:02:47,580","00:02:47,930",speaker_0,కాముక,kaamuka
29,"00:02:48,280","00:02:48,969",speaker_0,గుణ సహితం,guna sahitham
30,"00:02:49,680","00:02:50,030",speaker_0,మహిమాన్విత,mahimaanvitha
31,"00:02:50,750","00:02:51,099",speaker_0,మాత,maatha
32,"00:02:51,439","00:02:52,150",speaker_0,మహి సైసవ,mahi saisava
33,"00:02:52,500","00:02:53,210",speaker_0,దిశ లిఖితం.,dhisha likhitham.
34,"00:02:53,939","00:02:54,590",speaker_0,హే జనని,he janani
35,"00:02:54,960","00:02:55,310",speaker_0,పరిపాలిని,paripaalini
36,"00:02:56,400","00:02:56,750",speaker_0,అనురక్తి,anurakti
37,"00:02:56,930","00:02:58,370",speaker_1,ఆయా! కూతురు పుట్టిన్నట్టు కదా! పేరేమిట్టాం?,aaa! koothuru puttinnattu kadhaa! peremittaam?
38,"00:02:58,620","00:02:59,569",speaker_0,కరుణి ప్రదేశన,karuni pradheshana
39,"00:03:00,240","00:03:00,590",speaker_0,మాయుత,maayutha
40,"00:03:00,939","00:03:01,710",speaker_0,ధన వినుతం.,dhana vinutham.
41,"00:03:02,460","00:03:02,810",speaker_0,ఓంకార,onkaara
42,"00:03:03,479","00:03:03,829",speaker_0,నాదానురాగాల,naadhaanuraagaala
43,"00:03:05,560","00:03:05,909",speaker_0,మిళితం.,militham.
44,"00:03:07,270","00:03:08,679",speaker_0,ఆబాల గోపాల,aabaala gopaala
45,"00:03:08,759","00:03:09,109",speaker_0,జీవామృతం.,jeevaamrutham.
