index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,320","00:00:08,460",speaker_0,పొగ త్రాగుట మద్యం సేవించుట ఆరోగ్యానికి హానికరం Smoking and drinking,poga thraaguta madhyam sevinchuta aarogyaaniki haanikaram Smoking and drinking
2,"00:00:08,679","00:00:10,179",speaker_0,is injurious to health జాగ్రత్త,is injurious to health jaagraththa
3,"00:00:52,520","00:00:53,450",speaker_1,మమ్ము కాచినవాడు,mammu kaachinavaadu
4,"00:00:56,049","00:00:57,119",speaker_1,మా మనసు,maa manasu
5,"00:00:57,200","00:00:57,550",speaker_1,దోచినవాడు,dhochinavaadu
6,"00:01:02,240","00:01:02,590",speaker_1,మంగళకారుడు,mangalakaarudu
7,"00:01:06,340","00:01:06,719",speaker_1,మా,maa
8,"00:01:07,920","00:01:08,269",speaker_1,శ్రీనివాసుడు,shreenivaasudu
9,"00:01:45,510","00:01:46,140",speaker_0,ప్రేమ చాలా,prema chaalaa
10,"00:01:46,219","00:01:46,560",speaker_0,గొప్పది.,goppadhi.
11,"00:01:47,640","00:01:48,849",speaker_0,జీవితంలో వీడు పైకి రాడు,jeevithamlo veedu paiki raadu
12,"00:01:49,439","00:01:50,189",speaker_0,అనేవాడిని కూడా,anevaadini koodaa
13,"00:01:52,019","00:01:53,309",speaker_0,ఇంత పైకి తీసుకొచ్చి నిలబెడుతుంది.,intha paiki theesukochhi nilabeduthundhi.
14,"00:01:54,159","00:01:56,799",speaker_0,నా పేరు ప్రేమ్. నేను పదహారు వందల మంది అమ్మాయిని Love చేశా.,naa peru prem. nenu padhahaaru vandhala mandhi ammaayini Love cheshaa.
15,"00:01:57,430","00:01:57,909",speaker_0,అంతమందిని Love,anthamandhini Love
16,"00:01:57,959","00:01:59,239",speaker_0,చేస్తే గిన్నిస్ బుక్ ఎక్కాలి గాని,chesthe guinness book yekkaali gaani
17,"00:02:00,040","00:02:01,649",speaker_0,ఇలా ఎత్తైన building ఎక్కాడేంటి అనుకుంటున్నారా?,ilaa yeththaina building yekkaadenti anukuntunnaaraa?
18,"00:02:02,299","00:02:04,250",speaker_0,నా పదహారు వందల ప్రేమకథలు మీకు పరిచయం చేయాలంటే,naa padhahaaru vandhala premakathalu meeku parichayam cheyaalante
