index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:30,000","00:00:30,350",speaker_0,ஆயிரம்,ஆயிரம்
2,"00:02:10,280","00:02:10,629",speaker_0,ஆண்டுகளுக்கு,ஆண்டுகளுக்கு
3,"00:02:11,080","00:02:11,340",speaker_0,முன்,முன்
4,"00:02:13,039","00:02:13,389",speaker_0,சோழநாடு,சோழநாடு
5,"00:02:14,280","00:02:14,870",speaker_0,தன் பொற்காலத்தை,தன் பொற்காலத்தை
6,"00:02:15,520","00:02:15,870",speaker_0,அடைவதற்கும்,அடைவதற்கும்
7,"00:02:16,300","00:02:16,650",speaker_0,முன்,முன்
8,"00:02:18,460","00:02:18,900",speaker_0,வானில்,வானில்
9,"00:02:19,360","00:02:20,769",speaker_0,ஒரு பெரும் வால் விண்மீன்,ஒரு பெரும் வால் விண்மீன்
10,"00:02:21,039","00:02:21,389",speaker_0,தோன்றியது.,தோன்றியது.
11,"00:02:24,170","00:02:25,199",speaker_0,அப்போது தஞ்சையை,அப்போது தஞ்சையை
12,"00:02:25,259","00:02:26,469",speaker_0,ஆண்ட சுந்தர சோழருக்கு,ஆண்ட சுந்தர சோழருக்கு
13,"00:02:27,580","00:02:28,389",speaker_0,"இரண்டு மகன்கள்,","இரண்டு மகன்கள்,"
14,"00:02:29,520","00:02:30,159",speaker_0,ஒரு மகள்.,ஒரு மகள்.
15,"00:02:32,599","00:02:33,560",speaker_0,பட்டத்து இளவரசன்,பட்டத்து இளவரசன்
16,"00:02:34,069","00:02:34,829",speaker_0,களம்பல வென்ற,களம்பல வென்ற
17,"00:02:34,879","00:02:35,229",speaker_0,மாவீரன்,மாவீரன்
18,"00:02:35,919","00:02:36,269",speaker_0,ஆதித்த,ஆதித்த
19,"00:02:36,419","00:02:36,769",speaker_0,கரிகாலன்,கரிகாலன்
20,"00:02:38,688","00:02:39,788",speaker_0,சேவூர் போர்க்களத்தில்,சேவூர் போர்க்களத்தில்
21,"00:02:40,159","00:02:40,509",speaker_0,பாண்டியர்களைப்,பாண்டியர்களைப்
22,"00:02:41,069","00:02:41,780",speaker_0,போரில் வென்று,போரில் வென்று
23,"00:02:42,180","00:02:42,870",speaker_0,வீர பாண்டியனின்,வீர பாண்டியனின்
24,"00:02:43,259","00:02:43,609",speaker_0,தலையை,தலையை
25,"00:02:43,780","00:02:44,489",speaker_0,வெட்டி வீழ்த்தினான்.,வெட்டி வீழ்த்தினான்.
26,"00:02:46,659","00:02:47,209",speaker_0,அக்கொலைக்குப் பழி,அக்கொலைக்குப் பழி
27,"00:02:47,259","00:02:47,620",speaker_0,தீர்க்க,தீர்க்க
28,"00:02:48,180","00:02:48,849",speaker_0,வீர பாண்டியனின்,வீர பாண்டியனின்
29,"00:02:49,240","00:02:50,000",speaker_0,ஆபத்து உதவிகள்,ஆபத்து உதவிகள்
