index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,మద్యపానం,madhyapaanam
2,"00:00:30,480","00:00:30,830",speaker_0,ధూమపానం,dhoomapaanam
3,"00:00:31,179","00:00:31,530",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:31,780","00:00:33,609",speaker_0,హానికరం మరియు cancer కి కారణం,haanikaram mariyu cancer ki kaaranam
5,"00:00:33,859","00:00:34,210",speaker_0,అర్థమైందా?,arthamaindhaa?
6,"00:00:34,659","00:00:35,370",speaker_0,English లో చెప్తా,English lo chepthaa
7,"00:00:35,579","00:00:37,050",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
8,"00:00:37,259","00:00:39,289",speaker_0,are injurious to health it causes cancer.,are injurious to health it causes cancer.
9,"00:00:40,119","00:00:42,170",speaker_0,మీకు ఇట్లా కాదురా నేను ఇప్పుడు foreign భాషలో చెప్తా,meeku itlaa kaadhuraa nenu ippudu foreign bhaashalo chepthaa
10,"00:00:42,579","00:00:44,088",speaker_0,చంగ్ చుంగ్ బంగ్ బంగ్ ధమ్ బమ్ బమ్ ధన్య గుమ్,chang chung bang bang dham bum bum dhanya gum
11,"00:00:44,929","00:00:45,790",speaker_1,అక్కర్లే చాలు,akkarle chaalu
12,"00:00:45,840","00:00:46,478",speaker_1,వాళ్లకు అర్థమైంది,vaallaku arthamaindhi
13,"00:02:14,800","00:02:15,150",speaker_2,action,action
14,"00:02:16,689","00:02:17,759",speaker_2,ధైర్య సాహసే,dhairya saahase
15,"00:02:17,900","00:02:18,250",speaker_2,లక్ష్మి,laksha్mi
16,"00:02:38,060","00:02:38,409",speaker_0,Cigarettes,Cigarettes
17,"00:02:39,699","00:02:41,099",speaker_0,lungs కి అస్సలు మంచిది కాదు,lungs ki assalu manchidhi kaadhu
18,"00:02:42,159","00:02:43,840",speaker_0,అయినా అందరూ బయటికి పోయి interval లో కాల్చుతారు.,ayinaa andharoo bayatiki poyi interval lo kaalchuthaaru.
19,"00:02:45,879","00:02:46,229",speaker_0,Alcohol,Alcohol
20,"00:02:47,379","00:02:48,699",speaker_0,liver కి అస్సలు మంచిది కాదు,liver ki assalu manchidhi kaadhu
21,"00:02:50,120","00:02:52,269",speaker_0,అయినా అందరూ baby సినిమా చూసొచ్చి తాగుతారు.,ayinaa andharoo baby cinema choosochhi thaaguthaaru.
22,"00:02:54,360","00:02:54,930",speaker_0,అట్లానే love,atlaane love
23,"00:02:55,979","00:02:57,300",speaker_0,heart కి అస్సలు మంచిది కాదు,heart ki assalu manchidhi kaadhu
