index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:02:44,060","00:02:46,829",speaker_1,イ ン ド か ら 来 た コ ン テ ナ の 中 に 木 材 が 。,イ ン ド か ら 来 た コ ン テ ナ の 中 に 木 材 が 。
2,"00:02:47,219","00:02:47,500",speaker_2,え ？,え ？
3,"00:02:47,659","00:02:49,250",speaker_1,送 り 主 は 不 明 で す 。,送 り 主 は 不 明 で す 。
4,"00:02:50,038","00:02:51,349",speaker_2,あ あ 、 も し も し 。,あ あ 、 も し も し 。
5,"00:02:51,780","00:02:54,189",speaker_2,届 い た コ ン テ ナ の 中 身 な ん で す が 、,届 い た コ ン テ ナ の 中 身 な ん で す が 、
6,"00:02:54,620","00:02:55,629",speaker_2,ど う も そ の,ど う も そ の
7,"00:02:56,860","00:02:57,489",speaker_2,。 は い,。 は い
8,"00:02:59,280","00:02:59,379",speaker_2,。,。
9,"00:03:16,099","00:03:19,030",speaker_2,頼 ん で も い ね え 木 材 が 届 い た っ て 何 な ん だ よ 。,頼 ん で も い ね え 木 材 が 届 い た っ て 何 な ん だ よ 。
10,"00:03:19,560","00:03:21,389",speaker_1,詳 し く は わ か ら な く て 。,詳 し く は わ か ら な く て 。
11,"00:03:22,439","00:03:25,030",speaker_2,お い 、 そ の コ ン テ ナ 、 な ん て 書 い て あ ん だ 。,お い 、 そ の コ ン テ ナ 、 な ん て 書 い て あ ん だ 。
12,"00:03:26,639","00:03:27,629",speaker_1,バ シ ュ ブ ブ,バ シ ュ ブ ブ
13,"00:03:27,759","00:03:28,109",speaker_1,。,。
14,"00:03:30,060","00:03:31,060",speaker_2,バ シ ュ ブ ブ ？,バ シ ュ ブ ブ ？
15,"00:03:31,180","00:03:32,389",speaker_1,そ う み た い で す,そ う み た い で す
16,"00:03:34,280","00:03:34,629",speaker_1,。,。
17,"00:03:35,659","00:03:37,090",speaker_1,あ の 、 す み ま せ ん,あ の 、 す み ま せ ん
18,"00:03:37,340","00:03:39,150",speaker_1,。 中 に 従 業 員 み た い な や つ が,。 中 に 従 業 員 み た い な や つ が
19,"00:03:39,300","00:03:41,150",speaker_1,。 な ん か イ ン ド 人 っ ぽ い で す が,。 な ん か イ ン ド 人 っ ぽ い で す が
20,"00:03:41,699","00:03:41,799",speaker_1,。,。
21,"00:03:41,759","00:03:43,229",speaker_2,イ ン ド か ら 来 た っ て の か ？,イ ン ド か ら 来 た っ て の か ？
22,"00:03:44,360","00:03:47,169",speaker_2,四 十 日 も 飲 ま ず 食 わ ず で 中 に い た っ て,四 十 日 も 飲 ま ず 食 わ ず で 中 に い た っ て
23,"00:03:48,639","00:03:50,030",speaker_2,？ ど ん な 奴 だ よ 。,？ ど ん な 奴 だ よ 。
24,"00:03:50,680","00:03:51,829",speaker_2,確 か め て こ い 。,確 か め て こ い 。
25,"00:03:52,219","00:03:52,789",speaker_1,は い 。,は い 。
26,"00:04:10,919","00:04:11,650",speaker_2,開 け ろ,開 け ろ
27,"00:04:12,919","00:04:13,269",speaker_2,。,。
28,"00:04:31,129","00:04:31,689",speaker_2,何 者 だ,何 者 だ
29,"00:04:32,980","00:04:34,670",speaker_2,？ 誰 が こ の 荷 物 を 送 っ た ？,？ 誰 が こ の 荷 物 を 送 っ た ？
30,"00:04:36,680","00:04:39,090",speaker_2,っ た く 話 が 通 じ ね え と 意 味 が ね え 。,っ た く 話 が 通 じ ね え と 意 味 が ね え 。
31,"00:04:39,459","00:04:40,629",speaker_2,言 葉 わ か る や つ,言 葉 わ か る や つ
32,"00:04:42,160","00:04:42,260",speaker_2,？,？
33,"00:04:44,409","00:04:44,849",speaker_2,多 分,多 分
34,"00:04:44,899","00:04:45,930",speaker_2,イ ン ド 人 だ 。,イ ン ド 人 だ 。
35,"00:04:47,240","00:04:48,810",speaker_2,変 な 荷 物 が 届 い た 。,変 な 荷 物 が 届 い た 。
