index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:03:24,620","00:03:26,719",speaker_1,"A good day of hunting, my dear.","A good day of hunting, my dear."
2,"00:03:27,599","00:03:28,520",speaker_2,"Yes, it was rather.","Yes, it was rather."
3,"00:03:30,639","00:03:31,580",speaker_1,Do you believe it?,Do you believe it?
4,"00:03:31,939","00:03:32,430",speaker_2,It's amazing.,It's amazing.
5,"00:03:33,240","00:03:34,039",speaker_2,Who's the artist?,Who's the artist?
6,"00:03:35,729","00:03:36,000",speaker_2,What?,What?
7,"00:03:36,590","00:03:37,479",speaker_2,This chit of a girl?,This chit of a girl?
8,"00:03:38,460","00:03:40,569",speaker_1,I want to have this little package on our mantelpiece.,I want to have this little package on our mantelpiece.
9,"00:03:43,060","00:03:43,379",speaker_2,Edward.,Edward.
10,"00:03:43,759","00:03:44,199",speaker_3,"Yes, sir.","Yes, sir."
11,"00:04:55,060","00:04:55,410",speaker_2,Raj!,Raj!
12,"00:05:04,389","00:05:06,379",speaker_2,Do you comprehend the value of the bullet in your barrel?,Do you comprehend the value of the bullet in your barrel?
13,"00:05:07,240","00:05:07,790",speaker_2,It was manufactured,It was manufactured
14,"00:05:08,040","00:05:09,930",speaker_2,in an English factory using English metals.,in an English factory using English metals.
15,"00:05:10,439","00:05:12,379",speaker_2,It crossed the seven seas in an English vessel.,It crossed the seven seas in an English vessel.
16,"00:05:13,740","00:05:16,040",speaker_2,"By the time it reached the barrel of your gun,","By the time it reached the barrel of your gun,"
17,"00:05:17,220","00:05:18,189",speaker_2,it cost one pound.,it cost one pound.
18,"00:05:19,480","00:05:20,450",speaker_2,"One pound sterling,","One pound sterling,"
19,"00:05:21,500","00:05:23,639",speaker_2,and you would want to squander it on,and you would want to squander it on
20,"00:05:25,689","00:05:26,519",speaker_2,brown rubbish.,brown rubbish.
21,"00:05:29,819","00:05:30,530",speaker_2,Clear the road.,Clear the road.
22,"00:06:44,790","00:06:46,889",speaker_5,"Of course not, sir. We've done nothing.","Of course not, sir. We've done nothing."
23,"00:06:47,550","00:06:50,040",speaker_5,We've done nothing to aggravate them. They're protesting,We've done nothing to aggravate them. They're protesting
24,"00:06:50,310","00:06:53,120",speaker_5,here because Lama Rampa was arrested in Calcutta.,here because Lama Rampa was arrested in Calcutta.
25,"00:06:55,470","00:06:56,120",speaker_5,They're rabid.,They're rabid.
26,"00:06:56,689","00:06:56,908",speaker_5,"We,","We,"
27,"00:06:57,709","00:06:58,660",speaker_5,we need reinforcements,we need reinforcements
28,"00:06:59,350","00:06:59,700",speaker_5,now.,now.
29,"00:07:02,509","00:07:04,060",speaker_1,It's gonna take another seven hours.,It's gonna take another seven hours.
30,"00:07:15,829","00:07:17,300",speaker_5,"Hold the line, damn it.","Hold the line, damn it."
31,"00:07:52,539","00:07:54,040",speaker_5,Arrest that bastard! And bring him to me.,Arrest that bastard! And bring him to me.
32,"00:07:55,620","00:07:56,550",speaker_1,Arrest that bastard! And,Arrest that bastard! And
33,"00:07:58,009","00:07:58,509",speaker_1,bring him,bring him
34,"00:07:59,430","00:08:00,028",speaker_1,to me.,to me.
35,"00:09:06,439","00:09:07,360",speaker_1,Arrest that bastard!,Arrest that bastard!
36,"00:09:08,480","00:09:08,860",speaker_1,Arrest that bastard!,Arrest that bastard!
37,"00:11:29,289","00:11:30,180",speaker_5,Good God.,Good God.
38,"00:13:29,370","00:13:30,120",speaker_6,That mob.,That mob.
39,"00:13:31,940","00:13:33,279",speaker_6,"I was scared out of my wits, sir.","I was scared out of my wits, sir."
40,"00:13:34,919","00:13:36,419",speaker_7,He scares me more.,He scares me more.
41,"00:13:52,039","00:13:53,769",speaker_8,On the occasion of the annual,On the occasion of the annual
42,"00:13:54,000","00:13:56,539",speaker_8,"Special Officers ceremony, only three","Special Officers ceremony, only three"
43,"00:13:57,000","00:13:58,170",speaker_8,have been deemed worthy,have been deemed worthy
44,"00:13:58,600","00:14:01,389",speaker_8,out of seventy five candidates for their,out of seventy five candidates for their
45,"00:14:01,600","00:14:01,950",speaker_8,exceptional,exceptional
46,"00:14:02,600","00:14:02,950",speaker_8,contribution.,contribution.
47,"00:14:03,700","00:14:05,490",speaker_8,They are Philip Anderson.,They are Philip Anderson.
48,"00:14:08,809","00:14:09,700",speaker_8,Charles Langford.,Charles Langford.
49,"00:14:12,720","00:14:13,559",speaker_8,Frank Poole.,Frank Poole.
50,"00:14:14,840","00:14:15,960",speaker_8,"As for the rest of you,","As for the rest of you,"
51,"00:14:16,480","00:14:17,679",speaker_8,better luck next year.,better luck next year.
52,"00:14:19,860","00:14:20,210",speaker_8,Disperse.,Disperse.
53,"00:14:25,580","00:14:25,680",speaker_7,ఆ!,aa!
54,"00:14:47,740","00:14:48,090",speaker_7,ఆ!,aa!
55,"00:15:09,539","00:15:09,639",speaker_7,ఆ!,aa!
56,"00:15:34,320","00:15:35,019",speaker_7,నమస్కారం అండి.,namaskaaram andi.
57,"00:15:35,899","00:15:37,050",speaker_7,"He is Mr. Venkat Avadhani,","He is Mr. Venkat Avadhani,"
58,"00:15:38,120","00:15:39,340",speaker_7,Special Adviser to the Nizam.,Special Adviser to the Nizam.
59,"00:15:42,039","00:15:43,450",speaker_6,స్కాట్ దారు వారు ఇండియాలో లేరు.,scott dhaaru vaaru indiyaalo leru.
60,"00:15:43,940","00:15:46,110",speaker_6,మీరు వచ్చిన పని ఏంటో Edward వారికి విన్నవించండి.,meeru vachhina pani yento Edward vaariki vinnavinchandi.
61,"00:15:46,720","00:15:46,879",speaker_7,ఆ,aa
62,"00:15:49,120","00:15:51,170",speaker_7,క్రితం సారి స్కాట్ దారు వారు మా ఆదిలాబాద్,kritham saari scott dhaaru vaaru maa aadhilaabaadh
63,"00:15:51,419","00:15:51,769",speaker_7,వచ్చినప్పుడు,vachhinappudu
