index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:06,060","00:00:06,569",speaker_0,"మద్యపానం, ధూమపానం","madhyapaanam, dhoomapaanam"
2,"00:00:06,719","00:00:07,069",speaker_0,ఆరోగ్యానికి,aarogyaaniki
3,"00:00:07,200","00:00:09,729",speaker_0,హానికరం మరియు క్యాన్సర్ కు కారకం. Cigarette smoking and alcohol,haanikaram mariyu kyaansar ku kaarakam. Cigarette smoking and alcohol
4,"00:00:09,779","00:00:11,519",speaker_0,consumption are injurious to health it causes cancer.,consumption are injurious to health it causes cancer.
5,"00:01:32,070","00:01:32,799",speaker_1,విధి రాతలో,vidhi raathalo
6,"00:01:32,939","00:01:33,289",speaker_1,కలవాలని,kalavaalani
7,"00:01:33,480","00:01:33,829",speaker_1,రాసిపెట్టి,raasipetti
8,"00:01:33,980","00:01:34,329",speaker_1,ఉంటే,unte
9,"00:01:34,879","00:01:35,689",speaker_1,అది ప్రేమ అవుతుంది.,adhi prema avuthundhi.
10,"00:01:36,739","00:01:37,769",speaker_1,కలలో కూడా కలవకూడని,kalalo koodaa kalavakoodani
11,"00:01:37,989","00:01:38,339",speaker_1,ఇద్దరు,idhdharu
12,"00:01:38,700","00:01:39,939",speaker_1,విధిని ఎదిరించి కలిస్తే,vidhini yedhirinchi kalisthe
13,"00:01:52,650","00:01:53,480",speaker_1,"ప్రేమకి, విధికి","premaki, vidhiki"
14,"00:01:53,540","00:01:54,569",speaker_1,మధ్య జరిగే యుద్ధమే.,madhya jarige yudhdhame.
15,"00:04:02,159","00:04:02,490",speaker_1,నమస్కారం,namaskaaram
16,"00:04:02,659","00:04:03,009",speaker_3,నమస్కారం,namaskaaram
17,"00:04:03,180","00:04:03,530",speaker_1,పరమహంస,paramahamsa
18,"00:04:03,659","00:04:04,300",speaker_1,గారు ఎక్కడ ఉన్నారండి?,gaaru yekkada unnaarandi?
19,"00:04:04,539","00:04:04,889",speaker_3,అటున్నారు.,atunnaaru.
20,"00:04:05,699","00:04:05,960",speaker_1,Thank you.,Thank you.
21,"00:04:10,120","00:04:11,840",speaker_3,అయ్యా మిమ్మల్ని కలవడానికి scientist వచ్చారు.,ayyaa mimmalni kalavadaaniki scientist vachhaaru.
22,"00:04:13,319","00:04:13,669",speaker_1,నమస్కారమయ్యా.,namaskaaramayyaa.
23,"00:04:19,680","00:04:22,270",speaker_1,అయ్యా ప్రభుత్వం ఒక కొత్త space research center కడుతోంది.,ayyaa prabhuthvam oka koththa space research center kaduthondhi.
24,"00:04:22,879","00:04:23,790",speaker_1,దానికి మీతో ఒక,dhaaniki meetho oka
25,"00:04:24,100","00:04:25,010",speaker_1,శుభ ముహూర్తం పెట్టిద్దామని,shubha muhoortham pettidhdhaamani
26,"00:04:25,639","00:04:26,279",speaker_1,మేమిలా వచ్చాం.,memilaa vachhaam.
27,"00:04:27,319","00:04:28,290",speaker_1,గ్రహాల మీద పరిశోధన,grahaala meedha parishodhana
28,"00:04:28,500","00:04:28,850",speaker_1,చేయడానికి,cheyadaaniki
29,"00:04:29,560","00:04:31,910",speaker_1,అవే గ్రహాలతో ముహూర్తం పెట్టడం ఏంటో నాకు అర్థం కావట్లేదు.,away grahaalatho muhoortham pettadam yento naaku artham kaavatledhu.
