index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,240","00:00:05,589",speaker_0,Smoking,Smoking
2,"00:00:06,059","00:00:06,569",speaker_0,and drinking,and drinking
3,"00:00:06,740","00:00:07,609",speaker_0,are injurious,are injurious
4,"00:00:07,799","00:00:08,929",speaker_0,to health. పొగ త్రాగటం,to health. poga thraagatam
5,"00:00:09,179","00:00:10,269",speaker_0,మరియు మద్యం సేవించటం,mariyu madhyam sevinchatam
6,"00:00:10,599","00:00:10,949",speaker_0,ఆరోగ్యానికి,aarogyaaniki
7,"00:00:11,460","00:00:11,810",speaker_0,హానికరం.,haanikaram.
8,"00:01:25,170","00:01:26,319",speaker_1,ఓం శ్రీ,om shree
9,"00:01:26,420","00:01:26,769",speaker_1,రాజ,raaja
10,"00:01:27,019","00:01:27,369",speaker_1,మాతంగీశ్వర్యై,maathangeeshvaryai
11,"00:01:29,519","00:01:29,869",speaker_1,నమః.,namah.
12,"00:01:31,140","00:01:31,489",speaker_1,ఓం.,om.
13,"00:01:38,790","00:01:39,570",speaker_1,సకలం భవతి,sakalam bhavathi
14,"00:01:39,620","00:01:39,969",speaker_1,సకలం,sakalam
15,"00:01:40,420","00:01:40,769",speaker_1,పురుషస్సవే,purushassave
16,"00:01:41,120","00:01:41,469",speaker_1,త్రిజగాయుష్యేదే,thrijagaayushyedhe
17,"00:01:43,359","00:01:44,390",speaker_1,త్రిదే ప్రతిష్ఠతే,thridhe prathishtathe
18,"00:01:45,200","00:01:45,549",speaker_1,లౌకిక,laukika
19,"00:01:46,140","00:01:46,489",speaker_1,కుటుంబం,kutumbam
20,"00:01:47,019","00:01:47,369",speaker_1,నాది,naadhi
21,"00:01:48,830","00:01:49,780",speaker_1,ఏకాకి జీవనం,yekaaki jeevanam
22,"00:01:50,870","00:01:53,159",speaker_1,నాది. తునా,naadhi. thunaa
23,"00:01:53,260","00:01:53,609",speaker_1,ఓనని.,onani.
24,"00:01:56,739","00:01:57,089",speaker_1,ఎప్పుడూ,yeppudoo
25,"00:01:59,330","00:02:00,420",speaker_1,వదులుకో తునా,vadhuluko thunaa
