index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:52,600","00:01:53,390",speaker_1,ఎవడు చచ్చినా పర్వాలేదు,yevadu chachhinaa parvaaledhu
2,"00:01:53,859","00:01:54,209",speaker_1,లోపలికెళ్ళి,lopalikelli
3,"00:01:54,400","00:01:56,250",speaker_1,సరుకు తెస్తున్నాం తప్పక మా బావ ఏడాలి,saruku thesthunnaam thappaka maa baava yedaali
4,"00:01:56,620","00:01:56,959",speaker_1,అర్థమైందా?,arthamaindhaa?
5,"00:01:57,040","00:01:57,859",speaker_2,అర్థమైంది అన్న.,arthamaindhi anna.
6,"00:01:57,959","00:01:58,120",speaker_1,చీ,chee
7,"00:02:10,120","00:02:10,849",speaker_2,విష్ణు అవతారాల్లోనే,vishnu avathaaraallone
8,"00:02:12,259","00:02:12,870",speaker_2,అతి ముఖ్యమైనది,athi mukhyamainadhi
9,"00:02:14,120","00:02:14,989",speaker_2,తొమ్మిదవ అవతారమైన,thommidhava avathaaramaina
10,"00:02:15,900","00:02:16,250",speaker_2,కృష్ణావతారం.,krushnaavathaaram.
11,"00:02:17,670","00:02:18,500",speaker_2,కంసుడు మరియు,kamsudu mariyu
12,"00:02:18,680","00:02:19,030",speaker_2,శాలురుడు,shaalurudu
13,"00:02:19,419","00:02:19,769",speaker_2,వంటి,vanti
14,"00:02:20,419","00:02:20,769",speaker_2,రాక్షసుల,raakshasula
15,"00:02:21,099","00:02:21,449",speaker_2,అరాచకాలను,araachakaalanu
16,"00:02:21,900","00:02:22,669",speaker_2,"అంతం చేసి,","antham chesi,"
17,"00:02:23,419","00:02:24,090",speaker_2,ఈ భూమ్మీద,ee bhoommeedha
18,"00:02:24,439","00:02:24,789",speaker_2,ధర్మస్థాపన,dharmasthaapana
19,"00:02:25,340","00:02:25,719",speaker_2,"చేసి,","chesi,"
20,"00:02:26,379","00:02:27,109",speaker_2,లోక క్షేమాన్ని,loka kshemaanni
21,"00:02:27,340","00:02:27,689",speaker_2,కాపాడటానికి,kaapaadataaniki
22,"00:02:29,020","00:02:29,370",speaker_2,భగవంతుడు,bhagavanthudu
23,"00:02:30,080","00:02:30,430",speaker_2,తానే,thaane
24,"00:02:30,560","00:02:30,909",speaker_2,అవతరిస్తాడని,avatharisthaadani
25,"00:02:31,400","00:02:31,639",speaker_2,ఉంది.,undhi.
26,"00:02:32,439","00:02:33,289",speaker_2,ఒక్కో జన్మకి,okko janmaki
27,"00:02:33,500","00:02:35,000",speaker_2,ఒక్కో కారణ కార్యం ఉంది.,okko kaarana kaaryam undhi.
28,"00:02:35,909","00:02:37,019",speaker_2,దాన్నే ధమ్మం,dhaanne dhammam
29,"00:02:37,120","00:02:37,500",speaker_2,అంటారు.,antaaru.
30,"00:02:38,259","00:02:40,090",speaker_2,అంతం చేయడం మాత్రమే కాదు కృష్ణావతార,antham cheyadam maathrame kaadhu krushnaavathaara
31,"00:02:40,520","00:02:40,879",speaker_2,ధమ్మం.,dhammam.
32,"00:02:42,060","00:02:42,400",speaker_2,"ప్రేమ,","prema,"
33,"00:02:43,550","00:02:44,199",speaker_2,పవిత్రమైన ప్రే--,pavithramaina pray--
34,"00:02:44,479","00:02:45,639",speaker_3,అన్న అన్న తిరుక అన్న.,anna anna thiruka anna.
35,"00:02:47,439","00:02:48,269",speaker_3,ఈ బామర్ది,ee baamardhi
