index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:15,099","00:00:15,449",speaker_0,సూర్యనమ్మ,sooryanamma
2,"00:00:21,039","00:00:21,390",speaker_0,చంద్రనమ్మ,chandhranamma
3,"00:00:23,679","00:00:24,030",speaker_0,రాజన్నమ్మ ఈ,raajannamma ee
4,"00:00:27,559","00:00:27,910",speaker_0,రాజన్నమ్మ,raajannamma
5,"00:00:37,530","00:00:38,109",speaker_1,దూరంగా ఉన్న,dhoorangaa unna
6,"00:00:38,159","00:00:38,789",speaker_1,ఒక ప్రాంతంలో,oka praanthamlo
7,"00:00:40,009","00:00:41,090",speaker_1,పగలు శత్రుత్వాల,pagalu shathruthvaala
8,"00:00:41,140","00:00:41,490",speaker_1,మధ్య,madhya
9,"00:00:43,250","00:00:44,050",speaker_1,విడవేయలేని స్నేహం,vidaveyaleni sneham
10,"00:00:44,100","00:00:44,450",speaker_1,ఉండేది.,undedhi.
11,"00:00:48,009","00:00:48,840",speaker_0,ఎవడ్రా ఎవడు?,yevadraa yevadu?
12,"00:00:49,079","00:00:49,609",speaker_2,రేయ్ దేవా,rey dhevaa
13,"00:00:50,100","00:00:50,450",speaker_2,వద్దురా,vadhdhuraa
14,"00:00:50,920","00:00:51,539",speaker_2,వెళ్దాం పదా.,veldhaam padhaa.
15,"00:00:52,359","00:00:52,710",speaker_0,చెప్పరా,chepparaa
16,"00:00:53,979","00:00:54,420",speaker_0,ఎవడు?,yevadu?
17,"00:00:58,259","00:00:58,899",speaker_2,రేయ్ దేవా!,rey dhevaa!
18,"00:01:04,719","00:01:05,430",speaker_0,ఎందుకురా ముట్టుకున్నావ్?,yendhukuraa muttukunnaav?
19,"00:01:05,480","00:01:06,120",speaker_2,దేవా ఆగురా.,dhevaa aaguraa.
20,"00:01:07,400","00:01:07,750",speaker_3,ఓహ్,oh
21,"00:01:09,010","00:01:09,609",speaker_3,నువ్వేదో పెద్ద,nuvvedho pedhdha
22,"00:01:09,659","00:01:10,349",speaker_3,ఆర్మీని తీసుకొస్తావనుకుంటే,aarmeeni theesukosthaavanukunte
23,"00:01:11,519","00:01:11,869",speaker_3,వీడొక్కడినే,veedokkadine
24,"00:01:12,159","00:01:12,509",speaker_3,తీసుకొచ్చావా?,theesukochhaavaa?
25,"00:01:17,019","00:01:17,649",speaker_3,మా నాన్నకి,maa naannaki
26,"00:01:17,799","00:01:20,140",speaker_3,పుట్టినంత మాత్రాన ముక్కు పోగు పెట్టుకునే హక్కు రాదు.,puttinantha maathraana mukku pogu pettukune hakku raadhu.
27,"00:01:20,659","00:01:21,449",speaker_3,దాన్ని సాధించుకోవాలి.,dhaanni saadhinchukovaali.
28,"00:01:23,219","00:01:24,209",speaker_0,దానికేం జరా చెప్పు.,dhaanikem jaraa cheppu.
29,"00:01:36,819","00:01:37,449",speaker_3,ఆ పైల్వాణ్ణి,aa pailvaanni
30,"00:01:37,719","00:01:38,069",speaker_3,చూసావా?,choosaavaa?
31,"00:01:39,040","00:01:40,140",speaker_3,వాడే నా పుంజు.,wade naa punju.
32,"00:01:41,450","00:01:42,000",speaker_3,ఇప్పటివరకు వాడి,ippativaraku vaadi
33,"00:01:42,060","00:01:42,750",speaker_3,కింద పడిందే,kindha padindhe
34,"00:01:42,879","00:01:43,260",speaker_3,లేదు.,ledhu.
35,"00:01:43,420","00:01:44,500",speaker_4,రే హే కోయి క్యా?,re he koyi kyaa?
36,"00:01:45,620","00:01:47,280",speaker_4,రే కోయి మర్ద్ నా హై యా పర్?,re koyi mardh naa hai yaa par?
37,"00:01:47,760","00:01:48,480",speaker_3,వాణ్ణి నిను పడేయ్.,vaanni ninu padey.
38,"00:01:48,939","00:01:49,799",speaker_3,ముక్కు పోగు ఇచ్చేస్తా.,mukku pogu ichhesthaa.
39,"00:01:50,079","00:01:50,750",speaker_0,అదెలా కుదురుతుందిరా?,adhelaa kudhuruthundhiraa?
40,"00:01:51,560","00:01:52,599",speaker_0,వీడు వాణ్ని ఎలా పడేస్తాడు?,veedu vaanni yelaa padesthaadu?
41,"00:01:54,000","00:01:55,540",speaker_4,రే హే కి కోయి భోల్ నా?,re he ki koyi bhol naa?
42,"00:01:56,150","00:01:56,670",speaker_3,బలవంతం ఏం,balavantham yem
43,"00:01:56,719","00:01:56,980",speaker_3,లేదు.,ledhu.
44,"00:01:57,599","00:01:58,930",speaker_3,ముక్కు పోగు నా దగ్గరే ఉంటుంది.,mukku pogu naa dhaggare untundhi.
45,"00:01:59,920","00:02:00,609",speaker_3,నువ్విక వెళ్ళొచ్చు.,nuvvika vellochhu.
46,"00:02:01,500","00:02:01,849",speaker_3,స్టెప్,step
47,"00:02:02,840","00:02:03,189",speaker_3,బ్రదరూ.,bradharoo.
48,"00:02:04,799","00:02:05,879",speaker_2,తప్పు చేస్తున్నావ్ రుద్రా.,thappu chesthunnaav rudhraa.
49,"00:02:07,019","00:02:08,530",speaker_3,నీకు నా గురించి తెలుసు కదరా.,neeku naa gurinchi thelusu kadharaa.
50,"00:02:09,860","00:02:11,060",speaker_2,నీకు వాడి గురించి తెలీదు.,neeku vaadi gurinchi theleedhu.
51,"00:02:14,659","00:02:15,329",speaker_2,వాడొక పిచ్చోడు.,vaadoka pichhodu.
52,"00:02:18,199","00:02:18,810",speaker_2,వాడు నిన్నేదైనా,vaadu ninnedhainaa
53,"00:02:19,000","00:02:20,599",speaker_2,చేసేలోపు నువ్వే ముక్కు పోగు ఇచ్చెయ్.,cheselopu nuvve mukku pogu ichhey.
54,"00:02:22,860","00:02:24,789",speaker_4,రే కోయి మర్ద్ హై తో సామ్నే ఆ భయీ.,re koyi mardh hai tho saamne aa bhayee.
55,"00:02:26,560","00:02:26,879",speaker_0,అబ్బా,abbaa
56,"00:02:27,900","00:02:28,430",speaker_0,ఏం చేస్తాడ్రా?,yem chesthaadraa?
57,"00:02:30,479","00:02:30,829",speaker_0,చెప్పరా!,chepparaa!
58,"00:02:32,659","00:02:33,060",speaker_0,చెప్పు.,cheppu.
59,"00:02:34,319","00:02:35,819",speaker_4,కోయి భీ మర్ద్ నా బచా కే.,koyi bhee mardh naa bachaa ke.
60,"00:02:36,439","00:02:37,489",speaker_3,ఏం పీకుతాడురా.,yem peekuthaaduraa.
61,"00:02:48,419","00:02:49,549",speaker_4,తుత్తు హై క్యో వో మర్ద్.,thuththu hai kyo vo mardh.
62,"00:02:51,240","00:02:52,090",speaker_4,భాజ్ లే డింగర్.,bhaaj le dingar.
63,"00:02:56,819","00:02:57,280",speaker_0,శ్రీ దేవా,shree dhevaa
64,"00:02:58,879","00:02:59,679",speaker_4,సునా నహీ క్యో,sunaa nahee kyo
65,"00:03:00,300","00:03:01,000",speaker_4,భాజ్ లే.,bhaaj le.
66,"00:03:10,740","00:03:11,090",speaker_0,దేవా,dhevaa
67,"00:03:17,170","00:03:18,020",speaker_3,చచ్చాడురా వీడు.,chachhaaduraa veedu.
68,"00:03:25,780","00:03:26,129",speaker_0,దేవా!,dhevaa!
69,"00:03:53,080","00:03:53,819",speaker_0,ఏయ్ దేవా,yey dhevaa
70,"00:03:54,280","00:03:54,629",speaker_0,ఆగురా.,aaguraa.
71,"00:04:09,580","00:04:09,930",speaker_0,దేవా!,dhevaa!
72,"00:04:12,580","00:04:13,000",speaker_0,దేవా!,dhevaa!
73,"00:04:14,840","00:04:15,159",speaker_0,దేవా!,dhevaa!
74,"00:04:15,879","00:04:17,300",speaker_0,రేయ్ దేవా లేవ్రా. దేవా!,rey dhevaa levraa. dhevaa!
75,"00:04:18,500","00:04:19,000",speaker_0,దేవా! దేవా!,dhevaa! dhevaa!
76,"00:04:24,819","00:04:25,370",speaker_0,వాడు పట్టాడా?,vaadu pattaadaa?
77,"00:04:38,180","00:04:38,530",speaker_0,ఇవ్వరా.,ivvaraa.
78,"00:05:09,479","00:05:10,079",speaker_0,నువ్వు మళ్ళీ,nuvvu mallee
79,"00:05:10,139","00:05:11,330",speaker_0,వాడి ముక్కు పోగు ముట్టుకుంటే,vaadi mukku pogu muttukunte
80,"00:05:14,689","00:05:15,300",speaker_0,ఈసారి నా,eesaari naa
81,"00:05:15,360","00:05:15,710",speaker_0,చేతిలో,chethilo
82,"00:05:16,259","00:05:17,500",speaker_0,కరెంటు తీగ కాదు.,current theega kaadhu.
83,"00:05:20,009","00:05:21,259",speaker_0,కరెంటు పోలుంటది.,current poluntadhi.
84,"00:05:25,079","00:05:25,430",speaker_0,పదరా.,padharaa.
85,"00:05:44,689","00:05:45,250",speaker_1,దూరంగా ఉన్న,dhoorangaa unna
86,"00:05:45,300","00:05:45,810",speaker_1,ఆ ప్రాంతంలో,aa praanthamlo
87,"00:05:48,209","00:05:49,259",speaker_1,యుద్ధం ఓడిపోతే,yudhdham odipothe
88,"00:05:51,060","00:05:51,810",speaker_1,అన్నీ కోల్పోయినట్టే.,annee kolpoyinatte.
89,"00:06:18,609","00:06:18,979",speaker_2,ముందు ముందు,mundhu mundhu
