index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:10,580","00:00:13,529",speaker_0,పొగ త్రాగుట మద్యం సేవించడం ఆరోగ్యానికి హానికరం మరియు cancer కి,poga thraaguta madhyam sevinchadam aarogyaaniki haanikaram mariyu cancer ki
2,"00:00:13,580","00:00:13,880",speaker_0,కారకం.,kaarakam.
3,"00:01:44,590","00:01:45,289",speaker_1,ప్రపంచ దేశాల్లో,prapancha dheshaallo
4,"00:01:45,540","00:01:46,250",speaker_1,భారత ప్రతిష్టను,bhaaratha prathishtanu
5,"00:01:46,420","00:01:46,769",speaker_1,నిలబెట్టిన,nilabettina
6,"00:01:46,980","00:01:49,669",speaker_1,తెలుగు తేజం నెంబర్ వన్ American company Technobyte,thelugu thejam number one American company Technobyte
7,"00:01:49,859","00:01:51,429",speaker_1,CEO సత్యా ఆకెళ్ళ గారు,CEO sathyaa aakella gaaru
8,"00:01:51,640","00:01:52,700",speaker_1,భారత పర్యటనకు వచ్చారు.,bhaaratha paryatanaku vachhaaru.
9,"00:01:53,180","00:01:53,789",speaker_1,ఆయన్ని కలవడానికి,aayanni kalavadaaniki
10,"00:01:54,060","00:01:54,929",speaker_1,అన్ని రాష్ట్రాల ముఖ్యమంత్రులు,anni raashtraala mukhyamanthrulu
11,"00:01:55,180","00:01:55,750",speaker_1,పోటీ పడుతున్న,pot paduthunna
12,"00:01:56,260","00:01:58,169",speaker_1,ఆకెళ్ళ గారు తన సొంత రాష్ట్రమైన తెలంగాణకే,aakella gaaru thana sontha raashtramaina thelangaanake
13,"00:01:58,459","00:01:59,030",speaker_1,ముందు రావాలని,mundhu raavaalani
14,"00:01:59,439","00:01:59,789",speaker_1,పట్టుబట్టి,pattubatti
15,"00:02:00,040","00:02:00,390",speaker_1,కేంద్రానికి,kendhraaniki
16,"00:02:00,680","00:02:02,349",speaker_1,ఎదురెళ్లి మరి మన రాష్ట్రానికి తీసుకువస్తున్నారు,yedhurelli mari mana raashtraaniki theesukuvasthunnaaru
17,"00:02:03,019","00:02:04,030",speaker_1,CM కేశవ్ గారు.,CM keshav gaaru.
18,"00:02:06,900","00:02:07,509",speaker_2,హాయ్ సర్! నమస్తే!,haay sir! namasthe!
19,"00:02:08,159","00:02:08,569",speaker_2,నమస్తే సర్!,namasthe sir!
20,"00:02:11,060","00:02:13,810",speaker_1,ఆకెళ్ళ గారి స్పెషల్ security కోసం IPS officer మీనాక్షిని appoint,aakella gaari special security kosam IPS officer meenaakshini appoint
21,"00:02:13,860","00:02:14,280",speaker_1,చేశాం సర్.,cheshaam sir.
22,"00:02:20,979","00:02:21,800",speaker_2,ఆహ్ డీజీపీ గారు,aah deejeepee gaaru
23,"00:02:22,039","00:02:22,810",speaker_3,తమ్ముడు కేశవ,thammudu keshava
24,"00:02:23,300","00:02:25,049",speaker_3,పార్టీ President అమ్మా! మాకుండవా,party President ammaa! maakundavaa
25,"00:02:25,479","00:02:25,989",speaker_3,ఈ salute,ee salute
26,"00:02:26,139","00:02:26,579",speaker_3,లు,lu
27,"00:02:26,680","00:02:28,379",speaker_2,ఆహ్ మీనాక్షి మా పార్టీ President గారమ్మా.,aah meenaakshi maa party President gaarammaa.
28,"00:02:32,099","00:02:34,150",speaker_2,ఆకెళ్ళ తెలంగాణ బిడ్డ. ఆయన తెలంగాణకు,aakella thelangaana bidda. aayana thelangaanaku
29,"00:02:34,280","00:02:34,699",speaker_2,వస్తుండు.,vasthundu.
30,"00:02:35,219","00:02:38,129",speaker_2,ఆయన్ని జరా పట్టుకుని నాలుగు కంపెనీలు తెచ్చుకుంటే మన తెలంగాణ ముందుకు,aayanni jaraa pattukuni naalugu kampeneelu thechhukunte mana thelangaana mundhuku
31,"00:02:38,180","00:02:39,329",speaker_2,పోతది. నేనైతే,pothadhi. nenaithe
32,"00:02:39,520","00:02:39,870",speaker_2,గర్విస్తున్న.,garvisthunna.
33,"00:02:40,419","00:02:41,210",speaker_3,పార్టీ President,party President
34,"00:02:41,419","00:02:42,590",speaker_3,గా నేను కూడా గర్వించకూడదా,gaa nenu koodaa garvinchakoodadhaa
35,"00:02:42,960","00:02:43,360",speaker_3,కేశవా?,keshavaa?
36,"00:02:43,560","00:02:44,289",speaker_2,ఆయన కూడా గర్విస్తుండు.,aayana koodaa garvisthundu.
37,"00:02:48,110","00:02:48,669","speaker_1, speaker_4",మీనాక్షి Yes,meenaakshi Yes
38,"00:02:48,719","00:02:48,840",speaker_4,sir,sir
39,"00:02:48,960","00:02:50,590",speaker_1,Center కి ఎదురుపోయి ఆకెళ్ళ గారిని తీసుకువస్తున్నాం.,Center ki yedhurupoyi aakella gaarini theesukuvasthunnaam.
40,"00:02:50,919","00:02:51,020",speaker_4,Sir,Sir
41,"00:02:51,199","00:02:53,129",speaker_1,Security విషయంలో ఎటువంటి mistake జరగడానికి,Security vishayamlo yetuvanti mistake jaragadaaniki
42,"00:02:53,280","00:02:53,509",speaker_1,వీల్లేదు.,veelledhu.
