index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:40,000","00:00:40,350",speaker_0,సర్వమంగళ,sarvamangala
2,"00:01:03,920","00:01:04,269",speaker_0,మాంగల్యే,maangalye
3,"00:01:08,070","00:01:09,900",speaker_0,శివే సర్వార్థ,shive sarvaartha
4,"00:01:10,040","00:01:10,390",speaker_0,సాధికే,saadhike
5,"00:01:13,969","00:01:15,980",speaker_0,శరణ్యే త్యంబకే,sharanye thyambake
6,"00:01:16,060","00:01:16,409",speaker_0,దేవి,dhevi
7,"00:01:18,200","00:01:18,549",speaker_0,నారాయణి,naaraayani
8,"00:01:20,280","00:01:20,629",speaker_0,నమోస్తుతే,namosthuthe
9,"00:02:51,830","00:02:52,949",speaker_1,ఈరోజు మధ్యాహ్నం,eeroju madhyaahnam
10,"00:02:53,000","00:02:53,349",speaker_1,లోపు,lopu
11,"00:02:54,770","00:02:55,869",speaker_1,మీరు ఊహించని,meeru oohinchani
12,"00:02:55,919","00:02:56,269",speaker_1,అద్భుతం,adhbhutham
13,"00:02:56,539","00:02:56,889",speaker_1,జరుగుతుంది.,jaruguthundhi.
14,"00:03:03,120","00:03:03,449",speaker_1,వావ్!,vaav!
15,"00:03:06,000","00:03:06,750",speaker_1,ఈరోజు ఖచ్చితంగా,eeroju khachhithangaa
16,"00:03:06,960","00:03:07,989",speaker_1,మిస్ కాకుండా చెప్పేసేయాలి.,miss kaakundaa cheppeseyaali.
17,"00:03:15,950","00:03:16,629",speaker_1,బాస్ ఈరోజు,boss eeroju
18,"00:03:16,719","00:03:18,310",speaker_1,ఆ అద్భుతం జరిగేలా చూడాలి మీరు,aa adhbhutham jarigelaa choodaali meeru
19,"00:03:18,639","00:03:18,989",speaker_1,ప్లీజ్.,please.
20,"00:03:22,460","00:03:22,849",speaker_1,ఉమ్,um
21,"00:03:23,379","00:03:24,430",speaker_1,ఇంగ్లీషు వోడు కూడా అదే చెప్తున్నాడుగా.,ingleeshu vodu koodaa adhe chepthunnaadugaa.
22,"00:03:24,639","00:03:26,489",speaker_2,రేయ్ సారంగా మంచి నీళ్ళు ఆగిపోయాయి.,rey saarangaa manchi neellu aagipoyaayi.
23,"00:03:27,460","00:03:28,329",speaker_2,జాతకంలో చూసి చెప్తావేంట్రా,jaathakamlo choosi chepthaaventraa
