index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:02:22,680","00:02:23,169",speaker_1,ఏంటి బాబు,yenti baabu
2,"00:02:23,460","00:02:25,049",speaker_1,ఇంటికి వెళ్ళకుండా ఇక్కడే పడుకున్నావ్,intiki vellakundaa ikkade padukunnaav
3,"00:02:25,460","00:02:27,469",speaker_1,పోనీ నాతో పాటు వచ్చి మా చావిటిలో పడుకో,ponee naatho paatu vachhi maa chaavitilo paduko
4,"00:02:27,840","00:02:28,989",speaker_1,తిండి ఎలా పెడుతున్నానో చూస్తున్నావుగా,timid yelaa peduthunnaano choosthunnaavugaa
5,"00:02:29,419","00:02:30,360",speaker_1,కావాలంటే దీన్నే అడుగు,kaavaalante dheenne adugu
6,"00:02:31,300","00:02:31,930",speaker_1,ఇక్కడికి వచ్చినప్పుడు,ikkadiki vachhinappudu
7,"00:02:32,319","00:02:33,020",speaker_1,ఇది గున్నే నువ్వు,idhi gunne nuvvu
8,"00:02:33,560","00:02:34,979",speaker_1,నీ భుజాల వరకే ఉండేది బాబు,nee bhujaala varake undedhi baabu
9,"00:02:35,460","00:02:35,810",speaker_1,ఇప్పుడేమో,ippudemo
10,"00:02:36,599","00:02:37,960",speaker_1,నువ్వు దాని భుజాల వరకు ఉన్నావ్,nuvvu dhaani bhujaala varaku unnaav
11,"00:02:38,419","00:02:39,129",speaker_1,దానికి ఇష్టమైనవన్నీ,dhaaniki ishtamainavannee
12,"00:02:39,479","00:02:39,829",speaker_1,పెట్టి,petti
13,"00:02:40,060","00:02:40,409",speaker_1,దిట్టంగా,dhittangaa
14,"00:02:40,620","00:02:41,329",speaker_1,పెంచాను కదూ,penchaanu kadhoo
15,"00:02:41,919","00:02:42,269",speaker_1,ఏమంటావే,yemantaave
16,"00:02:42,539","00:02:42,889",speaker_1,బుజ్జి,bujji
17,"00:02:43,300","00:02:45,169",speaker_1,నా బంగారు బుజ్జి నా బంగారు,naa bangaaru bujji naa bangaaru
18,"00:02:45,419","00:02:45,769",speaker_1,బుజ్జి,bujji
19,"00:02:50,259","00:02:50,609",speaker_2,తాత,thaatha
20,"00:02:53,800","00:02:54,590",speaker_2,బుజ్జిని తీసుకెళ్తా తాత,bujjini theesukelthaa thaatha
21,"00:02:55,199","00:02:55,989",speaker_2,time అయింది కదా,time ayindhi kadhaa
22,"00:02:56,560","00:02:57,389",speaker_2,ఆకలి వేస్తూ ఉంటుంది,aakali vesthoo untundhi
23,"00:02:57,699","00:02:58,210",speaker_2,రేయ్ బుజ్జి,rey bujji
24,"00:02:58,919","00:02:59,269",speaker_2,వెళ్ళరా,vellaraa
25,"00:02:59,979","00:03:00,680",speaker_1,దా అమ్మ దా,dhaa amma dhaa
26,"00:03:02,300","00:03:03,020",speaker_1,వెళ్దాం రా,veldhaam raa
27,"00:03:04,080","00:03:04,300",speaker_2,తాత,thaatha
28,"00:03:04,520","00:03:04,870",speaker_1,రా,raa
29,"00:03:07,280","00:03:08,650",speaker_2,మేము ఊరొదిలి వెళ్ళిపోతున్నాం,memu oorodhili vellipothunnaam
