index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,340","00:00:05,809",speaker_0,പുകവലി മദ്യപാനവും,പുകവലി മദ്യപാനവും
2,"00:00:06,040","00:00:06,830",speaker_0,ആരോഗ്യത്തിന് ഹാനികരമാണ്,ആരോഗ്യത്തിന് ഹാനികരമാണ്
3,"00:00:07,040","00:00:07,989",speaker_0,അത് അർബുദത്തിന് കാരണമാകുന്നു,അത് അർബുദത്തിന് കാരണമാകുന്നു
4,"00:00:08,320","00:00:09,969",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
5,"00:00:10,199","00:00:12,039",speaker_0,are injurious to health and it causes cancer.,are injurious to health and it causes cancer.
6,"00:02:29,409","00:02:30,049",speaker_0,മഹാഭാരതം ഇതൊരു,മഹാഭാരതം ഇതൊരു
7,"00:02:30,099","00:02:30,449",speaker_0,യുദ്ധത്തിന്റെ,യുദ്ധത്തിന്റെ
8,"00:02:30,699","00:02:31,489",speaker_0,മാത്രം കഥയല്ല,മാത്രം കഥയല്ല
9,"00:02:32,259","00:02:32,609",speaker_0,ധർമ്മത്തിൻറെ,ധർമ്മത്തിൻറെ
10,"00:02:32,879","00:02:33,539",speaker_0,കഥ കൂടിയാണ്,കഥ കൂടിയാണ്
11,"00:02:34,180","00:02:34,750",speaker_0,ഒരു ദേശത്തിൻറെ,ഒരു ദേശത്തിൻറെ
12,"00:02:35,039","00:02:35,389",speaker_0,കഥയാണ്,കഥയാണ്
13,"00:02:36,120","00:02:37,310",speaker_0,വ്യാസ ഭഗവാൻ രചിച്ച,വ്യാസ ഭഗവാൻ രചിച്ച
14,"00:02:38,000","00:02:38,349",speaker_0,പഞ്ചമവേദത്തിലെ,പഞ്ചമവേദത്തിലെ
15,"00:02:39,060","00:02:40,009",speaker_0,ആദി പർവ്വത്തെ അടിസ്ഥാനമാക്കി,ആദി പർവ്വത്തെ അടിസ്ഥാനമാക്കി
16,"00:02:41,039","00:02:41,389",speaker_0,മഹാകവി,മഹാകവി
17,"00:02:41,620","00:02:41,969",speaker_0,കാളിദാസൻ,കാളിദാസൻ
18,"00:02:42,340","00:02:42,689",speaker_0,എഴുതിയ,എഴുതിയ
19,"00:02:42,879","00:02:43,229",speaker_0,അഭിജ്ഞാനശാകുന്തളത്തെയാണ്,അഭിജ്ഞാനശാകുന്തളത്തെയാണ്
20,"00:02:44,719","00:02:45,479",speaker_0,ഈ കഥ പിന്തുടരുന്നത്,ഈ കഥ പിന്തുടരുന്നത്
21,"00:02:46,319","00:02:47,349",speaker_0,യുഗങ്ങൾ ഏറെ കഴിഞ്ഞിട്ടും,യുഗങ്ങൾ ഏറെ കഴിഞ്ഞിട്ടും
22,"00:02:47,759","00:02:48,449",speaker_0,ഇന്നും മനസ്സുരമായി,ഇന്നും മനസ്സുരമായി
23,"00:02:48,819","00:02:49,710",speaker_0,നിൽക്കുന്ന ഒരു പ്രണയകഥയാണിത്.,നിൽക്കുന്ന ഒരു പ്രണയകഥയാണിത്.
24,"00:04:29,699","00:04:30,310",speaker_1,എടോ ശാരദേവതാ,എടോ ശാരദേവതാ
25,"00:04:30,699","00:04:32,150",speaker_1,ഗുരുവിന്റെ പ്രിയപ്പെട്ട ശിഷ്യൻ ഞാനല്ല,ഗുരുവിന്റെ പ്രിയപ്പെട്ട ശിഷ്യൻ ഞാനല്ല
26,"00:04:32,399","00:04:32,750",speaker_1,നീയാണെന്നല്ലേ,നീയാണെന്നല്ലേ
27,"00:04:33,040","00:04:35,379",speaker_1,പറയാറ് എന്നാ ഈ ദർഭയുടെ പേരെന്താണെന്ന് അറിയിക്ക് കേൾക്കട്ടെ.,പറയാറ് എന്നാ ഈ ദർഭയുടെ പേരെന്താണെന്ന് അറിയിക്ക് കേൾക്കട്ടെ.
28,"00:04:35,759","00:04:37,830",speaker_2,ദർഭ ദർഭ തന്നെ ദർഭയ്ക്ക് വേറെന്തു പേരുണ്ടാകാനാ.,ദർഭ ദർഭ തന്നെ ദർഭയ്ക്ക് വേറെന്തു പേരുണ്ടാകാനാ.
29,"00:04:38,199","00:04:39,189",speaker_1,പത്ത് തരം ദർഭകളുണ്ട്,പത്ത് തരം ദർഭകളുണ്ട്
30,"00:04:39,620","00:04:42,189",speaker_1,ഏഭ്യാ കുശം കാശം യവം ദുർവം വിശമിത്രം,ഏഭ്യാ കുശം കാശം യവം ദുർവം വിശമിത്രം
31,"00:04:42,410","00:04:43,570",speaker_1,മുഷിരം കുന്തുരം ഗോതമ്പ്,മുഷിരം കുന്തുരം ഗോതമ്പ്
32,"00:04:43,720","00:04:44,480",speaker_1,റീഹിം മുഞ്ചം.,റീഹിം മുഞ്ചം.
33,"00:04:48,220","00:04:49,290",speaker_2,ആ കരച്ചിൽ ഒരു കുഞ്ഞിന്റേത്,ആ കരച്ചിൽ ഒരു കുഞ്ഞിന്റേത്
34,"00:04:49,459","00:04:49,660",speaker_2,അല്ലേ.,അല്ലേ.
35,"00:05:37,370","00:05:37,879",speaker_1,ഗുരുവര്യ ഈ,ഗുരുവര്യ ഈ
36,"00:05:37,959","00:05:38,310",speaker_1,പൈതൽ...,പൈതൽ...
37,"00:05:39,379","00:05:41,460",speaker_3,ഗുരുവര്യ പാവം ഏത് അമ്മയാണ് ഉപേക്ഷിച്ചു,ഗുരുവര്യ പാവം ഏത് അമ്മയാണ് ഉപേക്ഷിച്ചു
38,"00:05:41,680","00:05:41,980",speaker_3,പോയത്.,പോയത്.
39,"00:05:43,480","00:05:44,070",speaker_0,ഈ ഭൂമിയിൽ,ഈ ഭൂമിയിൽ
40,"00:05:45,479","00:05:46,269",speaker_0,മാതാപിതാക്കൾക്ക് വേണ്ടാത്ത,മാതാപിതാക്കൾക്ക് വേണ്ടാത്ത
41,"00:05:46,319","00:05:47,150",speaker_0,ആദ്യത്തെ പൈതൽ,ആദ്യത്തെ പൈതൽ
42,"00:05:47,560","00:05:47,910",speaker_0,വിശ്വാമിത്രൻറെ,വിശ്വാമിത്രൻറെ
43,"00:05:48,319","00:05:50,170",speaker_0,തപസ്സിന് പങ്കും വരുത്തുവാൻ മഹേന്ദ്രൻ,തപസ്സിന് പങ്കും വരുത്തുവാൻ മഹേന്ദ്രൻ
44,"00:05:50,360","00:05:50,710",speaker_0,മേനകയെ,മേനകയെ
45,"00:05:50,899","00:05:51,250",speaker_0,ഭൂമിയിലേക്ക്,ഭൂമിയിലേക്ക്
46,"00:05:51,550","00:05:51,900",speaker_0,അയച്ചു.,അയച്ചു.
47,"00:06:21,799","00:06:22,709",speaker_4,തപോഭംഗം സംഭവിച്ചു.,തപോഭംഗം സംഭവിച്ചു.
48,"00:06:23,689","00:06:24,540",speaker_4,അങ്ങനെ മേനകയുടെയും,അങ്ങനെ മേനകയുടെയും
49,"00:06:24,970","00:06:25,320",speaker_4,വിശ്വാമിത്രന്റെയും,വിശ്വാമിത്രന്റെയും
50,"00:06:25,908","00:06:26,640",speaker_4,പ്രണയ പ്രതീകമാണിവൾ.,പ്രണയ പ്രതീകമാണിവൾ.
51,"00:06:29,719","00:06:30,610",speaker_4,മനുഷ്യജന്മങ്ങൾക്ക് പരലോകത്ത്,മനുഷ്യജന്മങ്ങൾക്ക് പരലോകത്ത്
52,"00:06:30,689","00:06:31,040",speaker_4,പ്രവേശനമില്ലാത്തതിനാൽ,പ്രവേശനമില്ലാത്തതിനാൽ
53,"00:06:32,110","00:06:33,080",speaker_4,ആ അമ്മ ഈ കുഞ്ഞിനെ,ആ അമ്മ ഈ കുഞ്ഞിനെ
54,"00:06:33,410","00:06:34,600",speaker_4,ഈ ഭൂമിയിൽ തന്നെ ഉപേക്ഷിച്ചു,ഈ ഭൂമിയിൽ തന്നെ ഉപേക്ഷിച്ചു
55,"00:06:34,769","00:06:35,089",speaker_4,പോയി.,പോയി.
56,"00:06:45,920","00:06:46,730",speaker_5,അയ്യോ പാവം,അയ്യോ പാവം
57,"00:06:47,588","00:06:48,350",speaker_5,അപ്സരസിന്റെ കുഞ്ഞ്,അപ്സരസിന്റെ കുഞ്ഞ്
58,"00:06:48,670","00:06:49,020",speaker_5,അനാഥയായിപ്പോയല്ലോ.,അനാഥയായിപ്പോയല്ലോ.
59,"00:06:51,850","00:06:52,600",speaker_4,ഈ കുഞ്ഞ് അനാഥയാവില്ല,ഈ കുഞ്ഞ് അനാഥയാവില്ല
60,"00:06:53,060","00:06:53,410",speaker_4,ഒരിക്കലും.,ഒരിക്കലും.
61,"00:06:54,529","00:06:55,700",speaker_4,ഇനിമുതൽ നമ്മുടെ പുത്രിയാണ്.,ഇനിമുതൽ നമ്മുടെ പുത്രിയാണ്.
62,"00:06:57,099","00:06:57,599",speaker_5,അങ്ങനെയെങ്കിൽ ഇനി,അങ്ങനെയെങ്കിൽ ഇനി
63,"00:06:57,649","00:06:58,360",speaker_5,നമ്മുടെ ആശ്രമത്തിൽ,നമ്മുടെ ആശ്രമത്തിൽ
64,"00:06:58,569","00:06:58,920",speaker_5,നമ്മോടൊപ്പം,നമ്മോടൊപ്പം
65,"00:06:59,110","00:07:00,160",speaker_5,തന്നെ ഉണ്ടാകുമോ ഗുരുവര്യാ.,തന്നെ ഉണ്ടാകുമോ ഗുരുവര്യാ.
66,"00:07:00,709","00:07:01,389",speaker_4,"അതെ പുത്രാ,","അതെ പുത്രാ,"
67,"00:07:02,329","00:07:03,879",speaker_4,സ്വന്ത ബന്ധങ്ങൾ ഉപേക്ഷിച്ച് അദ്വൈതസിദ്ധി,സ്വന്ത ബന്ധങ്ങൾ ഉപേക്ഷിച്ച് അദ്വൈതസിദ്ധി
68,"00:07:04,269","00:07:04,620",speaker_4,പ്രാപ്തമാക്കാൻ,പ്രാപ്തമാക്കാൻ
69,"00:07:05,009","00:07:05,780",speaker_4,ഒരുങ്ങിയ ഈ ബ്രഹ്മചാരിക്ക്,ഒരുങ്ങിയ ഈ ബ്രഹ്മചാരിക്ക്
70,"00:07:07,350","00:07:08,550",speaker_4,കാലം സമ്മാനിച്ച ബന്ധം.,കാലം സമ്മാനിച്ച ബന്ധം.
71,"00:07:09,050","00:07:10,060",speaker_4,ഈ കശബ ഘട്ടങ്ങളിൽ,ഈ കശബ ഘട്ടങ്ങളിൽ
72,"00:07:10,269","00:07:11,480",speaker_4,നിന്നും കശ്യപ പ്രജാപതി,നിന്നും കശ്യപ പ്രജാപതി
73,"00:07:12,050","00:07:13,439",speaker_4,നമുക്കായി എന്തോ സൂചന നൽകുകയാണ്.,നമുക്കായി എന്തോ സൂചന നൽകുകയാണ്.
74,"00:07:14,209","00:07:14,939",speaker_4,എന്തോ മഹത്കാര്യം,എന്തോ മഹത്കാര്യം
75,"00:07:15,290","00:07:15,640",speaker_4,സംഭവിക്കാൻ,സംഭവിക്കാൻ
76,"00:07:15,870","00:07:16,209",speaker_4,പോകുന്നു.,പോകുന്നു.
77,"00:07:16,629","00:07:17,580",speaker_4,ഇവൾ നമ്മുടെ ഉത്തരവാദിത്വമാണ്.,ഇവൾ നമ്മുടെ ഉത്തരവാദിത്വമാണ്.
78,"00:07:19,670","00:07:20,320",speaker_5,എന്ത് ഭംഗിയാണീ,എന്ത് ഭംഗിയാണീ
79,"00:07:20,529","00:07:21,240",speaker_5,കുഞ്ഞിനെ കാണാൻ.,കുഞ്ഞിനെ കാണാൻ.
80,"00:07:22,470","00:07:22,990",speaker_5,ഈ കുഞ്ഞിന്,ഈ കുഞ്ഞിന്
81,"00:07:23,509","00:07:24,680",speaker_5,എന്തു പേര് നൽകും ഗുരുദേവാ.,എന്തു പേര് നൽകും ഗുരുദേവാ.
82,"00:07:27,679","00:07:28,779",speaker_4,ശകുന്തപ്പക്ഷികൾ സംരക്ഷിച്ചിരുന്ന,ശകുന്തപ്പക്ഷികൾ സംരക്ഷിച്ചിരുന്ന
83,"00:07:28,829","00:07:29,700",speaker_4,ഈ കുഞ്ഞിന്റെ പേര്,ഈ കുഞ്ഞിന്റെ പേര്
84,"00:07:32,120","00:07:33,750","speaker_4, speaker_5","ശകുന്തള. ശകുന്തള,","ശകുന്തള. ശകുന്തള,"
85,"00:07:34,170","00:07:34,389",speaker_5,യേ,യേ
86,"00:07:35,029","00:07:35,379",speaker_5,ശകുന്തള.,ശകുന്തള.
87,"00:09:31,048","00:09:32,059",speaker_5,ദേവതകൾ പോലെയാണ്,ദേവതകൾ പോലെയാണ്
88,"00:09:32,169","00:09:34,350",speaker_5,നീ എത്തിയത് സ്വാമി. എന്റെ കുഞ്ഞാണ് സ്വാമി.,നീ എത്തിയത് സ്വാമി. എന്റെ കുഞ്ഞാണ് സ്വാമി.
89,"00:09:34,409","00:09:34,529",speaker_5,ദേഷ്യം തന്ന,ദേഷ്യം തന്ന
90,"00:09:35,990","00:09:36,269",speaker_5,ദൈവമേ.,ദൈവമേ.
91,"00:09:36,690","00:09:38,659",speaker_5,ദുഷ്യന്ത ദേവാ വാലിനി നദി കടന്ന് രക്ഷകനായി,ദുഷ്യന്ത ദേവാ വാലിനി നദി കടന്ന് രക്ഷകനായി
92,"00:09:38,799","00:09:39,149",speaker_5,എത്തിയതാണങ്ങ്.,എത്തിയതാണങ്ങ്.
93,"00:09:40,199","00:09:40,820",speaker_5,വന്യമൃഗങ്ങൾ ഞങ്ങളെ,വന്യമൃഗങ്ങൾ ഞങ്ങളെ
94,"00:09:40,870","00:09:41,220",speaker_5,ആക്രമിക്കുകയാണ്.,ആക്രമിക്കുകയാണ്.
95,"00:09:42,169","00:09:42,800",speaker_5,ഞങ്ങളെ രക്ഷിക്കണം,ഞങ്ങളെ രക്ഷിക്കണം
96,"00:09:42,940","00:09:43,920",speaker_5,മഹാരാജൻ. രക്ഷിക്കണേ,മഹാരാജൻ. രക്ഷിക്കണേ
97,"00:09:44,870","00:09:45,309",speaker_5,തമ്പുരാനേ,തമ്പുരാനേ
98,"00:09:45,710","00:09:46,139",speaker_5,തമ്പുരാനേ തങ്കല്ലാതെ,തമ്പുരാനേ തങ്കല്ലാതെ
99,"00:09:46,289","00:09:46,940",speaker_5,ഞങ്ങൾക്ക് ആരുമില്ല,ഞങ്ങൾക്ക് ആരുമില്ല
100,"00:09:47,230","00:09:47,580",speaker_5,രക്ഷിക്കണേ.,രക്ഷിക്കണേ.
101,"00:09:49,710","00:09:51,549",speaker_5,"കാടിനെ ആശ്രയിക്കുന്ന നിങ്ങളുടെ ലക്ഷം മാത്രമല്ല,","കാടിനെ ആശ്രയിക്കുന്ന നിങ്ങളുടെ ലക്ഷം മാത്രമല്ല,"
102,"00:09:52,029","00:09:52,720",speaker_5,കാട്ടിലെ മൃഗങ്ങളുടെ,കാട്ടിലെ മൃഗങ്ങളുടെ
103,"00:09:52,909","00:09:54,769",speaker_5,സ്വാതന്ത്ര്യം ഉറപ്പു വരുത്തേണ്ടതും നമ്മുടെ ധർമ്മമാണ്.,സ്വാതന്ത്ര്യം ഉറപ്പു വരുത്തേണ്ടതും നമ്മുടെ ധർമ്മമാണ്.
104,"00:09:55,470","00:09:56,659",speaker_5,നമ്മുടെ സൈന്യം നിങ്ങളെ സുരക്ഷിതമായ,നമ്മുടെ സൈന്യം നിങ്ങളെ സുരക്ഷിതമായ
105,"00:09:56,830","00:09:57,560",speaker_5,സ്ഥലങ്ങളിൽ എത്തിക്കും,സ്ഥലങ്ങളിൽ എത്തിക്കും
106,"00:09:57,809","00:09:58,159",speaker_5,ഭയപ്പെടേണ്ട.,ഭയപ്പെടേണ്ട.
107,"00:09:59,669","00:10:00,200",speaker_5,ദാ നോക്കൂ,ദാ നോക്കൂ
108,"00:10:00,370","00:10:00,669",speaker_5,അവിടെ,അവിടെ
109,"00:10:01,649","00:10:02,220",speaker_5,അയ്യോ പുലികൂട്ടം.,അയ്യോ പുലികൂട്ടം.
110,"00:12:39,389","00:12:40,150",speaker_2,ദുഷ്യന്ത മഹാരാജൻ,ദുഷ്യന്ത മഹാരാജൻ
111,"00:12:40,200","00:12:42,100",speaker_2,ആണോ അദ്ദേഹത്തെ കണ്ടിട്ട് അതുപോലെ തോന്നുന്നു,ആണോ അദ്ദേഹത്തെ കണ്ടിട്ട് അതുപോലെ തോന്നുന്നു
112,"00:12:42,949","00:12:43,890",speaker_2,അതെ മഹാരാജൻ,അതെ മഹാരാജൻ
113,"00:12:43,940","00:12:44,340",speaker_2,തന്നെയാണ്,തന്നെയാണ്
114,"00:12:45,200","00:12:45,550",speaker_2,പ്രണാമം,പ്രണാമം
115,"00:12:49,080","00:12:49,430",speaker_2,ശ്രീദത്ത,ശ്രീദത്ത
116,"00:12:53,909","00:12:54,770",speaker_2,മഹാരാജനെ സവനിയം,മഹാരാജനെ സവനിയം
117,"00:12:54,820","00:12:55,570",speaker_2,സ്വാഗതം ചെയ്താലോ,സ്വാഗതം ചെയ്താലോ
118,"00:13:22,389","00:13:22,490",speaker_2,.,.
119,"00:13:23,279","00:13:23,629",speaker_2,ആശ്ചര്യം,ആശ്ചര്യം
