index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,ఈ,ee
2,"00:00:29,949","00:00:30,789",speaker_0,చిత్రంలోని పాత్రలు,chithramloni paathralu
3,"00:00:30,839","00:00:31,190",speaker_0,పాత్రధారులు,paathradhaarulu
4,"00:00:31,440","00:00:32,049",speaker_0,మరియు సన్నివేశాలు,mariyu sanniveshaalu
5,"00:00:32,240","00:00:33,530",speaker_0,కేవలం కల్పితాలు. ఈ చిత్రంలోని,kevalam kalpithaalu. ee chithramloni
6,"00:00:33,679","00:00:36,609",speaker_0,పాత్రలు బతికున్న లేదా చనిపోయిన వ్యక్తితో కోలి ఉంటే అది కేవలం యాదృచ్చికం.,paathralu bathikunna ledhaa chanipoyina vyaktitho koli unte adhi kevalam yaadhruchhikam.
7,"00:00:36,880","00:00:38,609",speaker_0,"ఈ చిత్రం యొక్క నిర్మాణం ఏ మత సమూహాన్ని,","ee chithram yokka nirmaanam ye matha samoohaanni,"
8,"00:00:38,799","00:00:39,149",speaker_0,"నమ్మకాలను,","nammakaalanu,"
9,"00:00:39,399","00:00:39,750",speaker_0,"చరిత్రను,","charithranu,"
10,"00:00:39,960","00:00:40,310",speaker_0,"పురాణాలను,","puraanaalanu,"
11,"00:00:40,539","00:00:41,670",speaker_0,అగోచర పత్రాలను దృక్పథంతో,agochara pathraalanu dhrukpathantho
12,"00:00:41,859","00:00:42,210",speaker_0,స్థిరీకరించబడినవి,sthireekarinchabadinavi
13,"00:00:42,619","00:00:42,899",speaker_0,కావు.,coo.
14,"00:02:05,359","00:02:06,969",speaker_1,ఈ కథ కొన్ని వేల సంవత్సరాల,ee katha konni vela samvathsaraala
15,"00:02:07,280","00:02:07,949",speaker_1,క్రితం మొదలైంది.,kritham modhalaindhi.
16,"00:02:09,129","00:02:10,109",speaker_1,కాలాన్నే కొలవలేని,kaalaanne kolavaleni
17,"00:02:10,159","00:02:10,509",speaker_1,సమయంలో,samayamlo
18,"00:02:10,780","00:02:11,129",speaker_1,నక్షత్రాలు,nakshathraalu
19,"00:02:11,379","00:02:12,129",speaker_1,ఇంకా పసిపిల్లలగా,inkaa pasipillalagaa
20,"00:02:12,580","00:02:13,409",speaker_1,మెరిసే రోజుల్లో,merise rojullo
21,"00:02:13,900","00:02:14,250",speaker_1,అంధకాసురుడు,andhakaasurudu
22,"00:02:14,719","00:02:15,509",speaker_1,అనే ఒక రాక్షసుడు,ane oka raakshasudu
23,"00:02:15,800","00:02:16,150",speaker_1,ఉద్భవించాడు.,udhbhavinchaadu.
24,"00:02:17,159","00:02:17,930",speaker_1,అతని క్రూరత్వానికి,athani kroorathvaaniki
25,"00:02:18,560","00:02:18,909",speaker_1,అంతులేదు.,anthuledhu.
26,"00:02:19,879","00:02:20,629",speaker_1,మూడు లోకాలలో,moodu lokaalalo
27,"00:02:20,900","00:02:21,710",speaker_1,అతని శక్తికి,athani shaktiki
28,"00:02:21,960","00:02:22,310",speaker_1,సమానులు,samaanulu
29,"00:02:22,659","00:02:22,939",speaker_1,లేరు.,leru.
