index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:03:45,080","00:03:45,430",speaker_1,నాయనా!,naayanaa!
2,"00:03:50,590","00:03:52,709",speaker_1,గుదిటి మీద బొట్టు సరిగ్గా లేదు చూసుకో బాబు.,gudhiti meedha bottu sariggaa ledhu choosuko baabu.
3,"00:03:52,759","00:03:54,479",speaker_2,ఇక్కడ జీవితం కూడా సరిగ్గా లేదు నాయనా!,ikkada jeevitham koodaa sariggaa ledhu naayanaa!
4,"00:03:56,419","00:03:56,800",speaker_2,స్వామి!,swam!
5,"00:03:57,840","00:03:58,599",speaker_2,ఏడుగొండరా స్వామి!,yedugondaraa swam!
6,"00:03:59,360","00:03:59,889",speaker_2,ఏడు సంవత్సరాలుగా,yedu samvathsaraalugaa
7,"00:04:00,199","00:04:00,549",speaker_2,ఏకదాటిగా,yekadhaatigaa
8,"00:04:00,919","00:04:01,549",speaker_2,నీకే అర్చిస్తున్నాను.,neeke archisthunnaanu.
9,"00:04:02,400","00:04:03,210",speaker_2,ఇంకా నన్ను ఏకాకిగానే,inkaa nannu yekaakigaane
10,"00:04:03,360","00:04:03,710",speaker_2,ఉంచుతావా?,unchuthaavaa?
11,"00:04:04,479","00:04:05,620",speaker_2,నాకొక తోడు చూడు స్వామి!,naakoka thodu choodu swam!
12,"00:04:06,919","00:04:09,259",speaker_2,ఈ ఒంటికాయ సుంటకం జీవితం చాలా కష్టంగా ఉంది.,ee ontikaaya suntakam jeevitham chaalaa kashtangaa undhi.
13,"00:04:10,539","00:04:12,250",speaker_2,రోజూ గెడ్డానికి రంగు వేసుకుని అర్ధాకిలతో,rojoo geddaaniki rangu vesukuni ardhaakilatho
14,"00:04:13,219","00:04:13,569",speaker_2,fitnessలు,fitnesslu
15,"00:04:13,780","00:04:14,870",speaker_2,maintain చేయలేక చచ్చిపోతున్నాను,maintain cheyaleka chachhipothunnaanu
16,"00:04:15,020","00:04:15,219",speaker_2,స్వామి!,swam!
17,"00:04:16,649","00:04:17,189",speaker_2,ఒక్క తోడు,okka thodu
18,"00:04:17,240","00:04:19,050",speaker_2,దొరికిలాగా చూడు స్వామి! ఏంటి స్వామి!,dhorikilaagaa choodu swam! yenti swam!
19,"00:04:19,300","00:04:20,270",speaker_2,తోడే కదా అడిగాను నేను.,thode kadhaa adigaanu nenu.
20,"00:04:20,459","00:04:22,339",speaker_2,ఇస్తున్నా ఇస్తున్నా అంతే. నాకు తెలిసిన దేవుడు ఇస్తున్నా అంతే.,isthunnaa isthunnaa anthe. naaku thelisina dhevudu isthunnaa anthe.
21,"00:04:22,579","00:04:24,740",speaker_1,నాకు already girlfriend ఉందన్న విషయం మీకు తెలియకూడదు స్వామి.,naaku already girlfriend undhanna vishayam meeku theliyakoodadhu swam.
22,"00:04:24,879","00:04:25,230",speaker_2,స్వామి!,swam!
23,"00:04:26,100","00:04:27,950",speaker_2,నాకు ఆ అమ్మాయి దొరికినా దొరకకపోయినా పర్లేదు.,naaku aa ammaayi dhorikinaa dhorakakapoyinaa parledhu.
24,"00:04:28,300","00:04:31,569",speaker_2,వీడికి మాత్రం ఆ అమ్మాయిలో ఆ నక్షరం కూడా దొరకకూడదు స్వామి.,veediki maathram aa ammaayilo aa naksharam koodaa dhorakakoodadhu swam.
25,"00:04:31,620","00:04:33,629",speaker_2,ఇది నా serious request please please please please please.,idhi naa serious request please please please please please.
26,"00:04:38,699","00:04:40,250",speaker_2,ఈ time ఏంచేశావ్ ఏంటి? ఇందాక పక్కనే ఉన్నాడు.,ee time yencheshaav yenti? indhaaka pakkane unnaadu.
27,"00:04:40,300","00:04:41,839",speaker_1,విజయ్ ని metroకి తీసుకురమ్మని చెప్పాను కదా!,vijay ni metroki theesukurammani cheppaanu kadhaa!
28,"00:04:41,899","00:04:44,070",speaker_2,పొద్దున్నే చెప్పాను కదా! దిష్టి తగులుతుంది వాడు కుళ్లుకుని చస్తాడే.,podhdhunne cheppaanu kadhaa! dhishti thaguluthundhi vaadu kullukuni chasthaade.
29,"00:04:44,279","00:04:45,310",speaker_1,అయినా పర్లేదు తీసుకుని రా.,ayinaa parledhu theesukuni raa.
30,"00:04:45,360","00:04:45,830",speaker_2,మ్మ్ తీసుకొస్తా.,mm theesukosthaa.
31,"00:04:46,189","00:04:46,290",speaker_2,ఆ..,aa..
32,"00:04:46,220","00:04:46,779",speaker_1,గుడిలో పోనండి రా.,gudilo ponandi raa.
33,"00:04:46,870","00:04:46,970",speaker_2,ఆ..,aa..
34,"00:04:46,879","00:04:47,420",speaker_1,త్వరగా రా.,thvaragaa raa.
35,"00:04:47,600","00:04:48,370",speaker_2,Okay one minute.,Okay one minute.
