index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:30,000","00:00:30,350",speaker_0,స్వామి,swam
2,"00:01:52,620","00:01:52,969",speaker_0,వీరభద్రస్వామి.,veerabhadhrasvaami.
3,"00:02:06,540","00:02:07,289",speaker_0,స్వామి వీరభద్ర,swam veerabhadhra
4,"00:02:08,120","00:02:09,269",speaker_0,ఈ రోజు నుంచి నేను పట్టుకున్నదల్లా,ee roju nunchi nenu pattukunnadhallaa
5,"00:02:09,580","00:02:10,340",speaker_0,బంగారం కావాలి.,bangaaram kaavaali.
6,"00:02:11,020","00:02:11,590",speaker_0,నేను అనుకున్నవన్నీ,nenu anukunnavannee
7,"00:02:11,879","00:02:12,629",speaker_0,అలాగే జరగాలి.,alaage jaragaali.
8,"00:02:13,080","00:02:13,430",speaker_0,రెండేళ్లుగా,rendellugaa
9,"00:02:13,680","00:02:14,710",speaker_0,నన్ను బాగా ఏడిపించావు.,nannu baagaa yedipinchaavu.
10,"00:02:15,439","00:02:16,469",speaker_0,నీ బిడ్డ వల్ల కావట్లేదు.,nee bidda valla kaavatledhu.
11,"00:02:17,800","00:02:18,780",speaker_0,"నీ కళ్ళు తెరిచి,","nee kallu therichi,"
12,"00:02:19,659","00:02:20,780",speaker_0,"నీ నోరు తెరిచి,","nee noru therichi,"
13,"00:02:21,300","00:02:22,210",speaker_0,నీ ఈ సన్నని,nee ee sannani
14,"00:02:22,379","00:02:22,729",speaker_0,కరుణించు,karuninchu
15,"00:02:22,900","00:02:23,319",speaker_0,స్వామి.,swam.
16,"00:02:23,979","00:02:24,329",speaker_0,రాయివ్వండి.,raayivvandi.
17,"00:02:29,979","00:02:30,629",speaker_0,ఇరవై కిలోమీటర్లు,iravai kilomeetarlu
18,"00:02:30,840","00:02:31,189",speaker_0,దాటి,dhaati
19,"00:02:31,479","00:02:31,829",speaker_0,మహాంకాళమ్మ,mahaankaalamma
20,"00:02:32,060","00:02:32,409",speaker_0,గుళ్లో,gullo
21,"00:02:32,639","00:02:35,650",speaker_0,నిప్పులు తొక్కే తీర్థం ఉందాల. అందరూ నగా నాట్రా వేసుకుని కుటుంబంతో,nippulu thokke theertham undhaala. andharoo nagaa naatraa vesukuni kutumbantho
22,"00:02:35,819","00:02:36,449",speaker_0,సహా వస్తారు.,sahaa vasthaaru.
23,"00:02:36,979","00:02:37,930",speaker_0,నేను ఎక్కువగా ఆశపడట్లేదు.,nenu yekkuvagaa aashapadatledhu.
24,"00:02:38,800","00:02:41,259",speaker_0,ఏదో పదో ఇరవయ్యో పౌను దొరికితే నాకంతే చాలు.,yedho padho iravayyo paunu dhorikithe naakanthe chaalu.
25,"00:02:42,789","00:02:43,289",speaker_0,అందుకే నీ,andhuke nee
26,"00:02:43,340","00:02:44,349",speaker_0,దగ్గర permission తీసుకుందామని,dhaggara permission theesukundhaamani
27,"00:02:44,500","00:02:44,879",speaker_0,వచ్చాను.,vachhaanu.
28,"00:02:46,319","00:02:47,009",speaker_0,వల్లి అనుమతిస్తేనే,valli anumathisthene
29,"00:02:47,740","00:02:48,969",speaker_0,నేను ఇక్కడి నుంచి ధైర్యంగా వెళ్లగలను.,nenu ikkadi nunchi dhairyangaa vellagalanu.
30,"00:02:49,580","00:02:49,930",speaker_0,స్వామి!,swam!
31,"00:02:50,120","00:02:50,469",speaker_0,కరుణించు.,karuninchu.
32,"00:02:51,120","00:02:51,250",speaker_0,ఉమ్,um
33,"00:02:51,300","00:02:51,650",speaker_1,ఏ,ye
34,"00:02:58,639","00:03:00,879",speaker_1,అప్పు అప్పు అప్పు బండ అప్పు. అలాగే పక్కకి తీసు అప్పు.,appu appu appu banda appu. alaage pakkaki theesu appu.
35,"00:03:01,099","00:03:01,349",speaker_1,అప్పు అప్పు.,appu appu.
36,"00:03:01,400","00:03:02,049",speaker_0,సార్ నమస్కారం సర్.,saar namaskaaram sir.
37,"00:03:02,419","00:03:02,519",speaker_1,ఆ,aa
38,"00:03:02,460","00:03:03,370",speaker_0,ఈరోజు మా అబ్బాయి పుట్టినరోజూ.,eeroju maa abbaayi puttinarojoo.
39,"00:03:04,020","00:03:06,300",speaker_0,అందుకే కులదైవం స్వామి గుడిలో పూజ చేయించడానికి వెళ్తున్నాం.,andhuke kuladhaivam swam gudilo pooja cheyinchadaaniki velthunnaam.
40,"00:03:06,419","00:03:06,769",speaker_1,కులదైవం,kuladhaivam
41,"00:03:07,180","00:03:08,620",speaker_1,నలుగురిని ఒకే bike లో రమ్మని చెప్పాడా?,nalugurini oke bike lo rammani cheppaadaa?
42,"00:03:08,819","00:03:09,370",speaker_0,ఆ అవును సర్.,aa avunu sir.
43,"00:03:09,740","00:03:09,900",speaker_1,ఆ,aa
44,"00:03:09,960","00:03:10,509",speaker_0,ఆ అయ్యో కాదు సర్.,aa ayyo kaadhu sir.
45,"00:03:10,900","00:03:11,400",speaker_1,చెప్పండి సార్.,cheppandi saar.
46,"00:03:12,379","00:03:12,729",speaker_0,ఆ,aa
47,"00:03:14,419","00:03:14,979",speaker_0,ఇదిగోండి సర్.,idhigondi sir.
48,"00:03:15,060","00:03:15,459",speaker_1,ఏంటిది?,yentidhi?
49,"00:03:15,759","00:03:17,189",speaker_0,ఆ already రెండు చోట్ల పట్టుకున్నారు.,aa already rendu chotla pattukunnaaru.
50,"00:03:17,439","00:03:18,329",speaker_0,ఇది చిన్న కానుక సార్.,idhi chinna kaanuka saar.
51,"00:03:19,330","00:03:20,069",speaker_1,ఊ ఏంటిది,oo yentidhi
52,"00:03:20,120","00:03:20,710",speaker_1,over luggage?,over luggage?
53,"00:03:21,360","00:03:24,000",speaker_2,అది మేము ఉంటున్న city లో నీటి కొరత ఉంది సార్.,adhi memu untunna city lo neeti koratha undhi saar.
54,"00:03:24,120","00:03:24,219",speaker_1,ఊ,oo
55,"00:03:24,240","00:03:25,489",speaker_2,అందుకే ఊరికి వెళ్లి వచ్చేటప్పుడు,andhuke ooriki velli vachhetappudu
56,"00:03:25,740","00:03:27,289",speaker_2,ఇది కూడా తీసుకెళ్లి ఉతికి తీసుకువద్దామని.,idhi koodaa theesukelli uthiki theesukuvadhdhaamani.
57,"00:03:28,039","00:03:28,340",speaker_1,ఓ,o
58,"00:03:28,759","00:03:31,549",speaker_0,ఉదయం నుంచి ఎవరూ ఏం తినలేదు సార్. wife ఏమో తలనొప్పి అంటోంది.,udhayam nunchi yevaroo yem thinaledhu saar. wife yemo thalanoppi antondhi.
59,"00:03:32,400","00:03:33,090",speaker_1,హే wife అంటేనే,he wife antene
60,"00:03:33,240","00:03:34,060",speaker_1,తలనొప్పి సార్.,thalanoppi saar.
61,"00:03:36,670","00:03:37,360",speaker_1,ఇదిగో Happy,idhigo Happy
62,"00:03:37,479","00:03:38,409",speaker_1,Birthday To You.,Birthday To You.
63,"00:03:38,580","00:03:39,370",speaker_3,Thank You Uncle.,Thank You Uncle.
64,"00:03:39,599","00:03:41,089",speaker_1,నాకు కలిపి దేవుడికి దణం పెట్టుకో.,naaku kalipi dhevudiki dhanam pettuko.
65,"00:03:41,139","00:03:41,389",speaker_3,Chocolate,Chocolate
66,"00:03:41,500","00:03:42,169",speaker_1,Safety గా వెళ్ళండి.,Safety gaa vellandi.
67,"00:03:42,269","00:03:42,949",speaker_0,Thank you sir. వస్తాను సర్.,Thank you sir. vasthaanu sir.
