index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,రేయ్,rey
2,"00:01:30,500","00:01:31,090",speaker_0,వాడిని ఎక్కించండి.,vaadini yekkinchandi.
3,"00:01:31,140","00:01:31,689",speaker_1,సరే సర్.,sare sir.
4,"00:01:31,920","00:01:32,450",speaker_0,నమస్కారం హెడ్ గార్డు.,namaskaaram head gaardu.
5,"00:01:32,500","00:01:32,849",speaker_1,హాయ్.,haay.
6,"00:01:33,400","00:01:34,349",speaker_0,ఏంటి ఈ మధ్య అసలు కనబడట్లే.,yenti ee madhya asalu kanabadatle.
7,"00:01:34,799","00:01:35,719",speaker_1,లాంగ్ ఎస్కార్ట్ కి వెళ్ళానురా.,long escort ki vellaanuraa.
8,"00:01:36,459","00:01:37,789",speaker_0,మీ ఆరై నిన్ను గట్టిగా ఏసుకుంటున్నట్టు,mee aarai ninnu gattigaa yesukuntunnattu
9,"00:01:37,989","00:01:38,299",speaker_0,ఉన్నాడుగా.,unnaadugaa.
10,"00:01:38,540","00:01:40,030",speaker_1,ఆతనికి మనమంటే ఎప్పుడో పడింది గనుక.,aathaniki manamante yeppudo padindhi ganuka.
11,"00:01:40,079","00:01:40,429",speaker_0,హ్మ్.,hma్.
12,"00:01:40,959","00:01:42,829",speaker_0,ఈ గుంటూరు ఎండలకి బండో కూర్చుంటేనే ఉడికిపోతుంది.,ee guntooru yendalaki bando koorchuntene udikipothundhi.
13,"00:01:43,120","00:01:44,099",speaker_0,మీరెలా బస్సులో తిరుగుతున్నారు?,meerelaa bassulo thiruguthunnaaru?
14,"00:01:44,159","00:01:45,369",speaker_1,మా ఉద్యోగం అదేగా తప్పుతుందా?,maa udhyogam adhegaa thapputhundhaa?
15,"00:01:46,760","00:01:47,850",speaker_1,సరే నీ పనులు ఎలా సాగుతున్నాయి?,sare nee panulu yelaa saaguthunnaayi?
16,"00:01:47,900","00:01:48,789",speaker_0,నేను రోడ్డు మీద తిరుగుతున్నా.,nenu roddu meedha thiruguthunnaa.
17,"00:01:49,420","00:01:49,769",speaker_0,తప్పుతుందా?,thapputhundhaa?
18,"00:01:50,659","00:01:51,359",speaker_1,సరే నేను బయల్దేరుతా.,sare nenu bayaldheruthaa.
19,"00:01:51,409","00:01:51,950",speaker_0,సరే బాబాయ్.,sare baabaay.
20,"00:01:52,000","00:01:52,609",speaker_1,మళ్ళీ కలుద్దాం.,mallee kaludhdhaam.
