index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,960","00:00:06,309",speaker_0,భైరా!,bhairaa!
2,"00:01:00,060","00:01:00,410",speaker_0,రుకో.,ruko.
3,"00:01:51,070","00:01:51,939",speaker_0,భైరా! రుకో,bhairaa! ruko
4,"00:01:55,159","00:01:55,509",speaker_0,భైరా!,bhairaa!
5,"00:01:57,170","00:01:57,840",speaker_0,గిలిజావుగె భైరా.,gilijaavuge bhairaa.
6,"00:02:08,730","00:02:09,210","speaker_1, speaker_0",భైరా! భైరా.,bhairaa! bhairaa.
7,"00:02:12,000","00:02:12,710",speaker_0,అందర్ బులారేహై.,andhar bulaarehai.
8,"00:02:13,740","00:02:14,740",speaker_2,లో ఆగయే రసూల్.,lo aagaye rasool.
9,"00:02:15,258","00:02:15,939",speaker_2,పూచ్ రహే హై తుమ్హే.,pooch rahe hai thumhe.
10,"00:02:16,000","00:02:16,280",speaker_0,రసూల్!,rasool!
11,"00:02:16,960","00:02:18,400",speaker_0,జనాబ్ ఇంతిజార్ కర్ రహే హై తుమ్హారా.,janaab inthijaar kar rahe hai thumhaaraa.
12,"00:02:19,099","00:02:20,319",speaker_2,ఆవ్ రసూల్ ఆవ్.,aav rasool aav.
13,"00:02:20,979","00:02:21,759",speaker_2,ఆజ్ తుమ్ బార్డర్.,aaj thum baardar.
14,"00:02:21,840","00:02:22,189",speaker_3,ఈరోజు,eeroju
15,"00:02:22,419","00:02:23,009",speaker_3,మీ ఐదుగురు,mee aidhuguru
16,"00:02:23,240","00:02:24,549",speaker_3,బార్డర్ క్రాస్ చేసి,baardar cross chesi
17,"00:02:25,159","00:02:25,509",speaker_3,కాశ్మీర్,kashmir
18,"00:02:25,680","00:02:26,030",speaker_3,వెళ్తున్నారు.,velthunnaaru.
19,"00:02:26,740","00:02:27,090",speaker_0,కాశ్మీర్?,kashmir?
20,"00:02:27,479","00:02:27,829",speaker_0,కిస్కేలియే?,kiskeliye?
21,"00:02:29,599","00:02:29,949",speaker_2,ఆపరేషన్,operation
22,"00:02:30,520","00:02:30,870",speaker_2,జిబ్రాల్టర్.,gibraltar.
23,"00:02:41,620","00:02:42,500",speaker_0,అస్సలాం అలేకుమ్ జనాబ్.,assalaam alekum janaab.
24,"00:02:42,659","00:02:43,259",speaker_3,వలేకుం అస్సలాం.,valekum assalaam.
25,"00:02:43,419","00:02:45,269",speaker_0,అష్రఫ్ సలీం. 8AK ఇన్ఫాంట్రీ బటాలియన్.,ashraph saleem. 8AK infantry bataaliyan.
26,"00:02:45,840","00:02:46,189",speaker_3,8AK.,8AK.
27,"00:02:47,180","00:02:47,719",speaker_3,యే లోగ్ కౌన్ హై?,ye log kaun hai?
28,"00:02:47,939","00:02:48,879",speaker_0,వాళ్ళు టెర్రరిస్ట్స్ జనాబ్.,vaallu terrorists janaab.
29,"00:02:49,699","00:02:50,389",speaker_3,ఇక్కడేం చేస్తున్నారు?,ikkadem chesthunnaaru?
30,"00:02:51,139","00:02:53,139",speaker_0,ఆపరేషన్ జిబ్రాల్టర్ కోసం ప్రిపేర్ అవుతున్నారు జనాబ్.,operation gibraltar kosam prepare avuthunnaaru janaab.
31,"00:02:53,639","00:02:53,829",speaker_3,క్యా?,kyaa?
32,"00:02:54,620","00:02:55,549",speaker_3,ఆపరేషన్ జిబ్రాల్టర్?,operation gibraltar?
33,"00:02:56,759","00:02:57,180",speaker_3,వో క్యా హై?,vo kyaa hai?
34,"00:02:57,840","00:03:00,289",speaker_0,పాకిస్తాన్ ఆర్మీ అండ్ టెర్రరిస్ట్స్ కలిసి కాశ్మీర్ ని ఆక్రమించుకోవడానికి,pakistan army amd terrorists kalisi kashmir ni aakraminchukovadaaniki
35,"00:03:00,680","00:03:03,039",speaker_0,చేయబోతున్న ఆపరేషన్. ఈ ప్రిపరేషన్ దాని గురించే జనాబ్.,cheyabothunna operation. ee pripareshan dhaani gurinche janaab.
36,"00:03:03,900","00:03:04,250",speaker_3,ప్రిపరేషన్?,pripareshan?
37,"00:03:05,680","00:03:06,240",speaker_3,What do you mean?,What do you mean?
38,"00:03:06,800","00:03:07,129",speaker_0,మత్లబ్-,mathlab-
39,"00:03:07,180","00:03:08,349",speaker_3,నేను చెప్తాను రసూల్.,nenu chepthaanu rasool.
40,"00:03:09,849","00:03:10,919",speaker_3,కాశ్మీర్ లో,kashmir lo
41,"00:03:11,000","00:03:11,349",speaker_3,"ఖురాన్,","khuraan,"
42,"00:03:11,699","00:03:12,049",speaker_3,భగవద్గీత,bhagavadhgeetha
43,"00:03:12,460","00:03:13,169",speaker_3,చదివే వాళ్ళంతా,chadhive vaallanthaa
44,"00:03:13,560","00:03:14,569",speaker_3,భాయ్ భాయ్ అనుకుంటున్నారు.,bhaay bhaay anukuntunnaaru.
45,"00:03:15,419","00:03:16,150",speaker_3,దానికి కారణం,dhaaniki kaaranam
46,"00:03:16,719","00:03:17,539",speaker_3,ఇండియన్ ఆర్మీ.,indian army.
47,"00:03:18,310","00:03:19,979",speaker_3,కాశ్మీర్ ముస్లింలకి,kashmir muslimlaki
48,"00:03:20,030","00:03:21,569",speaker_3,ఇండియన్ ఆర్మీ మీద నమ్మకం,indian army meedha nammakam
49,"00:03:21,819","00:03:22,169",speaker_3,రోజురోజుకి,rojurojuki
50,"00:03:22,620","00:03:22,969",speaker_3,పెరిగిపోతోంది.,perigipothondhi.
51,"00:03:23,960","00:03:24,310",speaker_3,దాన్ని,dhaanni
52,"00:03:24,500","00:03:24,849",speaker_3,కాల్చేయాలి.,kaalcheyaali.
53,"00:03:25,520","00:03:26,099",speaker_0,లేకిన్ కైసే?,lekin kaise?
54,"00:03:26,960","00:03:27,960",speaker_0,ఎవరు సాయం చేస్తారు మనకి?,yevaru saayam chesthaaru manaki?
55,"00:03:28,719","00:03:29,539",speaker_3,ఇండియన్ ఆర్మీ.,indian army.
56,"00:03:31,280","00:03:32,210",speaker_3,మీ వల్ల కాశ్మీర్,mee valla kashmir
57,"00:03:32,400","00:03:33,449",speaker_3,లో పెద్ద భూకంపం,lo pedhdha bhookampam
58,"00:03:33,699","00:03:34,049",speaker_3,రానుంది.,raanundhi.
59,"00:03:36,390","00:03:37,580",speaker_2,నారాయ్ తక్బీర్.,naaraay thakbeer.
60,"00:03:37,699","00:03:38,049",speaker_1,అల్లాహు,allaahu
61,"00:03:38,319","00:03:38,639",speaker_1,అక్బర్.,akbar.
