index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,నా,naa
2,"00:00:11,939","00:00:12,789",speaker_0,భర్త పద్దెనిమిదేళ్ళ,bhartha padhdhenimidhella
3,"00:00:13,160","00:00:13,810",speaker_0,వయసు నుండే,vayasu nunde
4,"00:00:14,060","00:00:15,230",speaker_0,ఖైని తింటూ ఉండేవారు.,khaini thintoo undevaaru.
5,"00:00:15,640","00:00:16,269",speaker_0,దీని ప్రభావం,dheeni prabhaavam
6,"00:00:16,519","00:00:17,730",speaker_0,మా జీవితం ఇంత భయంకరంగా,maa jeevitham intha bhayankarangaa
7,"00:00:18,039","00:00:18,390",speaker_0,ఉంటుందని,untundhani
8,"00:00:18,579","00:00:19,250",speaker_0,నాకు తెలీదు.,naaku theleedhu.
9,"00:00:19,600","00:00:20,970",speaker_0,ఆయనకి cancer అనే ప్రమాదకరమైన,aayanaki cancer ane pramaadhakaramaina
10,"00:00:21,440","00:00:22,230",speaker_0,వ్యాధి వచ్చింది.,vyaadhi vachhindhi.
11,"00:00:22,699","00:00:23,610",speaker_0,మా ఇంట్లో సంపాదించే,maa intlo sampaadhinche
12,"00:00:23,980","00:00:25,070",speaker_0,వ్యక్తి ఆయన ఒక్కరే.,vyakti aayana okkare.
13,"00:00:25,399","00:00:25,750",speaker_0,భవిష్యత్తులో,bhavishyaththulo
14,"00:00:26,019","00:00:27,110",speaker_0,మా గతి ఎలా ఉంటుందన్న,maa gathi yelaa untundhanna
15,"00:00:27,359","00:00:28,330",speaker_0,ఆలోచన నన్ను నిద్రపోనియ్యడం,aalochana nannu nidhraponiyyadam
16,"00:00:28,760","00:00:30,170",speaker_0,లేదు. ఖైని మా జీవితాలని,ledhu. khaini maa jeevithaalani
17,"00:00:30,480","00:00:31,320",speaker_0,నాశనం చేసింది.,naashanam chesindhi.
18,"00:00:31,460","00:00:33,770",speaker_1,"ఖైని, గుట్కా, పాన్ మసాలా కుటుంబాన్ని నాశనం చేస్తుంది.","khaini, gutkaa, pan masaalaa kutumbaanni naashanam chesthundhi."
19,"00:00:33,979","00:00:36,630",speaker_1,నేడే పొగాకును మానేయండి. సహాయం కోసం ఒకటి ఎనిమిది సున్నా సున్నా,nede pogaakunu maaneyandi. sahaayam kosam okati yenimidhi sunnaa sunnaa
20,"00:00:36,679","00:00:38,469",speaker_1,ఒకటి ఒకటి రెండు మూడు ఐదు ఆరుకు కాల్ చేయండి.,okati okati rendu moodu aidhu aaruku call cheyandi.
21,"00:00:39,000","00:00:39,350",speaker_1,పరిశోధనలు,parishodhanalu
22,"00:00:39,960","00:00:41,670",speaker_1,పొగ త్రాగడం మానేసిన ఇరవై నిమిషాలలో,poga thraagadam maanesina iravai nimishaalalo
23,"00:00:42,119","00:00:44,149",speaker_1,మీ రక్త ప్రసరణ మామూలు స్థితికి వస్తుంది.,mee rakta prasarana maamoolu sthithiki vasthundhi.
24,"00:00:44,320","00:00:45,190",speaker_1,అలా కొద్ది రోజుల్లో,alaa kodhdhi rojullo
25,"00:00:45,439","00:00:46,050",speaker_1,మీ శరీరంలో,mee shareeramlo
26,"00:00:46,219","00:00:47,590",speaker_1,ఉన్న nicotine స్థాయి తగ్గిపోతుంది.,unna nicotine sthaayi thaggipothundhi.
27,"00:00:48,039","00:00:48,850",speaker_1,పన్నెండు నెలల్లో,pannendu nelallo
28,"00:00:49,320","00:00:49,670",speaker_1,గుండెపోటు,gundepotu
29,"00:00:49,960","00:00:50,570",speaker_1,బాధ నుంచి,baadha nunchi
30,"00:00:50,780","00:00:51,130",speaker_1,తప్పించుకోగలుగుతారు.,thappinchukogaluguthaaru.
31,"00:00:52,259","00:00:53,060",speaker_1,కానీ ఇప్పుడు,kaanee ippudu
32,"00:00:54,020","00:00:55,730",speaker_1,పొగ త్రాగడం వల్ల మీకు గుండెపోటు,poga thraagadam valla meeku gundepotu
33,"00:00:55,939","00:00:58,230",speaker_1,ఎప్పుడైనా రావచ్చు. వీడే సిగరెట్ ప్రాణాలను,yeppudainaa raavachhu. veede cigarette praanaalanu
34,"00:00:58,380","00:00:58,730",speaker_1,హరిస్తుంది.,haristhundhi.
35,"00:00:59,159","00:00:59,990",speaker_1,ఈరోజే తంబాకును,eeroje thambaakunu
36,"00:01:00,140","00:01:00,490",speaker_1,మానండి.,maanandi.
37,"00:01:00,740","00:01:03,759",speaker_1,సహాయం కోసం ఒకటి ఎనిమిది సున్నా సున్నా ఒకటి ఒకటి రెండు మూడు ఐదు,sahaayam kosam okati yenimidhi sunnaa sunnaa okati okati rendu moodu aidhu
38,"00:01:03,840","00:01:04,680",speaker_1,ఆరుకు కాల్ చేయండి.,aaruku call cheyandi.
39,"00:02:33,599","00:02:33,949",speaker_3,"రాజన్న,","raajanna,"
40,"00:02:35,460","00:02:36,189",speaker_3,అత్తయ్య చనిపోయారు.,aththayya chanipoyaaru.
41,"00:02:36,960","00:02:37,219",speaker_2,అవునా!,avunaa!
42,"00:02:38,069","00:02:38,319",speaker_2,ఎప్పుడు?,yeppudu?
43,"00:02:40,680","00:02:41,030",speaker_3,"రేవన్నా,","revannaa,"
44,"00:02:42,879","00:02:44,310",speaker_3,రమేష్ అన్న అత్త ఇప్పుడే చనిపోయిందంట.,ramesh anna aunt ippude chanipoyindhanta.
45,"00:02:47,080","00:02:47,889",speaker_2,ఎద సడిలో,yedha sadilo
46,"00:02:48,620","00:02:48,969",speaker_2,ఆనందం.,aanandham.
47,"00:02:51,469","00:02:52,369",speaker_3,ఆవిరైన ఏ,aaviraina ye
