index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,ఏవండీ,yevandee
2,"00:01:12,159","00:01:12,799",speaker_0,తులసి నీళ్ళు,thulasi neellu
3,"00:01:13,579","00:01:13,920",speaker_1,నాకా?,naakaa?
4,"00:01:14,400","00:01:15,030",speaker_0,అవేం మాటలండీ,avem maatalandee
5,"00:01:15,239","00:01:15,589",speaker_0,బామ్మకి,baammaki
6,"00:01:18,000","00:01:18,669",speaker_1,ఎంత గట్టిదే,yentha gattidhe
7,"00:01:18,859","00:01:19,180",speaker_1,బామ్మ!,baamma!
8,"00:01:20,299","00:01:21,530",speaker_1,చిన్న పొద్దున్న మిరపసున్నుండలు,chinna podhdhunna mirapasunnundalu
9,"00:01:22,000","00:01:23,349",speaker_1,కర్రా కర్రా నమిలి తినేసింది.,karraa karraa namili thinesindhi.
10,"00:01:25,469","00:01:26,480",speaker_1,రోజూ పిచ్చిదానిలా,rojoo pichhidhaanilaa
11,"00:01:26,579","00:01:27,329",speaker_1,ఎక్సర్సైజ్ చేసేది.,yeksarsaij chesedhi.
12,"00:01:28,620","00:01:29,609",speaker_1,అలా చేస్తూ చేస్తూనే,alaa chesthoo chesthoone
13,"00:01:29,780","00:01:30,709",speaker_1,జారి కింద పడిపోతుందనుకోలేదు.,jaari kindha padipothundhanukoledhu.
14,"00:01:33,519","00:01:35,549",speaker_1,నేను స్టార్ట్ చేసిన కొత్త business కి కూడా,nenu start chesina koththa business ki koodaa
15,"00:01:35,859","00:01:36,209",speaker_1,బామ్మతోనే,baammathone
16,"00:01:36,540","00:01:37,549",speaker_1,ribbon కట్ చేయిద్దామనుకున్నా.,ribbon cut cheyidhdhaamanukunnaa.
17,"00:01:39,459","00:01:41,009",speaker_1,ఇప్పుడు నా ribbon నేనే కట్ చేసుకోవాలి.,ippudu naa ribbon nene cut chesukovaali.
18,"00:01:49,109","00:01:49,579",speaker_0,పోయక్కా! వీడ,poyakkaa! veeda
19,"00:01:49,629","00:01:49,820",speaker_0,కేక వేస్తాదక్కా! పోయక్కా!,keka vesthaadhakkaa! poyakkaa!
20,"00:01:49,870","00:01:50,299",speaker_1,ఇంకా పోలేదామ్మా?,inkaa poledhaammaa?
21,"00:01:50,480","00:01:51,589",speaker_0,వీడ కేక వేసి పోతాదక్కా!,veeda keka vesi pothaadhakkaa!
22,"00:01:52,879","00:01:53,540",speaker_1,ఉంది ఉంది ఆగు.,undhi undhi aagu.
23,"00:01:54,659","00:01:55,070",speaker_0,పోయక్కా!,poyakkaa!
24,"00:01:55,120","00:01:55,780",speaker_1,కొంచెం అక్కడ నిలబడు కొద్దిగ.,konchem akkada nilabadu kodhdhiga.
25,"00:01:56,939","00:01:57,829",speaker_1,కొంచెం గాలి ఆడనివ్వండి.,konchem gaali aadanivvandi.
26,"00:01:58,780","00:01:59,120",speaker_1,కొంచెం.,konchem.
27,"00:02:00,480","00:02:00,920",speaker_1,బామ్మా!,baammaa!
28,"00:02:02,130","00:02:02,959",speaker_1,ఆఖరిసారి నోటితో,aakharisaari notitho
29,"00:02:03,260","00:02:04,789",speaker_1,దేవుడి పేరు చెప్తే చాలా మంచిదట.,dhevudi peru chepthe chaalaa manchidhata.
30,"00:02:06,230","00:02:07,340",speaker_1,"ఒక్కసారి ""నారాయణా""","okkasaari ""naaraayanaa"""
31,"00:02:07,560","00:02:08,159",speaker_1,అను బామ్మా.,anu baammaa.
32,"00:02:09,500","00:02:09,849",speaker_1,బామ్మా!,baammaa!
33,"00:02:11,580","00:02:12,000",speaker_1,బామ్మా!,baammaa!
34,"00:02:12,900","00:02:13,250",speaker_1,పోయావా?,poyaavaa?
35,"00:02:38,539","00:02:39,159",speaker_1,ఏమైంది బామ్మా?,yemaindhi baammaa?
36,"00:02:40,139","00:02:40,489",speaker_1,బామ్మా!,baammaa!
37,"00:02:44,520","00:02:44,870",speaker_1,మీకేమైంది?,meekemaindhi?
38,"00:02:46,259","00:02:47,800",speaker_1,ఈ time లో TV పెడతావంటే పిచ్చి మొఖమా?,ee time lo TV pedathaavante pichhi mokhamaa?
39,"00:02:48,180","00:02:48,530",speaker_2,మీరూరుకోండి.,meeroorukondi.
40,"00:02:56,080","00:02:58,370",speaker_1,ఇన్నాళ్లు నేను చాలా పెద్ద తప్పు చేశాను సీతా మహాలక్ష్మి.,innaallu nenu chaalaa pedhdha thappu cheshaanu seethaa mahaalaksha్mi.
41,"00:02:59,120","00:03:00,430",speaker_1,ఇవ్వాళ నిన్ను నేను అర్థం చేసుకున్నాను.,ivvaala ninnu nenu artham chesukunnaanu.
42,"00:03:01,099","00:03:01,789",speaker_1,నేను నిన్ను క్షమాపణలు,nenu ninnu kshamaapanalu
43,"00:03:02,000","00:03:02,349",speaker_1,అడిగి,adigi
44,"00:03:02,939","00:03:04,030",speaker_1,ఈరోజు నాదాన్ని చేసుకుంటాను.,eeroju naadhaanni chesukuntaanu.
45,"00:03:22,240","00:03:22,500",speaker_1,సీతా!,seethaa!
46,"00:03:29,750","00:03:30,489","speaker_1, speaker_2",సీతా! సీతా,seethaa! seethaa
47,"00:03:30,539","00:03:30,889",speaker_2,పొద్దున్నుంచి,podhdhunnunchi
48,"00:03:31,080","00:03:31,430",speaker_2,కనిపించట్లేదు.,kanipinchatledhu.
49,"00:03:36,020","00:03:36,969",speaker_2,ఈ ఉత్తరం దొరికింది.,ee uththaram dhorikindhi.
50,"00:03:43,490","00:03:44,360",speaker_2,"""నాకోసం వెతకద్దు.","""naakosam vethakadhdhu."
51,"00:03:45,680","00:03:46,240",speaker_2,మీ భార్య,mee bhaarya
52,"00:03:47,560","00:03:48,349",speaker_2,"సీతా మహాలక్ష్మి""","seethaa mahaalaksha్mi"""
53,"00:03:51,620","00:03:53,530",speaker_0,ముద్దురా చోడా! ఇంకెంత సేపు సాగనిత్తావురా?,mudhdhuraa chodaa! inkentha sepu saaganiththaavuraa?
54,"00:03:54,360","00:03:54,810",speaker_0,ఈ సన్యాసివారా?,ee sanyaasivaaraa?
55,"00:03:55,680","00:03:56,629",speaker_0,నీ తల పాడువాడిగా,nee thala paaduvaadigaa
56,"00:03:57,020","00:03:57,959",speaker_0,నువ్వు సుఖంగా నావనియెవారా?,nuvvu sukhangaa naavaniyevaaraa?
57,"00:03:58,680","00:03:59,310",speaker_0,నీ దినారారు,nee dhinaaraaru
58,"00:03:59,599","00:04:00,710",speaker_0,నీ చావుగారు నీ పాడగాక,nee chaavugaaru nee paadagaaka
59,"00:04:00,979","00:04:01,689",speaker_0,నీ తల వాల్కరా?,nee thala vaalkaraa?
60,"00:04:01,939","00:04:02,989",speaker_0,తను అటు తిప్పకా,thanu atu thippakaa
61,"00:04:03,139","00:04:03,669",speaker_0,ఇటు తిప్పకా,itu thippakaa
62,"00:04:03,870","00:04:04,689",speaker_0,ఒక చూపు వెయ్యరా,oka choopu veyyaraa
63,"00:04:05,659","00:04:06,549",speaker_3,Flash! Flash!,Flash! Flash!
64,"00:04:06,719","00:04:07,069",speaker_3,Flash!,Flash!
65,"00:04:07,699","00:04:08,769",speaker_3,మీరు ఎన్నో సంవత్సరాలుగా,meeru yenno samvathsaraalugaa
