index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:59,400","00:01:59,869",speaker_0,తడిసినా పర్లేదు,thadisinaa parledhu
2,"00:02:00,159","00:02:00,509",speaker_0,వెళ్లిపోవటమే,vellipovatame
3,"00:02:00,700","00:02:00,980",speaker_0,బెటర్.,better.
4,"00:02:15,319","00:02:15,639",speaker_0,హేయ్!,hey!
5,"00:02:18,780","00:02:20,769",speaker_0,Life లో అప్పుడప్పుడు right decision తీసుకుని బాధపడతాం.,Life lo appudappudu right decision theesukuni baadhapadathaam.
6,"00:02:22,520","00:02:24,180",speaker_0,Wrong decision తీసుకుని happy గా feel అవుతాం.,Wrong decision theesukuni happy gaa feel avuthaam.
7,"00:02:25,020","00:02:26,049",speaker_0,కానీ ఏ decision తీసుకోకుండా,kaanee ye decision theesukokundaa
8,"00:02:26,199","00:02:26,549",speaker_0,ఆగిపోకూడదు.,aagipokoodadhu.
9,"00:02:27,719","00:02:28,269",speaker_0,అలా ఆగిపోతే,alaa aagipothe
10,"00:02:29,639","00:02:31,129",speaker_0,life ఏ మనకోసం ఒక decision తీసుకుంటుంది.,life ye manakosam oka decision theesukuntundhi.
11,"00:02:32,360","00:02:33,139",speaker_0,నా పేరు సిద్ధార్థ్.,naa peru sidhdhaarth.
12,"00:02:33,879","00:02:34,159",speaker_0,ఇది,idhi
13,"00:02:34,979","00:02:35,489",speaker_0,నా కథ.,naa katha.
14,"00:02:59,250","00:03:00,219",speaker_0,చేతికున్న గీతల్లాగా,chethikunna geethallaagaa
15,"00:03:01,300","00:03:02,590",speaker_0,చుట్టుకున్న రంగు కూడా మారకపోతే,chuttukunna rangu koodaa maarakapothe
16,"00:03:03,819","00:03:04,409",speaker_0,ఎంత బావుండేదో.,yentha baavundedho.
17,"00:03:05,979","00:03:06,930",speaker_0,ఈ రంగు వేసుకోలేక చచ్చిపోతున్నాను.,ee rangu vesukoleka chachhipothunnaanu.
18,"00:03:07,860","00:03:08,299",speaker_0,అమ్మా.,ammaa.
19,"00:03:15,659","00:03:16,189",speaker_0,వాడి పెళ్లిచూపులకి,vaadi pellichoopulaki
20,"00:03:16,439","00:03:17,229",speaker_0,నీవు కదా ఏర్పడ్డవేంటి?,neevu kadhaa yerpaddaventi?
21,"00:03:18,860","00:03:19,210",speaker_0,ఉమ్.,um.
22,"00:03:20,439","00:03:22,729",speaker_0,ఆ phone చూడటం ఆపేసి త్వరగా ready అవ్వు. ఉమ్.,aa phone choodatam aapesi thvaragaa ready avvu. um.
23,"00:03:23,419","00:03:24,509",speaker_0,మరీ అంత తొందర ఉంటే,maree antha thondhara unte
24,"00:03:24,860","00:03:27,049",speaker_0,ఇంత sudden గా చెప్పకూడదు. నువ్వు కూడా US వెళ్తున్నామని,intha sudden gaa cheppakoodadhu. nuvvu koodaa US velthunnaamani
25,"00:03:27,280","00:03:29,899",speaker_0,sudden గానేగా నాకు చెప్పింది. అది నా చేతుల్లో లేదు నాన్న.,sudden gaanegaa naaku cheppindhi. adhi naa chethullo ledhu naanna.
26,"00:03:30,009","00:03:32,299",speaker_0,Age బార్ అయ్యాక ఇది కూడా మన చేతుల్లో లేదు నాన్న.,Age bar ayyaaka idhi koodaa mana chethullo ledhu naanna.
27,"00:03:32,419","00:03:32,769",speaker_0,ఉమ్.,um.
28,"00:03:33,360","00:03:34,109",speaker_0,Hard fact అంతే.,Hard fact anthe.
29,"00:03:34,620","00:03:35,989",speaker_0,నా age గురించి గుర్తు చేయడం మానేసి,naa age gurinchi gurthu cheyadam maanesi
30,"00:03:36,759","00:03:37,109",speaker_0,తీసుకెళ్లాల్సినవి,theesukellaalsinavi
31,"00:03:37,379","00:03:37,909",speaker_0,ఏమన్నా మర్చిపోయారేమో,yemannaa marchipoyaaremo
32,"00:03:38,039","00:03:39,620",speaker_0,గుర్తు తెచ్చుకోండి. పది నిమిషాల్లో వస్తా.,gurthu thechhukondi. padhi nimishaallo vasthaa.
33,"00:03:40,159","00:03:40,769",speaker_0,నిన్ను తీసుకెళ్లడం,ninnu theesukelladam
34,"00:03:40,919","00:03:41,269",speaker_0,మర్చిపోకుండా,marchipokundaa
35,"00:03:41,460","00:03:41,900",speaker_0,ఉంటే చాలు.,unte chaalu.
36,"00:03:42,300","00:03:42,649",speaker_2,నేను డోర్ ఓపెన్ చేస్తా.,nenu door open chesthaa.
37,"00:03:42,699","00:03:43,400",speaker_0,వీడు మారడు.,veedu maaradu.
38,"00:03:43,960","00:03:45,699",speaker_0,ఆ ఏమ్మా! అల్లుడుగారు వస్తున్నారు రా.,aa yemmaa! alludugaaru vasthunnaaru raa.
39,"00:03:46,159","00:03:48,199",speaker_2,అల్లుడుగారు వస్తే ఇంటి లోపలికి వస్తారు కదా నాన్న.,alludugaaru vasthe inti lopaliki vasthaaru kadhaa naanna.
40,"00:03:48,780","00:03:50,489",speaker_0,Common sense. ప్రతి పెళ్లిచూపులకి,Common sense. prathi pellichoopulaki
41,"00:03:50,860","00:03:52,300",speaker_0,"మనం బుట్టలు బుట్టలు వండి తీసుకెళ్లడం,","manam buttalu buttalu vandi theesukelladam,"
42,"00:03:52,840","00:03:53,789",speaker_0,"వాళ్ళ sweet లు బాగుందన్నావ్,","vaalla sweet lu baagundhannaav,"
43,"00:03:54,219","00:03:55,030",speaker_0,వీడి అమ్మాయి బాలేదన్నావ్.,weed ammaayi baaledhannaav.
44,"00:03:55,780","00:03:56,129",speaker_0,సరిపోయింది.,saripoyindhi.
45,"00:03:57,259","00:03:57,609",speaker_0,సరిపెట్టుకోవాలి.,saripettukovaali.
46,"00:03:59,030","00:03:59,649",speaker_2,నాన్న! వాడి,naanna! vaadi
47,"00:03:59,699","00:04:01,159",speaker_2,reasons ఏంటో నీకు తెలుసు కదా.,reasons yento neeku thelusu kadhaa.
48,"00:04:01,379","00:04:02,989",speaker_0,తెలుసు కాబట్టే tension పడుతున్నానమ్మా.,thelusu kaabatte tension paduthunnaanammaa.
49,"00:04:04,180","00:04:05,650",speaker_0,Please నువ్వే ఎలాగైనా ఒప్పించమ్మా.,Please nuvve yelaagainaa oppinchammaa.
50,"00:04:06,180","00:04:06,500",speaker_0,సరేనా?,sarenaa?
51,"00:04:06,819","00:04:09,250",speaker_2,సరే నాన్న. నువ్వు tension పడకు. నేను వాడితో మాట్లాడతానులే.,sare naanna. nuvvu tension padaku. nenu vaaditho maatlaadathaanule.
52,"00:04:09,879","00:04:11,280",speaker_2,నువ్వు ఈ sweets అన్నీ సర్దిపెట్టు. ఉమ్.,nuvvu ee sweets annee sardhipettu. um.
53,"00:04:11,340","00:04:11,689",speaker_0,ఇదే,idhe
54,"00:04:12,099","00:04:13,169",speaker_0,sweet families అంటే,sweet families ante
55,"00:04:13,580","00:04:14,750",speaker_0,sweet లు సర్దుతూ కూర్చోడమే.,sweet lu sardhuthoo koorchodame.
56,"00:04:18,160","00:04:18,540",speaker_2,ఏంట్రా?,yentraa?
57,"00:04:19,269","00:04:20,529","speaker_2, speaker_0",వినిపించిందా? వినిపించాలనే,vinipinchindhaa? vinipinchaalane
58,"00:04:20,579","00:04:20,800",speaker_0,కదా,kadhaa
59,"00:04:21,300","00:04:22,500",speaker_0,నా room బయట discussion పెట్టారు.,naa room bayata discussion pettaaru.
60,"00:04:22,740","00:04:23,000",speaker_2,రేయ్!,rey!
61,"00:04:23,560","00:04:24,550",speaker_2,పాపం రా నాన్న.,paapam raa naanna.
62,"00:04:25,379","00:04:27,970",speaker_2,నీకు కావాల్సిన qualities తో ఇక్కడే అమ్మాయిలు దొరకట్లేదు.,neeku kaavaalsina qualities tho ikkade ammaayilu dhorakatledhu.
63,"00:04:28,600","00:04:31,410",speaker_2,ఇంక నువ్వు US కి వెళ్లిపోతే నీకు పెళ్లే అవ్వదేమో అని భయపడుతున్నాడు.,inka nuvvu US ki vellipothe neeku pelle avvadhemo ani bhayapaduthunnaadu.
64,"00:04:32,259","00:04:33,379",speaker_0,నాకు tension గానే ఉందే.,naaku tension gaane undhe.
65,"00:04:34,379","00:04:35,870",speaker_0,అలా అని compromise అవ్వలేను కదా.,alaa ani compromise avvalenu kadhaa.
66,"00:04:35,920","00:04:36,270",speaker_2,Compromise,Compromise
67,"00:04:36,579","00:04:36,929",speaker_2,అవ్వద్దు.,avvadhdhu.
68,"00:04:37,579","00:04:38,210",speaker_2,కానీ పరిస్థితులు,kaanee paristhithulu
69,"00:04:38,420","00:04:39,939",speaker_2,కొంచెం consider చేయొచ్చు కదా.,konchem consider cheyochhu kadhaa.
70,"00:04:40,259","00:04:40,579",speaker_0,అక్క,akka
71,"00:04:42,060","00:04:42,879",speaker_0,పరిస్థితి ఏదైనా,paristhithi yedhainaa
72,"00:04:43,879","00:04:44,779",speaker_0,నచ్చని పని చేయలేను.,nachhani pani cheyalenu.
73,"00:04:45,680","00:04:46,570",speaker_0,నచ్చకుండా పెళ్లి చేసుకోలేను.,nachhakundaa pelli chesukolenu.
74,"00:04:50,980","00:04:51,570",speaker_0,ఎక్కువ ఆలోచించకు.,yekkuva aalochinchaku.
75,"00:04:52,300","00:04:53,150",speaker_0,అస్సలు stress తీసుకోకు.,assalu stress theesukoku.
76,"00:04:53,500","00:04:53,850",speaker_0,నాకన్నా,naakannaa
77,"00:04:54,939","00:04:55,670",speaker_0,మనకదే important.,manakadhe important.
78,"00:04:56,920","00:04:58,060",speaker_2,అది కాదురా నేను చెప్పేది-,adhi kaadhuraa nenu cheppedhi-
79,"00:04:58,459","00:04:58,879",speaker_0,రాహుకాలం.,raahukaalam.
80,"00:05:00,519","00:05:01,360",speaker_2,ఓయ్! నేను కూ,oy! nenu koo
81,"00:05:05,370","00:05:05,889",speaker_0,అమ్మా shoes,ammaa shoes
82,"00:05:05,939","00:05:06,160",speaker_0,ఎక్కడ?,yekkada?
83,"00:05:06,360","00:05:08,079",speaker_2,నిన్ను ఎక్కడ వదిలేశావో అక్కడే ఉంటాయి. చూడురా.,ninnu yekkada vadhileshaavo akkade untaayi. chooduraa.
84,"00:05:08,759","00:05:09,379",speaker_0,అమ్మా water ఎక్కడ?,ammaa water yekkada?
85,"00:05:09,839","00:05:11,050",speaker_2,నువ్వు room temperature అడుగుతావని,nuvvu room temperature aduguthaavani
86,"00:05:11,459","00:05:13,439",speaker_2,dining table మీద పెట్టాను. తీసుకుని తాగు.,dining table meedha pettaanu. theesukuni thaagu.
87,"00:05:14,139","00:05:14,759",speaker_0,అమ్మా sweets ఎక్కడ?,ammaa sweets yekkada?
88,"00:05:15,019","00:05:16,500",speaker_2,ఎదురుగా ఉన్న మీ నాన్న చేతిలో ఉన్నాయి.,yedhurugaa unna mee naanna chethilo unnaayi.
89,"00:05:17,500","00:05:17,680",speaker_0,ఊ.,oo.
90,"00:05:18,139","00:05:19,459",speaker_0,ఈసారి Bengali sweets రా.,eesaari Bengali sweets raa.
91,"00:05:23,079","00:05:24,730",speaker_0,నీ కొడుకు అంటే పొత్తిగా interest లేదు కదా.,nee koduku ante poththigaa interest ledhu kadhaa.
92,"00:05:25,019","00:05:25,420",speaker_2,అదేంట్రా!,adhentraa!
93,"00:05:25,959","00:05:27,079",speaker_2,నీకన్నా ముందే ready అవుతాను.,neekannaa mundhe ready avuthaanu.
94,"00:05:27,259","00:05:27,610",speaker_0,మాట్లాడుతుంటే,maatlaaduthunte
95,"00:05:27,860","00:05:28,839",speaker_0,వెనక్కి తిరిగి చూడటం లేదు.,venakki thirigi choodatam ledhu.
96,"00:05:29,399","00:05:30,230",speaker_0,కంచె పట్టి చేరలేదు.,kanche patty cheraledhu.
