index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:20,100","00:00:20,450",speaker_0,రేయ్!,rey!
2,"00:01:11,439","00:01:13,489",speaker_0,నీకు ఇంకో ఏడు గంటల్లో ప్యారిస్ కి flight ఉందిరా.,neeku inko yedu gantallo fares ki flight undhiraa.
3,"00:01:13,859","00:01:15,589",speaker_0,ఇప్పుడు ఆవిడ ఇచ్చిన greeting card లు gift లు అన్నీ తగలబెడతావేంటీ?,ippudu aavida ichhina greeting card lu gift lu annee thagalabedathaaventee?
4,"00:01:23,579","00:01:25,519",speaker_1,నీతో ఉంటే అసలు time ఏ తెలీదు వరుణ్.,neetho unte asalu time ye theleedhu worn.
5,"00:01:26,070","00:01:26,829",speaker_1,ఎప్పటికీ నాతోనే,yeppatikee naathone
6,"00:01:26,879","00:01:27,229",speaker_1,ఉండిపోవా?,undipovaa?
7,"00:01:31,540","00:01:33,329",speaker_1,ఈ shirt లో నిన్ను ఏ అమ్మాయి చూడకూడదు,ee shirt lo ninnu ye ammaayi choodakoodadhu
8,"00:01:33,480","00:01:33,829",speaker_1,సరేనా?,sarenaa?
9,"00:01:34,439","00:01:35,189",speaker_1,చాలా బాగుంటావు.,chaalaa baaguntaavu.
10,"00:01:38,400","00:01:39,329",speaker_1,నువ్వు వేసుకునే perfume,nuvvu vesukune perfume
11,"00:01:39,599","00:01:40,229",speaker_1,నేను వేసుకుంటాను.,nenu vesukuntaanu.
12,"00:01:40,859","00:01:42,780",speaker_1,నువ్వు లేనప్పుడు కూడా పక్కనే ఉన్నట్టు ఉంటుంది.,nuvvu lenappudu koodaa pakkane unnattu untundhi.
13,"00:01:48,340","00:01:49,969",speaker_0,రేయ్! ఎందుకురా అవన్నీ నాశనం చేస్తున్నావ్?,rey! yendhukuraa avannee naashanam chesthunnaav?
14,"00:01:51,000","00:01:52,149",speaker_2,నాశనం అవ్వాలి కాబట్టి.,naashanam avvaali kaabatti.
15,"00:01:54,299","00:01:56,829",speaker_2,"నేను దాన్ని చూసి feel అయిన ప్రతి moment,","nenu dhaanni choosi feel ayina prathi moment,"
16,"00:01:57,439","00:01:58,729",speaker_2,దాని కళ్ళలోకి చూసినప్పుడు,dhaani kallaloki choosinappudu
17,"00:01:58,939","00:02:00,349",speaker_2,"నాకు వచ్చిన ప్రతి feeling,","naaku vachhina prathi feeling,"
18,"00:02:01,519","00:02:02,069",speaker_2,అది నాతోటే,adhi naathote
19,"00:02:02,299","00:02:04,189",speaker_2,"ఉంటది life అంతా, నన్ను పెళ్లి చేసుకుంటది,","untadhi life anthaa, nannu pelli chesukuntadhi,"
20,"00:02:04,599","00:02:05,719",speaker_2,"నాకు పిల్లల్ని ఇస్తది,","naaku pillalni isthadhi,"
21,"00:02:06,359","00:02:07,549",speaker_2,నాకో family ని ఇస్తది,naako family ni isthadhi
22,"00:02:08,000","00:02:09,090",speaker_2,అని నేను నమ్మిన నమ్మకమంతా,ani nenu nammina nammakamanthaa
23,"00:02:10,099","00:02:10,449",speaker_2,నాశనం,naashanam
24,"00:02:10,759","00:02:11,409",speaker_2,అవ్వాలి కాబట్టి.,avvaali kaabatti.
25,"00:02:12,960","00:02:13,310",speaker_0,రేయ్!,rey!
26,"00:02:18,909","00:02:19,489",speaker_0,అందరు అమ్మాయిలు,andharu ammaayilu
27,"00:02:19,539","00:02:19,879",speaker_0,అంతేరా.,antheraa.
28,"00:02:21,139","00:02:22,460",speaker_0,ఎన్ని love stories చూడలేదు మనం.,yenni love stories choodaledhu manam.
29,"00:02:23,439","00:02:23,699",speaker_0,ఏంటి?,yenti?
30,"00:02:25,020","00:02:25,319",speaker_0,వరుణ్!,worn!
31,"00:02:26,430","00:02:26,939",speaker_0,ఆడపిల్లలు అలా,aadapillalu alaa
32,"00:02:27,000","00:02:27,810",speaker_0,ఉన్నారురా ఇవాళ.,unnaaruraa ivaala.
33,"00:02:29,038","00:02:29,219",speaker_0,ఆహ్.,aah.
