index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:01,000","00:00:01,350",speaker_0,భోగత్రాగడం,bhogathraagadam
2,"00:00:01,919","00:00:02,649",speaker_0,మరియు మద్యం,mariyu madhyam
3,"00:00:02,779","00:00:03,129",speaker_0,సేవించడం,sevinchadam
4,"00:00:03,680","00:00:04,030",speaker_0,ఆరోగ్యానికి,aarogyaaniki
5,"00:00:04,480","00:00:04,830",speaker_0,హానికరం.,haanikaram.
6,"00:00:05,299","00:00:05,649",speaker_0,క్యాన్సర్,kyaansar
7,"00:00:05,860","00:00:06,449",speaker_0,కి కారకం.,ki kaarakam.
8,"00:00:06,980","00:00:07,330",speaker_0,Smoking,Smoking
9,"00:00:07,519","00:00:08,689",speaker_0,and drinking are injurious,and drinking are injurious
10,"00:00:08,880","00:00:10,789",speaker_0,to health. It causes cancer.,to health. It causes cancer.
11,"00:00:38,689","00:00:41,179",speaker_1,మమ్ము కాచినవాడు,mammu kaachinavaadu
12,"00:00:42,129","00:00:43,190",speaker_1,మా మనసు,maa manasu
13,"00:00:43,240","00:00:43,590",speaker_1,దోచినవాడు,dhochinavaadu
14,"00:00:48,359","00:00:48,710",speaker_1,మంగళకారుడు,mangalakaarudu
15,"00:00:52,420","00:00:52,770",speaker_1,మా,maa
16,"00:00:54,020","00:00:54,370",speaker_1,శ్రీనివాసుడు.,shreenivaasudu.
17,"00:03:33,379","00:03:33,729",speaker_1,ఆ,aa
18,"00:03:43,349","00:03:44,319","speaker_1, speaker_0",PA సార్,PA saar
19,"00:03:44,419","00:03:47,879",speaker_1,బ్లాస్ట్ జరిగింది ఆడు ఫ్యాక్టరీలో అయితే Minister ని నన్ను ఆడి,blast jarigindhi aadu phyaaktareelo ayithe Minister ni nannu aadi
20,"00:03:47,930","00:03:48,469",speaker_1,ఇంటికి రమ్మంటేడేంటి?,intiki rammantedenti?
21,"00:03:49,180","00:03:49,829",speaker_0,ఆడే రావాలి సార్,aade raavaali saar
22,"00:03:49,960","00:03:50,180",speaker_1,ఆ,aa
23,"00:03:50,560","00:03:52,060",speaker_0,కానీ మనం వెళ్తున్నందుకు ఆడు మనకి,kaanee manam velthunnandhuku aadu manaki
24,"00:03:53,039","00:03:54,000",speaker_0,యాభై ఇచ్చినాడు సార్.,yaabhai ichhinaadu saar.
25,"00:03:54,080","00:03:54,689",speaker_1,ఏంటి యాభైయా?,yenti yaabhaiyaa?
26,"00:03:54,800","00:03:55,319",speaker_0,అవును సార్,avunu saar
27,"00:03:55,419","00:03:55,819",speaker_1,ఆ,aa
28,"00:03:55,960","00:03:56,310",speaker_0,సార్,saar
29,"00:03:56,539","00:03:56,829",speaker_1,ఆ,aa
30,"00:03:56,879","00:03:57,579",speaker_0,మన కారు కాదు సార్,mana kaaru kaadhu saar
31,"00:03:57,629","00:03:57,729",speaker_1,ఆ,aa
32,"00:03:58,199","00:03:58,509",speaker_0,ఈ కారు.,ee kaaru.
33,"00:03:59,060","00:04:00,430",speaker_0,కారు కూడా ఆడే పంపించినాడు సార్.,kaaru koodaa aade pampinchinaadu saar.
34,"00:04:00,659","00:04:02,399",speaker_1,ఏంటయ్యా ఇదేం చిత్రంగా ఉందే.,yentayyaa idhem chithrangaa undhe.
35,"00:04:02,860","00:04:03,210",speaker_1,Meeting,Meeting
36,"00:04:03,340","00:04:04,439",speaker_1,"కి యాభై వేల అడ్వాన్స్ ఇచ్చి,","ki yaabhai vela advance ichhi,"
37,"00:04:05,219","00:04:07,509",speaker_1,"ఈ కారు పంపించి మరి మనల్ని ఇంటికి పిలిపించుకుంటున్నాడంటే,","ee kaaru pampinchi mari manalni intiki pilipinchukuntunnaadante,"
38,"00:04:09,180","00:04:10,629",speaker_1,ఆడికి డబ్బులు ఎక్కువన్నని బలుపేటి-,aadiki dabbulu yekkuvannani balupeti-
39,"00:04:11,400","00:04:12,049",speaker_0,"బలుపు కాదు సార్,","balupu kaadhu saar,"
40,"00:04:12,639","00:04:12,900",speaker_0,భయం.,bhayam.
41,"00:04:13,560","00:04:13,960",speaker_1,భయమా?,bhayamaa?
42,"00:04:14,300","00:04:14,800",speaker_0,అవును సార్.,avunu saar.
43,"00:04:15,240","00:04:17,070",speaker_0,ఆయనకి ఇంట్లోంచి బయటికి రావాలంటే భయం సార్.,aayanaki intlonchi bayatiki raavaalante bhayam saar.
44,"00:04:17,560","00:04:18,399",speaker_1,ఏంటాడి కథ?,yentaadi katha?
45,"00:04:21,720","00:04:22,790",speaker_0,ఆయన ఒక అనాథ సార్.,aayana oka anaatha saar.
46,"00:04:23,279","00:04:24,750",speaker_0,ఆయన్ని అజర్వాల్ దత్తత తీసుకున్నాడు.,aayanni ajarvaal dhaththatha theesukunnaadu.
47,"00:04:25,620","00:04:26,230",speaker_0,ఆయనకు కావాల్సినయి,aayanaku kaavaalsinayi
48,"00:04:26,399","00:04:26,930",speaker_0,అన్నీ ఇచ్చారు.,annee ichhaaru.
49,"00:04:27,689","00:04:28,310",speaker_0,అంతకుమించి ప్రేమను,anthakuminchi premanu
50,"00:04:28,360","00:04:28,949",speaker_0,కూడా ఇచ్చినారు సార్.,koodaa ichhinaaru saar.
51,"00:04:35,279","00:04:35,740",speaker_0,అనుకోకుండా ఒక,anukokundaa oka
52,"00:04:35,790","00:04:37,370",speaker_0,car accident లో వాళ్ళు చచ్చిపోయినారు,car accident lo vaallu chachhipoyinaaru
53,"00:04:37,519","00:04:37,800",speaker_0,సార్.,saar.
54,"00:04:42,620","00:04:43,850",speaker_0,ఈయన మాత్రం బతికి బయట పడ్డాడు.,eeyana maathram bathiki bayata paddaadu.
55,"00:04:44,139","00:04:44,480",speaker_1,పోనీలే,poneele
56,"00:04:44,779","00:04:45,970",speaker_0,కానీ అదే accident లో,kaanee adhe accident lo
57,"00:04:46,139","00:04:47,819",speaker_0,ఆయనకి auditory nerve damage అయ్యింది సార్.,aayanaki auditory nerve damage ayyindhi saar.
58,"00:04:53,660","00:04:56,529",speaker_0,ఆయన చెవి ఇరవై decibels కంటే ఎక్కువ sounds తీసుకోలేదు సార్.,aayana chevi iravai decibels kante yekkuva sounds theesukoledhu saar.
59,"00:04:56,579","00:04:57,129",speaker_0,మనం గుసగుసలాడుకుంటేనే,manam gusagusalaadukuntene
60,"00:04:57,620","00:04:58,319",speaker_0,ముప్పై decibels.,muppai decibels.
61,"00:04:59,429","00:05:00,009",speaker_0,అంటే ఆయన,ante aayana
62,"00:05:00,060","00:05:01,339",speaker_0,వినాల్సిన sounds కంటే పది ఎక్కువే.,vinaalsina sounds kante padhi yekkuve.
63,"00:05:01,779","00:05:03,510",speaker_0,బయట అంతకంటే ఎక్కువ sounds ఉంటాయి కదా.,bayata anthakante yekkuva sounds untaayi kadhaa.
64,"00:05:03,759","00:05:04,110",speaker_0,అందుకే,andhuke
65,"00:05:04,339","00:05:05,810",speaker_0,బయటికి రావడానికి భయపడతాడు సార్.,bayatiki raavadaaniki bhayapadathaadu saar.
66,"00:05:06,079","00:05:06,629",speaker_0,ఆయన ప్రపంచాన్ని,aayana prapanchaanni
67,"00:05:06,879","00:05:07,450",speaker_0,ఆయనకు అనుకూలంగా,aayanaku anukoolangaa
68,"00:05:08,000","00:05:08,350",speaker_0,వాళ్ళింట్లోనే,vaallintlone
69,"00:05:08,560","00:05:09,570",speaker_0,create చేసుకున్నాడు సార్.,create chesukunnaadu saar.
70,"00:05:14,920","00:05:16,430",speaker_0,ఆయనకంటూ ఒక private security ఉంది సార్.,aayanakantoo oka private security undhi saar.
71,"00:05:17,019","00:05:18,090",speaker_0,బయట ఏ పనులు కావాలన్నా,bayata ye panulu kaavaalannaa
72,"00:05:18,720","00:05:19,070",speaker_0,వాళ్ళతోటే,vaallathote
73,"00:05:19,240","00:05:20,259",speaker_0,operate చేయిస్తా ఉంటాడు.,operate cheyisthaa untaadu.
74,"00:05:21,579","00:05:22,610",speaker_0,వాళ్ళింటికి ఎవలు రావాలన్నా,vaallintiki yevalu raavaalannaa
75,"00:05:23,360","00:05:24,210",speaker_0,బళ్ళు బయట ఆగాల్సిందే.,ballu bayata aagaalsindhe.
76,"00:05:35,300","00:05:36,250",speaker_0,ఇంట్లోకి వెళ్ళే ముందు,intloki velle mundhu
77,"00:05:36,579","00:05:38,030",speaker_0,ఒంటిమీద sounds వచ్చే ఏ వస్తువైనా,ontimeedha sounds vachhe ye vasthuvainaa
78,"00:05:38,600","00:05:39,459",speaker_0,అక్కడ ఎత్తేయాలి సార్.,akkada yeththeyaali saar.
79,"00:05:47,930","00:05:49,000",speaker_0,"ఇంట్లో కూడా sound proof rooms,","intlo koodaa sound proof rooms,"
80,"00:05:49,579","00:05:50,160",speaker_0,leather flooring.,leather flooring.
81,"00:05:55,779","00:05:58,319",speaker_0,ఆయన దగ్గర పనిచేసే వాళ్ళు కూడా మూగోళ్ళే సార్.,aayana dhaggara panichese vaallu koodaa moogolle saar.
82,"00:06:00,889","00:06:02,470",speaker_0,అవతలోళ్ళు మాట్లాడితే sound తగ్గించేలా,avathalollu maatlaadithe sound thagginchelaa
83,"00:06:03,180","00:06:05,129",speaker_0,ఎప్పుడూ ఆ sound reduction machine పెట్టుకుంటాడు సార్.,yeppudoo aa sound reduction machine pettukuntaadu saar.
84,"00:06:08,716","00:06:10,246",speaker_3,ఆయన ఏ పని చేసినా sound రాకుండా,aayana ye pani chesinaa sound raakundaa
85,"00:06:10,665","00:06:11,636",speaker_3,అన్ని పనులా అవగొట్టేస్తుంటాడు,anni panulaa avagottesthuntaadu
86,"00:06:11,956","00:06:12,185",speaker_3,సార్.,saar.
87,"00:06:26,315","00:06:27,006",speaker_1,అన్ని పనులంటే,anni panulante
88,"00:06:27,175","00:06:27,516",speaker_1,PA,PA
89,"00:06:28,815","00:06:29,415",speaker_1,మరి ఆ పని?,mari aa pani?
90,"00:06:29,656","00:06:29,836",speaker_3,ఆ,aa
91,"00:06:30,485","00:06:31,136",speaker_3,అది కూడా సార్.,adhi koodaa saar.
92,"00:06:40,286","00:06:40,665",speaker_1,అంటే ఈ,ante ee
93,"00:06:40,716","00:06:42,326",speaker_1,సారి sound అక్కడ cut చేసాడేంటి?,saari sound akkada cut chesaadenti?
94,"00:06:45,355","00:06:46,066",speaker_3,సార్ గట్టిగా నవ్వారనుకోండి,saar gattigaa navvaaranukondi
95,"00:06:46,755","00:06:47,836",speaker_3,వాడ చోట cut చేస్తారు సార్.,vaada chota cut chesthaaru saar.
96,"00:06:48,824","00:06:49,115",speaker_1,ఆ ఉమ్.,aa um.
97,"00:07:15,596","00:07:16,295",speaker_1,సైలెన్స్ skills,silence skills
98,"00:07:16,375","00:07:16,986",speaker_1,అంటే ఇదేనేమో!,ante idhenemo!
99,"00:07:18,716","00:07:20,716",speaker_1,బయట నువ్వు చేసిన బ్లాస్టింగ్ కన్నా,bayata nuvvu chesina blasting kannaa
100,"00:07:21,336","00:07:22,536",speaker_1,లోపల ఈ సైలెన్స్ కే,lopala ee silence ke
101,"00:07:23,065","00:07:24,156",speaker_1,నాకెక్కువ భయమేస్తుంది.,naakekkuva bhayamesthundhi.
102,"00:07:26,336","00:07:26,686",speaker_1,అవును,avunu
103,"00:07:28,196","00:07:30,126",speaker_1,ఆరు నెలల నుంచి నీ factory functioning,aaru nelala nunchi nee factory functioning
104,"00:07:30,295","00:07:31,096",speaker_1,లో లేదు కదా!,lo ledhu kadhaa!
105,"00:07:32,096","00:07:33,546",speaker_1,మరి ఆ running లో లేని factory,mari aa running lo leni factory
106,"00:07:33,716","00:07:33,975",speaker_1,లో,lo
107,"00:07:34,415","00:07:34,946",speaker_1,ఆ బ్లాస్టింగ్,aa blasting
108,"00:07:35,136","00:07:35,746",speaker_1,ఎట్లా జరిగిపోనది?,yetlaa jarigiponadhi?
109,"00:07:38,755","00:07:39,156",speaker_4,Sir,Sir
110,"00:07:40,385","00:07:41,276",speaker_4,కొంతమంది creation,konthamandhi creation
111,"00:07:41,355","00:07:41,766",speaker_4,"ని నమ్ముతారు,","ni nammuthaaru,"
112,"00:07:41,975","00:07:42,326",speaker_4,కొంతమంది,konthamandhi
113,"00:07:42,576","00:07:42,926",speaker_4,destruction,destruction
114,"00:07:43,235","00:07:43,746",speaker_4,ని నమ్ముతారు.,ni nammuthaaru.
115,"00:07:45,415","00:07:45,815",speaker_4,నేను,nenu
116,"00:07:47,225","00:07:47,836",speaker_4,destruction లో,destruction lo
117,"00:07:47,915","00:07:49,165",speaker_4,నుంచి వచ్చే creation,nunchi vachhe creation
118,"00:07:49,475","00:07:49,966",speaker_4,ని నమ్ముతాను.,ni nammuthaanu.
119,"00:07:52,825","00:07:53,825",speaker_1,ఫిలాసఫీయా? నాకర్థం,philaasapheeyaa? naakartham
120,"00:07:53,875","00:07:54,216",speaker_1,కాదు.,kaadhu.
121,"00:07:55,765","00:07:56,475",speaker_1,నాకర్థమైంది ఇదే.,naakarthamaindhi idhe.
122,"00:08:00,805","00:08:01,255",speaker_1,సీఎం కి,seem ki
123,"00:08:01,375","00:08:02,016",speaker_1,వంద కోట్లు.,vandha kotlu.
124,"00:08:05,596","00:08:06,545",speaker_1,నాకు పది కోట్లు.,naaku padhi kotlu.
