index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,580","00:00:00,929",speaker_0,ప్లీజ్,please
2,"00:03:21,520","00:03:22,759",speaker_0,రాజు నువ్వు ఏటికి వెళ్ళొద్దు,raaju nuvvu yetiki vellodhdhu
3,"00:03:23,939","00:03:24,659",speaker_0,నేను వదిలే వెళ్ళను,nenu vadhile vellanu
4,"00:03:25,400","00:03:25,819",speaker_0,వద్దు,vadhdhu
5,"00:03:26,939","00:03:27,650",speaker_0,వెళ్ళను చెప్తున్నాను,vellanu chepthunnaanu
6,"00:03:27,789","00:03:28,139",speaker_0,కదా,kadhaa
7,"00:03:31,510","00:03:31,979",speaker_0,రేయ్ ఈ,rey ee
8,"00:03:32,039","00:03:32,900",speaker_0,తుఫాన్ ఆగేది లేదు,thuphaan aagedhi ledhu
9,"00:03:33,300","00:03:34,479",speaker_0,అన్ని టోరిస్ ఎక్కాలని తయారయ్యండి,anni toris yekkaalani thayaarayyandi
10,"00:03:36,180","00:03:36,919",speaker_0,ఓటేసినావ్ కదా,otesinaav kadhaa
11,"00:03:37,360","00:03:37,710",speaker_0,ఇప్పుడేంటి,ippudenti
12,"00:03:38,460","00:03:41,370",speaker_0,ఈ పాలి యాడ్ నిన్ను ఏరిపొచ్చి కాదు మనమిద్దరం పెళ్లి చేసేసుకుందాం,ee paali yaad ninnu yeripochhi kaadhu manamidhdharam pelli chesesukundhaam
13,"00:03:43,580","00:03:44,210",speaker_0,అలాం పెరిగిపోతుంది,alaam perigipothundhi
14,"00:03:44,740","00:03:45,849",speaker_0,నింపుండి బెగ్ నింపుండి,nimpundi bag nimpundi
15,"00:03:48,500","00:03:49,090",speaker_0,నువ్ ఇప్పుడు వెళ్లిపోతున్నావంటే,nuv ippudu vellipothunnaavante
16,"00:03:50,099","00:03:51,259",speaker_0,ఏటికి వెళ్తున్నట్టు కాదు ఇది,yetiki velthunnattu kaadhu idhi
17,"00:03:51,520","00:03:52,679",speaker_0,నానుండి పూర్తిగా వెళ్లిపోతున్నట్టు,naanundi poorthigaa vellipothunnattu
18,"00:03:52,870","00:03:53,219",speaker_0,అరే,are
19,"00:03:55,099","00:03:55,400",speaker_0,రాజు,raaju
20,"00:03:55,919","00:03:56,780",speaker_0,ఓ పాలా ఆశించా,o paalaa aashinchaa
21,"00:04:26,459","00:04:26,810",speaker_0,సత్యా,sathyaa
22,"00:04:29,189","00:04:30,019",speaker_0,ఏటమ్మిది ఆ,yetammidhi aa
23,"00:04:34,029","00:04:35,139",speaker_0,పదమ్మా ఇంటికెళ్లిపోదాం,padhammaa intikellipodhaam
24,"00:05:38,019","00:05:38,279",speaker_0,నాన్న,naanna
25,"00:05:38,939","00:05:39,290",speaker_0,చెప్పమ్మా,cheppammaa
26,"00:05:40,319","00:05:41,390",speaker_0,నాకు పెళ్లి సంబంధం చూడండి,naaku pelli sambandham choodandi
27,"00:05:43,800","00:05:44,150",speaker_0,ఏటమ్మా,yetammaa
28,"00:05:45,199","00:05:46,730",speaker_0,నేను ఏటైనా ఆలోచించి చెప్తాను కదా,nenu yetainaa aalochinchi chepthaanu kadhaa
29,"00:05:57,699","00:05:59,340",speaker_0,ఆ దుద్దులు కాదక్కా పెద్ద బుట్టలు ఇవ్వు,aa dhudhdhulu kaadhakkaa pedhdha buttalu ivvu
30,"00:06:05,201","00:06:06,262",speaker_1,ఏటి ఆడు,yeti aadu
31,"00:06:06,312","00:06:07,002",speaker_1,ఊర్లో లేనప్పుడు,oorlo lenappudu
32,"00:06:07,492","00:06:08,762",speaker_1,నేను ఎలాగున్నా పర్లేదు అనిపించేది,nenu yelaagunnaa parledhu anipinchedhi
33,"00:06:10,112","00:06:10,942",speaker_1,ఆడు నాతో నున్నప్పుడు,aadu naatho nunnappudu
34,"00:06:11,632","00:06:12,182",speaker_1,ఆడికి ఇష్టమైనట్టు,aadiki ishtamainattu
35,"00:06:12,432","00:06:12,782",speaker_1,ఉండాలనిపించేది,undaalanipinchedhi
36,"00:06:14,872","00:06:16,322",speaker_1,కానీ ఇప్పుడు ఆడు నాలోనే లేనప్పుడు,kaanee ippudu aadu naalone lenappudu
37,"00:06:17,372","00:06:18,462",speaker_1,మరింత బాగా తయారవ్వాలనిపిస్తుంది,marintha baagaa thayaaravvaalanipisthundhi
38,"00:06:19,312","00:06:20,141",speaker_2,వాడిమీద కోపమా,vaadimeedha kopamaa
39,"00:06:20,372","00:06:20,722",speaker_1,హే,he
40,"00:06:21,312","00:06:22,042",speaker_1,ప్రేమే లేదంటుంటే,preme ledhantunte
41,"00:06:22,591","00:06:23,602",speaker_1,కోపం ఉక్రోషం ఎందుకుంటాయక్క,kopam ukrosham yendhukuntaayakka
42,"00:06:26,791","00:06:27,442",speaker_2,అవును రయ్యా,avunu rayyaa
43,"00:06:27,791","00:06:29,471",speaker_2,ఇంతకీ పెళ్లి కొడుకు ఏటి చేత్ ఉంటాడురా,inthakee pelli koduku yeti cheth untaaduraa
44,"00:06:30,301","00:06:31,192",speaker_3,పేరు మురళి,peru murali
45,"00:06:31,252","00:06:31,602",speaker_2,ఆ,aa
46,"00:06:31,831","00:06:32,182",speaker_3,ఊరుకొస్తున్న,oorukosthunna
47,"00:06:32,552","00:06:33,351",speaker_3,ఫైనాన్స్ కంపెనీ ఉందా,finance company undhaa
48,"00:06:33,812","00:06:33,912",speaker_2,ఆ,aa
49,"00:06:33,891","00:06:35,651",speaker_3,అందులో అట recover agentగా చేత్తున్నాడు,andhulo ata recover agentgaa cheththunnaadu
50,"00:06:37,512","00:06:38,391",speaker_3,recover agent కదా,recover agent kadhaa
51,"00:06:38,512","00:06:38,942",speaker_2,ఆ,aa
52,"00:06:38,992","00:06:40,822",speaker_3,నెల తిరిగిన లోపు వాయిదా వసూలు చేత్తడు,nela thirigina lopu vaayidhaa vasoolu cheththadu
53,"00:06:41,211","00:06:41,562",speaker_3,లేదంటే,ledhante
54,"00:06:41,831","00:06:42,532",speaker_3,ఒత్తులు ఒట్టుకొచ్చేత్తడు,oththulu ottukochheththadu
55,"00:06:42,812","00:06:43,161",speaker_2,ఆ,aa
56,"00:06:43,211","00:06:43,562",speaker_3,ఆ,aa
57,"00:06:43,812","00:06:45,262",speaker_2,కృష్ణ అని పెళ్లి చూపులకు వెళ్తుంటే,krishna ani pelli choopulaku velthunte
58,"00:06:45,591","00:06:46,422",speaker_2,ఈ వసూళ్లు గోలేట్రా,ee vasoollu goletraa
59,"00:06:46,791","00:06:47,141",speaker_2,కండాలంగా,kandaalangaa
60,"00:06:47,302","00:06:48,562",speaker_3,ముందు మీ సిగ్గడ్డి పట్టుకోయ్ ఏటి,mundhu mee siggaddi pattukoy yeti
61,"00:06:52,552","00:06:54,222",speaker_3,ఏట్ చూత్తండ్రా వెళ్ళండి మీకు చూపించండిలే,yet chooththandraa vellandi meeku choopinchandile
62,"00:06:54,812","00:06:55,622",speaker_3,అంత night అయితే నాకవద్దా,antha night ayithe naakavadhdhaa
63,"00:06:56,732","00:06:57,722",speaker_3,బయట నాలుగైదు వాయిదాలున్నాయి,bayata naalugaidhu vaayidhaalunnaayi
64,"00:06:58,471","00:06:58,872",speaker_3,వెళ్ళాలి,vellaali
65,"00:06:59,732","00:07:00,082",speaker_3,ఊరిడమ్మా,ooridammaa
66,"00:07:07,112","00:07:08,052",speaker_3,ఏటి ఇంత అందంగా ఉందే,yeti intha andhangaa undhe
67,"00:07:10,672","00:07:11,822",speaker_3,నా మొఖానికి ఇలా టామయ్యా,naa mokhaaniki ilaa taamayyaa
68,"00:07:13,232","00:07:13,862",speaker_3,మాట కొట్టలేక,maata kottaleka
69,"00:07:13,992","00:07:14,862",speaker_3,పెళ్లి చూపులకు ఒప్పేసుకున్నట్టుందే,pelli choopulaku oppesukunnattundhe
70,"00:07:15,752","00:07:16,102",speaker_1,హా,haa
71,"00:07:16,391","00:07:17,022",speaker_1,ఇది అయినట్లేదిలే,idhi ayinatledhile
72,"00:07:18,112","00:07:18,591",speaker_3,కూర్చోండి బాబు,koorchondi baabu
73,"00:07:19,651","00:07:20,012",speaker_3,కూర్చోండి,koorchondi
74,"00:07:21,072","00:07:21,962",speaker_1,మీరు ఏటైనా మాట్లాడుకోవాలి,meeru yetainaa maatlaadukovaali
75,"00:07:22,132","00:07:22,482",speaker_1,అంతే,anthe
76,"00:07:22,711","00:07:23,622",speaker_1,అటు పక్కకెళ్లి మాట్లాడుకోండి,atu pakkakelli maatlaadukondi
77,"00:07:23,831","00:07:24,382",speaker_1,ఏటి పర్లేదు,yeti parledhu
78,"00:07:25,052","00:07:25,402",speaker_3,మాట్లాడదామా,maatlaadadhaamaa
79,"00:07:26,291","00:07:27,072",speaker_2,నాకీ పెళ్లి ఇష్టమే,naakee pelli ishtame
80,"00:07:27,351","00:07:27,612",speaker_2,సత్య,sathya
81,"00:07:31,762","00:07:32,491",speaker_3,సుభం అబ్బాయికి,subham abbaayiki
82,"00:07:32,541","00:07:33,342",speaker_3,కూడా double okay,koodaa double okay
83,"00:07:33,771","00:07:35,192",speaker_3,ఆ నోరెళ్ల పెట్టుకుని నిల్లాపోయిండు చూడండి,aa norella pettukuni nillaapoyindu choodandi
84,"00:07:36,591","00:07:39,802",speaker_1,మరి ఆలస్యం ఎల్ బాబా మీ అమ్మి జాతకం ఇస్తే ఓ పాలు చూపించి,mari aalasyam eels baba mee ammi jaathakam isthe o paalu choopinchi
85,"00:07:40,192","00:07:40,842",speaker_1,ముహూర్తం పెట్టుకుందామ,muhoortham pettukundhaama
86,"00:07:41,012","00:07:41,762",speaker_3,అలాగే ఏటి,alaage yeti
87,"00:07:43,312","00:07:43,662",speaker_3,ఏటంటున్నావ్,yetantunnaav
