index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:02:11,120","00:02:11,860",speaker_0,ఏమైనా help కావాలా?,yemainaa help kaavaalaa?
2,"00:02:49,159","00:02:49,939",speaker_0,Smell బాగుంది కదా,Smell baagundhi kadhaa
3,"00:02:50,539","00:02:51,120",speaker_0,fresh ఆవకాయ్,fresh aavakaay
4,"00:02:51,199","00:02:51,460",speaker_1,హా,haa
5,"00:02:52,080","00:02:53,189",speaker_1,అత్తమ్మ చేసి పంపేది,aththamma chesi pampedhi
6,"00:02:53,460","00:02:54,099",speaker_1,అదే smell,adhe smell
7,"00:02:54,419","00:02:54,840",speaker_0,కావాలా?,kaavaalaa?
8,"00:02:56,310","00:02:56,939","speaker_1, speaker_0",తీసుకోవచ్చా? ఆ,theesukovachhaa? aa
9,"00:02:57,580","00:02:58,139",speaker_0,but కొంచెం,but konchem
10,"00:02:58,219","00:02:58,439",speaker_1,హ్మ్,hma్
11,"00:03:07,360","00:03:09,049",speaker_2,హే Ritu అదేదో బావుందే smell తీసుకో,he Ritu adhedho baavundhe smell theesuko
12,"00:03:27,250","00:03:27,729",speaker_1,అరే అది,are adhi
13,"00:03:27,780","00:03:28,710",speaker_1,నాది కూడా కాదబ్బా,naadhi koodaa kaadhabbaa
14,"00:03:29,159","00:03:29,509",speaker_1,ఆ,aa
15,"00:03:29,800","00:03:30,150",speaker_1,అయ్యో,ayyo
16,"00:03:30,360","00:03:32,210",speaker_1,Smell నచ్చి నేను కూడా వేరే వాళ్ళ దగ్గర నుంచి తీసుకున్నాను,Smell nachhi nenu koodaa vere vaalla dhaggara nunchi theesukunnaanu
17,"00:03:33,060","00:03:33,599",speaker_1,మరి ఎవరిది?,mari yevaridhi?
18,"00:03:38,719","00:03:40,650",speaker_2,చాలా బావున్నట్ట bro try once bro,chaalaa baavunnatta bro try once bro
19,"00:03:46,909","00:03:47,900",speaker_1,Sorry Sorry,Sorry Sorry
20,"00:03:59,139","00:04:00,669",speaker_1,నేను ఇంకా చెయ్యి కూడా పెట్టలేదు,nenu inkaa cheyyi koodaa pettaledhu
21,"00:04:01,039","00:04:01,460",speaker_1,తినొచ్చు,thinochhu
22,"00:04:12,650","00:04:13,000",speaker_2,Wait,Wait
23,"00:04:13,620","00:04:14,979",speaker_2,ఉన్నది ముగ్గరం share చేసుకుందాం.,unnadhi muggaram share chesukundhaam.
24,"00:04:17,789","00:04:18,469",speaker_2,వినయ్ MSc,vinay MSc
25,"00:04:18,519","00:04:18,870",speaker_2,Mathematics,Mathematics
26,"00:04:20,399","00:04:21,879",speaker_1,హర్షిత MSc Computer Science,harshitha MSc Computer Science
27,"00:04:22,360","00:04:22,680",speaker_1,భూమా,bhoomaa
28,"00:04:23,139","00:04:23,610",speaker_1,MA Literature,MA Literature
29,"00:04:26,000","00:04:26,279",speaker_2,రేయ్,rey
30,"00:04:26,959","00:04:28,180",speaker_2,మేము చేసేదే veg ragging,memu chesedhe veg ragging
31,"00:04:28,920","00:04:30,279",speaker_2,ఆ mood కూడా పోతుంది కదరా,aa mood koodaa pothundhi kadharaa
32,"00:04:31,360","00:04:32,810",speaker_2,two states లో ఉన్న ముద్దు పాపలందరినీ,two states lo unna mudhdhu paapalandharinee
33,"00:04:32,980","00:04:35,410",speaker_2,వెతికి మరి తీసుకొచ్చి admission ఇచ్చినట్టున్నారు ఈ batch లోకి,vethiki mari theesukochhi admission ichhinattunnaaru ee batch loki
34,"00:04:36,250","00:04:37,028",speaker_2,ఏంటో అనవసరంగా,yento anavasarangaa
35,"00:04:37,079","00:04:38,240",speaker_2,senior గా వచ్చాను ఈ college కి,senior gaa vachhaanu ee college ki
36,"00:04:38,839","00:04:39,570",speaker_3,నహి హోంగే,nahi honge
37,"00:04:39,920","00:04:40,270",speaker_3,కామియాబ్,kaamiyaab
38,"00:04:41,819","00:04:42,530",speaker_3,నహి హోంగే,nahi honge
39,"00:04:42,819","00:04:43,170",speaker_3,కామియాబ్,kaamiyaab
40,"00:04:44,540","00:04:45,270",speaker_3,నహి హోంగే,nahi honge
41,"00:04:45,560","00:04:45,910",speaker_3,కామియాబ్,kaamiyaab
42,"00:04:47,259","00:04:48,589",speaker_1,ఏ పాపా green shirt,ye papa green shirt
43,"00:04:49,120","00:04:49,650",speaker_1,అటు చూస్తున్నావెంటి?,atu choosthunnaaventi?
44,"00:04:50,420","00:04:50,899",speaker_1,ఆ నిన్నే,aa ninne
45,"00:04:51,420","00:04:52,590",speaker_2,Ragging ఏం వద్దు రా,Ragging yem vadhdhu raa
46,"00:04:52,879","00:04:54,740",speaker_2,మీలో ఎవరికైనా ఏదైనా ఒక talent ఉందా?,meelo yevarikainaa yedhainaa oka talent undhaa?
47,"00:04:55,139","00:04:55,610",speaker_1,నీ పేరేంటి?,nee perenti?
48,"00:04:56,540","00:04:56,759",speaker_1,దుర్గ,dhurga
49,"00:04:58,689","00:04:59,660",speaker_1,అబ్బో attitude,abbo attitude
50,"00:05:01,980","00:05:03,240",speaker_1,ఏంటి UG college లో నువ్వే babe,yenti UG college lo nuvve babe
51,"00:05:03,939","00:05:04,079",speaker_1,ఆ?,aa?
52,"00:05:05,050","00:05:06,890",speaker_1,ఆ ఈ style కొంచెం తగ్గించు ఊరుకోండి,aa ee style konchem thagginchu oorukondi
53,"00:05:07,139","00:05:07,490",speaker_1,ma'am,ma'am
54,"00:05:07,860","00:05:08,660",speaker_1,ఇది style ఏంటి?,idhi style yenti?
55,"00:05:09,860","00:05:11,160",speaker_1,మీరే చాలా stylish గా ఉన్నారు.,meere chaalaa stylish gaa unnaaru.
56,"00:05:12,360","00:05:12,710",speaker_1,అబ్బో!,abbo!
57,"00:05:13,959","00:05:14,689",speaker_1,పాప బాగా,papa baagaa
58,"00:05:14,899","00:05:15,250",speaker_1,ముదురు,mudhuru
59,"00:05:15,500","00:05:17,110",speaker_2,ఎలా ఉన్నారో చూడు ఒక్కొక్కరు తల కిందకు దించుకొని,yelaa unnaaro choodu okkokkaru thala kindhaku dhinchukoni
60,"00:05:18,300","00:05:18,400",speaker_2,హే,he
61,"00:05:19,019","00:05:19,240",speaker_2,hello,hello
62,"00:05:19,740","00:05:20,270",speaker_2,నువ్వు రా,nuvvu raa
63,"00:05:20,839","00:05:20,939",speaker_2,దా,dhaa
64,"00:05:21,220","00:05:21,579",speaker_1,నేనా sir,nenaa sir
65,"00:05:21,660","00:05:21,760",speaker_2,దా,dhaa
66,"00:05:22,439","00:05:22,600",speaker_1,sir,sir
67,"00:05:24,920","00:05:27,250",speaker_2,First day నే first button open ఉమ్,First day ne first button open um
68,"00:05:28,819","00:05:29,079",speaker_2,రేయ్,rey
69,"00:05:30,019","00:05:30,850",speaker_2,ఏదో ఒకటి చేసి,yedho okati chesi
70,"00:05:31,100","00:05:31,939",speaker_2,మమ్మల్ని entertain చేయరా,mammalni entertain cheyaraa
71,"00:05:33,420","00:05:33,740",speaker_2,ఉమ్,um
72,"00:05:35,379","00:05:36,079",speaker_1,Dance చేస్తా sir,Dance chesthaa sir
73,"00:05:36,319","00:05:36,730",speaker_2,అబ్బో,abbo
74,"00:05:37,139","00:05:37,810",speaker_2,dance ఏ,dance ye
75,"00:05:38,439","00:05:38,980",speaker_2,చేయరా చెయ్,cheyaraa chey
76,"00:05:40,040","00:05:40,730",speaker_2,బాగా చేయకపోతే,baagaa cheyakapothe
77,"00:05:41,500","00:05:42,590",speaker_2,అప్పుడు చెప్తా నీ పని,appudu chepthaa nee pani
78,"00:05:54,000","00:05:54,120",speaker_1,Sir,Sir
79,"00:05:55,680","00:05:57,150",speaker_1,dance number ఏదైనా పెట్టొచ్చు కదా?,dance number yedhainaa pettochhu kadhaa?
