index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:09,859","00:00:10,209",speaker_0,ధూమపానం,dhoomapaanam
2,"00:00:10,619","00:00:10,969",speaker_0,మద్యపానం,madhyapaanam
3,"00:00:11,400","00:00:11,750",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:11,939","00:00:13,980",speaker_0,హానికరం మరియు cancer కి కారకం.,haanikaram mariyu cancer ki kaarakam.
5,"00:00:14,529","00:00:16,429",speaker_0,"Smoking and drinking are injurious to health,","Smoking and drinking are injurious to health,"
6,"00:00:17,000","00:00:17,899",speaker_0,it causes cancer.,it causes cancer.
7,"00:02:51,680","00:02:52,030",speaker_0,ఏంటా,yentaa
8,"00:02:58,879","00:02:59,229",speaker_0,నాలుగైదు,naalugaidhu
9,"00:03:21,510","00:03:22,269",speaker_0,అయినాయా అన్నా?,ayinaayaa annaa?
10,"00:03:55,599","00:03:56,240",speaker_0,నీకేంటి కావాలి?,neekenti kaavaali?
11,"00:03:56,719","00:03:57,800",speaker_1,"ప్లేట్ ఇడ్లీ, ప్లేట్ పూరీ అన్న.","plate idlee, plate pooree anna."
12,"00:04:05,479","00:04:05,579",speaker_0,ఉమ్,um
13,"00:04:05,530","00:04:05,639",speaker_1,అన్న,anna
14,"00:04:06,379","00:04:07,479",speaker_1,కొంచెం అన్నం చట్నీ కూడా కట్టన్న.,konchem annam chatnee koodaa kattanna.
15,"00:04:07,719","00:04:07,919",speaker_0,ఉమ్,um
16,"00:04:12,379","00:04:13,280",speaker_1,ఇంకొంచెం వేయొచ్చు కదా అన్న.,inkonchem veyochhu kadhaa anna.
17,"00:04:20,529","00:04:21,038",speaker_1,ఎంత అయింది,yentha ayindhi
18,"00:04:21,088","00:04:21,240",speaker_1,అన్న?,anna?
19,"00:04:21,420","00:04:21,879",speaker_0,నలభై ఐదు.,nalabhai aidhu.
20,"00:04:23,160","00:04:23,510",speaker_1,ఆహ్,aah
21,"00:04:27,829","00:04:28,509",speaker_0,ఇంద పట్టు,indha pattu
22,"00:04:29,079","00:04:29,300",speaker_1,ఊఁ,ooఁ
23,"00:04:33,079","00:04:35,070",speaker_1,హోమ్ వర్క్ చేసావారా ఈరోజు? చేయలేదురా.,home work chesaavaaraa eeroju? cheyaledhuraa.
24,"00:04:35,560","00:04:36,350",speaker_1,నేను కూడా చేయలేదురా,nenu koodaa cheyaledhuraa
25,"00:04:36,600","00:04:37,590",speaker_1,teacher ఏమని అంటదేమో.,teacher yemani antadhemo.
26,"00:04:39,959","00:04:41,300",speaker_0,ఐదు రూపాయలు కాదురా పది రూపాయలు.,aidhu roopaayalu kaadhuraa padhi roopaayalu.
27,"00:04:41,480","00:04:43,090",speaker_1,అన్న ఒక పేపర్ రూపాయే కదన్నా.,anna oka paper roopaaye kadhannaa.
