index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,540","00:00:01,129",speaker_0,పొగ త్రాగుట,poga thraaguta
2,"00:00:01,600","00:00:02,330",speaker_0,మద్యం సేవించుట,madhyam sevinchuta
3,"00:00:02,960","00:00:03,310",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:03,600","00:00:03,950",speaker_0,హానికరం.,haanikaram.
5,"00:00:04,360","00:00:05,290",speaker_0,Smoking and drinking,Smoking and drinking
6,"00:00:05,580","00:00:06,669",speaker_0,are injurious to health.,are injurious to health.
7,"00:02:28,219","00:02:28,539",speaker_1,వెదర్వ్,vedharv
8,"00:02:29,219","00:02:30,419",speaker_1,బయట ఫుడ్డు ఇక్కడ ఉప్పుమాం,bayata phuddu ikkada uppumaam
9,"00:02:30,819","00:02:31,080",speaker_1,తీసెయ్.,theesey.
10,"00:02:34,340","00:02:34,520",speaker_1,ఉమ్,um
11,"00:02:36,180","00:02:36,530",speaker_1,రేయ్,rey
12,"00:02:37,759","00:02:39,280",speaker_1,"ఇది నెల్లూరు చేపల పులుసో,","idhi nellooru chepala puluso,"
13,"00:02:39,800","00:02:40,430",speaker_1,కుండ బిర్యానీయో,kunda biryaaneeyo
14,"00:02:40,639","00:02:40,919",speaker_1,కాదు.,kaadhu.
15,"00:02:42,419","00:02:42,769",speaker_1,అస్థికలు.,asthikalu.
16,"00:02:45,030","00:02:45,740",speaker_1,కావాలంటే తీసి,kaavaalante thc
17,"00:02:45,800","00:02:46,060",speaker_1,చూడు.,choodu.
18,"00:02:46,780","00:02:47,129",speaker_1,ఆయనొచ్చి,aayanochhi
19,"00:02:49,189","00:02:49,718",speaker_1,నీ పీక,nee peeka
20,"00:02:49,769","00:02:50,118",speaker_1,నేసుకుంటాడు.,nesukuntaadu.
21,"00:02:59,840","00:03:00,500",speaker_0,పెద్ద నోటు.,pedhdha notu.
22,"00:03:02,080","00:03:02,430",speaker_1,అవునురా.,avunuraa.
23,"00:03:03,159","00:03:05,159",speaker_1,ఈ అనాథ శవం ఇచ్చిన ఆఖరి నోటు ఇదే.,ee anaatha shavam ichhina aakhari notu idhe.
24,"00:03:09,479","00:03:09,829",speaker_0,నోటు!,notu!
25,"00:06:09,850","00:06:10,200",speaker_2,సార్,saar
26,"00:07:09,550","00:07:10,449",speaker_2,నన్నేం చేయకండి సార్.,nannem cheyakandi saar.
27,"00:07:11,189","00:07:11,860",speaker_2,నా నోటు ఎక్కడుంటోందో,naa notu yekkaduntondho
28,"00:07:12,050","00:07:12,910",speaker_2,అక్కడికి వచ్చాను సార్.,akkadiki vachhaanu saar.
29,"00:07:13,389","00:07:14,129",speaker_3,నీ నోటా?,nee notaa?
30,"00:07:16,449","00:07:17,140",speaker_3,నువ్వు తీసుకున్న,nuvvu theesukunna
31,"00:07:17,529","00:07:17,879",speaker_3,వస్తువులు,vasthuvulu
32,"00:07:18,240","00:07:18,589",speaker_3,వాస్తవం.,vaasthavam.
33,"00:07:19,449","00:07:20,129",speaker_3,అక్కడ పెట్టు.,akkada pettu.
34,"00:07:27,629","00:07:28,250",speaker_2,పెట్టేసాను సార్.,pettesaanu saar.
35,"00:07:29,509","00:07:29,629",speaker_2,ఆ,aa
36,"00:07:37,230","00:07:37,580",speaker_2,ఆ,aa
37,"00:08:10,329","00:08:10,680",speaker_3,రేయ్.,rey.
38,"00:08:14,620","00:08:15,680",speaker_3,అమ్మాయిలకి పూలిచ్చి,ammaayilaki poolichhi
39,"00:08:15,790","00:08:16,140",speaker_3,పలకరించాలి,palakarinchaali
40,"00:08:16,509","00:08:16,829",speaker_3,కానీ,kaanee
41,"00:08:17,819","00:08:18,589",speaker_3,బుజ్జాలతో కాదు.,bujjaalatho kaadhu.
42,"00:08:22,219","00:08:23,139",speaker_4,ఎరా దానికోసమా,era dhaanikosamaa
43,"00:08:23,290","00:08:23,640",speaker_4,ఫ్లవరింగ్?,flowering?
44,"00:08:26,649","00:08:27,420",speaker_3,పరాయి స్త్రీలని,paraayi stha్reelani
45,"00:08:28,129","00:08:28,480",speaker_3,దాన్ని,dhaanni
46,"00:08:29,250","00:08:29,689",speaker_3,దీన్ని,dheenni
47,"00:08:30,579","00:08:32,090",speaker_3,అని అగౌరవపరచకూడదు.,ani agauravaparachakoodadhu.
48,"00:08:34,009","00:08:34,360",speaker_3,Ladies,Ladies
49,"00:08:35,330","00:08:35,680",speaker_3,దేవతలుసు.,dhevathalusu.
50,"00:12:09,750","00:12:11,289",speaker_2,మళ్ళీ మర్చిపోయింది.,mallee marchipoyindhi.
51,"00:12:16,221","00:12:16,572",speaker_5,అయ్యయ్యో!,ayyayyo!
52,"00:12:18,371","00:12:18,872",speaker_5,నీకోసమేనయ్యా నిన్ను,neekosamenayyaa ninnu
53,"00:12:18,922","00:12:19,272",speaker_5,వెతికేది,vethikedhi
54,"00:12:20,642","00:12:20,992",speaker_3,ఎక్కడికి?,yekkadiki?
55,"00:12:22,282","00:12:22,632",speaker_5,ఎక్కడికి?,yekkadiki?
56,"00:12:24,971","00:12:26,022","speaker_5, speaker_3",అది ఆ,adhi aa
57,"00:12:26,072","00:12:26,261",speaker_5,అది,adhi
58,"00:12:26,881","00:12:27,481",speaker_3,మనసు మరుపు,manasu marupu
59,"00:12:28,361","00:12:29,091",speaker_3,పుట్టెడు Alzheimer's,puttedu Alzheimer's
60,"00:12:29,302","00:12:30,532",speaker_3,పెట్టుకుని రోడ్డు మీద రాంపోకలేంటే,pettukuni roddu meedha raampokalente
61,"00:12:31,121","00:12:32,552",speaker_3,చిటికెన వేలు మర్చిపోతే నిన్నెక్కడ వెతికాది,chitikena velu marchipothe ninnekkada vethikaadhi
62,"00:12:33,062","00:12:34,451",speaker_5,"ఊ నీకేదో చెప్పాలని,","oo neekedho cheppaalani,"
63,"00:12:35,662","00:12:36,292",speaker_5,ఏదో చెప్పాలని,yedho cheppaalani
64,"00:12:37,461","00:12:38,152",speaker_3,కంగారు చూస్తుంటే,kangaroo choosthunte
65,"00:12:38,881","00:12:39,642",speaker_3,gas పోయి ఎలిగించి,gas poyi yeliginchi
66,"00:12:40,121","00:12:41,351",speaker_3,కొంప కాల్చేసి ఉంటా మర్చిపోయి,kompa kaalchesi untaa marchipoyi
