index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:02,140","00:00:03,000",speaker_0,Smoking causes cancer.,Smoking causes cancer.
2,"00:00:03,669","00:00:04,400",speaker_0,Smoking kills.,Smoking kills.
3,"00:00:04,679","00:00:05,729",speaker_0,పొగ త్రాగడం cancerకు,poga thraagadam cancerku
4,"00:00:05,879","00:00:06,229",speaker_0,కారకం,kaarakam
5,"00:00:06,620","00:00:07,269",speaker_0,మరియు ప్రాణాంతకం.,mariyu praanaanthakam.
6,"00:00:08,240","00:00:08,710",speaker_0,Consumption of,Consumption of
7,"00:00:08,800","00:00:10,060",speaker_0,alcohol is harmful to health.,alcohol is harmful to health.
8,"00:00:10,820","00:00:11,549",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
9,"00:00:11,820","00:00:12,169",speaker_0,ఆరోగ్యానికి,aarogyaaniki
10,"00:00:12,439","00:00:12,789",speaker_0,హానికరం.,haanikaram.
11,"00:00:13,640","00:00:14,119",speaker_0,Be safe.,Be safe.
12,"00:00:14,679","00:00:15,599",speaker_0,Don't drink and drive.,Don't drink and drive.
13,"00:00:16,269","00:00:17,500",speaker_0,సురక్షితంగా ఉండండి.,surakshithangaa undandi.
14,"00:00:17,579","00:00:19,010",speaker_0,మద్యం సేవించి వాహనం నడపకండి.,madhyam sevinchi vaahanam nadapakandi.
15,"00:01:43,870","00:01:45,019",speaker_1,నా పేరు,naa peru
16,"00:01:45,099","00:01:45,449",speaker_1,రంగరాయ,rangaraaya
17,"00:01:46,000","00:01:46,349",speaker_1,శక్తిరాజు.,shaktiraaju.
18,"00:01:48,270","00:01:49,019",speaker_1,నెల్లూరు మాది.,nellooru maadhi.
19,"00:01:51,109","00:01:51,659",speaker_1,పుట్టినప్పుడే నా,puttinappude naa
20,"00:01:51,719","00:01:52,669",speaker_1,నెత్తి మీద చెక్కుళ్ళ,neththi meedha chekkulla
21,"00:01:53,560","00:01:53,909",speaker_1,రంగరాయ,rangaraaya
22,"00:01:54,260","00:01:54,609",speaker_1,"శక్తిరాజు,","shaktiraaju,"
23,"00:01:55,459","00:01:55,809",speaker_1,"గూండా,","goondaa,"
24,"00:01:56,219","00:01:56,569",speaker_1,"తగ్గు,","thaggu,"
25,"00:01:57,570","00:01:58,120",speaker_1,యాకూజా అని.,yaakoojaa ani.
26,"00:01:59,590","00:02:00,560",speaker_1,యాకూజా అంటే,yaakoojaa ante
27,"00:02:00,640","00:02:00,989",speaker_1,జపాన్,japan
28,"00:02:01,180","00:02:01,530",speaker_1,భాషలో,bhaashalo
29,"00:02:02,200","00:02:02,549",speaker_1,gangster,gangster
30,"00:02:02,760","00:02:03,329",speaker_1,అని చెప్పారులే.,ani cheppaarule.
31,"00:02:08,520","00:02:08,870",speaker_1,యముడికి,yamudiki
32,"00:02:10,650","00:02:11,429",speaker_1,నేనంటే చానా,nenante chaanaa
33,"00:02:11,479","00:02:11,879",speaker_1,ఇష్టం.,ishtam.
34,"00:02:15,050","00:02:16,539",speaker_1,వెతుక్కుంటూ వస్తుంటాడులే.,vethukkuntoo vasthuntaadule.
35,"00:02:16,639","00:02:18,269",speaker_1,నేను మా అమ్మ కడుపులో ఉన్నప్పుడే,nenu maa amma kadupulo unnappude
36,"00:02:19,180","00:02:20,509",speaker_1,ఢిల్లీ వెళ్ళే రైలు నాతోపాటు,delhi velle railu naathopaatu
37,"00:02:21,039","00:02:21,419",speaker_1,ఎక్కాడు.,yekkaadu.
38,"00:02:23,280","00:02:24,030",speaker_1,కానీ నాకోసం,kaanee naakosam
39,"00:02:24,329","00:02:24,699",speaker_1,వచ్చినోడు,vachhinodu
40,"00:02:25,740","00:02:26,289",speaker_1,నా కన్నదాన్ని,naa kannadhaanni
41,"00:02:26,620","00:02:26,969",speaker_1,తీసుకుపోయాడు.,theesukupoyaadu.
42,"00:02:29,030","00:02:29,840",speaker_1,రైలు ఢిల్లీ,railu delhi
43,"00:02:29,939","00:02:30,289",speaker_1,చేరేసరికి,cheresariki
44,"00:02:32,740","00:02:33,650",speaker_1,నేనొక యాకూజాగ,nenoka yaakoojaaga
45,"00:02:34,159","00:02:34,509",speaker_1,పుట్టుకొచ్చినా.,puttukochhinaa.
46,"00:02:38,460","00:02:39,430",speaker_1,ఆ రోజు నుంచి,aa roju nunchi
47,"00:02:39,639","00:02:40,430",speaker_1,ఈ రోజు వరకు,ee roju varaku
48,"00:02:41,390","00:02:42,169",speaker_1,యముడికి నాకు,yamudiki naaku
49,"00:02:42,219","00:02:42,560",speaker_1,పోటీ.,pot.
50,"00:02:44,810","00:02:45,530",speaker_1,నువ్వా? నేనా?,nuvvaa? nenaa?
51,"00:02:47,900","00:02:48,569",speaker_1,ఇది యముడికి,idhi yamudiki
52,"00:02:48,960","00:02:49,310",speaker_1,నాకు,naaku
53,"00:02:49,500","00:02:50,240",speaker_1,జరిగే కథ.,jarige katha.
54,"00:02:51,229","00:02:51,579",speaker_2,అన్నా!,annaa!
