index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:50,000","00:00:50,350",speaker_0,கிளம்பலாமா?,கிளம்பலாமா?
2,"00:02:15,099","00:02:15,659",speaker_1,Yes டாடி.,Yes டாடி.
3,"00:02:29,900","00:02:31,129",speaker_0,இங்க தான். இங்க தான். இறங்குங்க.,இங்க தான். இங்க தான். இறங்குங்க.
4,"00:02:31,699","00:02:32,049",speaker_1,வந்துட்டோமா.,வந்துட்டோமா.
5,"00:02:34,580","00:02:35,780",speaker_1,எல்லா bag கையும் கையில எடுங்க.,எல்லா bag கையும் கையில எடுங்க.
6,"00:02:36,080","00:02:36,539",speaker_0,அண்ணன் கிட்ட கொடு.,அண்ணன் கிட்ட கொடு.
7,"00:02:37,400","00:02:38,080",speaker_0,அட பாத்துடா.,அட பாத்துடா.
8,"00:02:38,740","00:02:39,530",speaker_0,டேய். ரொம்ப ஆழமா,டேய். ரொம்ப ஆழமா
9,"00:02:39,979","00:02:40,180",speaker_0,இருக்குடா.,இருக்குடா.
10,"00:02:41,120","00:02:41,680",speaker_0,சீக்கிரம் வாங்கு.,சீக்கிரம் வாங்கு.
11,"00:02:42,139","00:02:42,489",speaker_0,கடவுளே.,கடவுளே.
12,"00:02:51,199","00:02:51,740",speaker_0,பின்னாடி வாங்குவோ.,பின்னாடி வாங்குவோ.
13,"00:02:52,159","00:02:53,400",speaker_0,பாத்து பாத்து. பாத்து வாங்குவோமா.,பாத்து பாத்து. பாத்து வாங்குவோமா.
14,"00:02:55,500","00:02:55,849",speaker_1,நில்லுங்க.,நில்லுங்க.
15,"00:03:04,400","00:03:05,039",speaker_0,சீக்கிரம் கிளம்புங்கோ.,சீக்கிரம் கிளம்புங்கோ.
16,"00:03:06,680","00:03:07,360",speaker_1,இப்ப எங்க போறோம்?,இப்ப எங்க போறோம்?
17,"00:03:07,599","00:03:09,020",speaker_0,வாய மூடிட்டு வாடா. பிறகு சொல்றேன்.,வாய மூடிட்டு வாடா. பிறகு சொல்றேன்.
18,"00:03:11,500","00:03:11,919",speaker_1,அய்யோ.,அய்யோ.
19,"00:03:12,560","00:03:13,889",speaker_1,என் suit case விட்டுட்டு வந்துட்டேன்.,என் suit case விட்டுட்டு வந்துட்டேன்.
20,"00:03:14,139","00:03:14,509",speaker_1,ஒரு நிமிஷம்.,ஒரு நிமிஷம்.
21,"00:03:14,599","00:03:15,849",speaker_0,டேய் டேய் டேய். அது போனா போகட்டும்டா.,டேய் டேய் டேய். அது போனா போகட்டும்டா.
22,"00:03:16,000","00:03:16,379",speaker_0,நீ வாடா.,நீ வாடா.
23,"00:03:16,460","00:03:17,129",speaker_2,அக்கடே ஆகண்டே.,அக்கடே ஆகண்டே.
24,"00:03:18,580","00:03:19,639",speaker_2,கதில் தே call చేస్తా.,கதில் தே call chesthaa.
25,"00:03:19,960","00:03:21,629",speaker_0,Shoot செய்யக் கண்டி Sir. మేము நேரஸ்துலம்,Shoot செய்யக் கண்டி Sir. memu நேரஸ்துலம்
26,"00:03:21,900","00:03:22,139",speaker_0,காம்.,காம்.
27,"00:03:22,620","00:03:24,329",speaker_0,வேகமா வேகமா முட்டி போடுங்கோ. முட்டி போடுங்கோ.,வேகமா வேகமா முட்டி போடுங்கோ. முட்டி போடுங்கோ.
28,"00:03:24,659","00:03:25,150",speaker_0,கை தூக்குங்கோ.,கை தூக்குங்கோ.
29,"00:03:30,199","00:03:30,699",speaker_2,எவர் மீரா?,எவர் மீரா?
30,"00:03:31,159","00:03:32,329",speaker_0,Sir sir. మేము நேரஸ்துலம்,Sir sir. memu நேரஸ்துலம்
31,"00:03:32,539","00:03:33,849",speaker_0,காம். மம்மளி shoot செய்யக் கண்டி.,காம். மம்மளி shoot செய்யக் கண்டி.
32,"00:03:33,900","00:03:34,250",speaker_2,ஏய்.,ஏய்.
33,"00:03:34,580","00:03:35,659",speaker_2,எவர் மீரான்னு அడిగాனு.,எவர் மீரான்னு அdigaaனு.
34,"00:03:36,219","00:03:36,909",speaker_0,நான் தர்மதாஸ்.,நான் தர்மதாஸ்.
35,"00:03:37,500","00:03:38,289",speaker_0,இது என்ட குடும்பம்.,இது என்ட குடும்பம்.
36,"00:03:39,060","00:03:40,189",speaker_0,మేము இலங்கைல இருந்து வஸ்துனம்.,memu இலங்கைல இருந்து வஸ்துனம்.
37,"00:03:40,479","00:03:40,829",speaker_2,ஆ.,ஆ.
38,"00:03:42,099","00:03:42,460",speaker_2,ம்.,ம்.
39,"00:03:43,400","00:03:43,949",speaker_2,எதுக்கு வச்சரு?,எதுக்கு வச்சரு?
40,"00:03:44,479","00:03:44,829",speaker_0,காவாலனே,காவாலனே
41,"00:03:45,039","00:03:45,659",speaker_0,ராலெது Sir.,ராலெது Sir.
42,"00:03:45,900","00:03:47,360",speaker_2,காவாலன்னு ராலெது அண்டே எலா வச்சரு?,காவாலன்னு ராலெது அண்டே எலா வச்சரு?
43,"00:03:47,580","00:03:48,969",speaker_1,தாரி தப்பு வச்சாம் Sir.,தாரி தப்பு வச்சாம் Sir.
