index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:10,240","00:00:10,589",speaker_0,భూదేవిపురం,bhoodhevipuram
2,"00:00:10,800","00:00:12,049",speaker_0,లోకి మీరు ఎంటర్ అయ్యే ముందు ఒక చిన్నమాట.,loki meeru enter ayye mundhu oka chinnamaata.
3,"00:00:12,740","00:00:13,810",speaker_0,"మందు, సిగరెట్లు తాగకండి.","mandhu, sigaretlu thaagakandi."
4,"00:00:14,769","00:00:15,429",speaker_0,ఆరోగ్యానికి మంచిది,aarogyaaniki manchidhi
5,"00:00:15,480","00:00:15,720",speaker_0,కాదు.,kaadhu.
6,"00:01:24,900","00:01:27,120",speaker_1,అన్నయ్యా వద్దన్నయ్యా! వాటాలు పంచుకుందాం అనుకున్నాం కదా అన్నయ్యా.,annayyaa vadhdhannayyaa! vaataalu panchukundhaam anukunnaam kadhaa annayyaa.
7,"00:01:27,959","00:01:28,829",speaker_0,నీకో పది గజాలు పడేస్తాను.,neeko padhi gajaalu padesthaanu.
8,"00:01:29,159","00:01:29,500",speaker_0,మాట్లాడకు.,maatlaadaku.
9,"00:01:30,040","00:01:30,260",speaker_0,లైట్ ఏయ్.,light yey.
10,"00:01:32,180","00:01:33,140",speaker_1,గెల మీద చెయ్యి వేయొద్దంటాడా.,gala meedha cheyyi veyodhdhantaadaa.
11,"00:01:33,340","00:01:35,229",speaker_2,అన్నయ్యా వద్దన్నయ్యా. అన్నయ్య నన్ను పిలిస్తే గొడవలైపోతాయి,annayyaa vadhdhannayyaa. annayya nannu pilisthe godavalaipothaayi
12,"00:01:35,480","00:01:35,719",speaker_2,అన్నయ్యా.,annayyaa.
13,"00:01:35,900","00:01:37,850",speaker_0,అమ్మ బతికుంటే ఈ తోట నా పేరు మీదే రాసేది.,amma bathikunte ee thota naa peru meade raasedhi.
14,"00:01:37,900","00:01:38,509",speaker_2,అన్నయ్యా వద్దన్నయ్యా.,annayyaa vadhdhannayyaa.
15,"00:01:38,799","00:01:39,149",speaker_2,చెప్పానా,cheppaanaa
16,"00:01:39,359","00:01:40,129",speaker_2,మీ అన్నయ్య వస్తాడని.,mee annayya vasthaadani.
17,"00:01:41,579","00:01:41,920",speaker_2,అన్నయ్యా!,annayyaa!
18,"00:01:43,019","00:01:45,259",speaker_0,అన్నే పంచాయితీలు నడిపించేంత పెద్ద మగాడు అయిపోయాడు.,anne panchaayitheelu nadipinchentha pedhdha magaadu ayipoyaadu.
19,"00:01:45,549","00:01:46,429",speaker_2,అన్నయ్యా నా మాట వినన్నయ్యా.,annayyaa naa maata vinannayyaa.
20,"00:01:46,819","00:01:47,169",speaker_2,వద్దన్నయ్యా.,vadhdhannayyaa.
