index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,పూర్తి,poorthi
2,"00:01:22,140","00:01:22,480",speaker_0,దేవి.,dhevi.
3,"00:01:24,430","00:01:25,280",speaker_0,"అంతులేని బంగారము,","anthuleni bangaaramu,"
4,"00:01:25,420","00:01:26,469",speaker_0,ధాన్యము ఉన్న ఆవిడ.,dhaanyamu unna aavida.
5,"00:01:28,599","00:01:29,140",speaker_0,ఈ భూమి,ee bhoomi
6,"00:01:31,060","00:01:31,689",speaker_0,ఆవిడ కడుపులోంచి,aavida kadupulonchi
7,"00:01:31,879","00:01:32,229",speaker_0,వచ్చినదే.,vachhinadhe.
8,"00:01:34,019","00:01:34,509",speaker_0,ఈ బ్రహ్మాండం,ee brahmaandam
9,"00:01:34,719","00:01:35,069",speaker_0,ఆవిర్భవించినప్పుడు,aavirbhavinchinappudu
10,"00:01:36,019","00:01:36,750",speaker_0,ఈ దేవి కడుపులోంచే,ee dhevi kadupulonche
11,"00:01:37,319","00:01:38,629",speaker_0,పదహారు కోట్ల మంది దేవతలొచ్చారు.,padhahaaru kotla mandhi dhevathalochhaaru.
12,"00:01:40,390","00:01:40,939",speaker_0,అందరికంటే తన,andharikante thana
13,"00:01:41,000","00:01:41,669",speaker_0,మొదటి సంతానాన్నే,modhati santhaanaanne
14,"00:01:41,920","00:01:42,949",speaker_0,దేవి ఎక్కువగా ప్రేమించింది.,dhevi yekkuvagaa preminchindhi.
15,"00:01:44,620","00:01:45,229",speaker_0,అతని పేరే,athani pere
16,"00:01:45,480","00:01:45,829",speaker_0,హస్తర్.,hasthar.
17,"00:01:47,700","00:01:48,549",speaker_0,మీరు ఎన్ని గ్రంథాల్లో,meeru yenni granthaallo
18,"00:01:48,680","00:01:49,030",speaker_0,వెతికినా,vethikinaa
19,"00:01:50,180","00:01:51,409",speaker_0,ఈ పేరు మీకు ఎక్కడా కనిపించదు.,ee peru meeku yekkadaa kanipinchadhu.
20,"00:01:52,700","00:01:53,319",speaker_1,ఎందుకండీ నాన్నా?,yendhukandee naannaa?
21,"00:01:54,480","00:01:56,409",speaker_0,"ఎందుకంటే తను దేవి యొక్క బంగారాన్ని, ధాన్యాన్ని","yendhukante thanu dhevi yokka bangaaraanni, dhaanyaanni"
22,"00:01:56,739","00:01:57,609",speaker_0,తన సొంతం చేసుకోవాలనుకున్నాడు.,thana sontham chesukovaalanukunnaadu.
23,"00:01:59,620","00:02:01,629",speaker_0,బంగారం మొత్తాన్ని ఎలాగో అలా సొంతం చేసుకున్నాడు.,bangaaram moththaanni yelaago alaa sontham chesukunnaadu.
24,"00:02:02,159","00:02:03,569",speaker_0,ఈ ధాన్యాన్ని స్వాధీనం చేసుకోవాలనుకున్నప్పుడు,ee dhaanyaanni svaadheenam chesukovaalanukunnappudu
25,"00:02:04,519","00:02:05,169",speaker_0,మిగతా దేవతలందరూ,migathaa dhevathalandharoo
26,"00:02:05,500","00:02:06,579",speaker_0,కలిసి తనమీద దాడి చేశారు.,kalisi thanameedha dhaadi cheshaaru.
27,"00:02:08,240","00:02:09,669",speaker_0,కొంచెం కొంచెంగా తను ఈ బ్రహ్మాండంలో,konchem konchengaa thanu ee brahmaandamlo
28,"00:02:09,979","00:02:10,329",speaker_0,కలిసిపోవడం,kalisipovadam
29,"00:02:10,538","00:02:10,888",speaker_0,మొదలుపెట్టాడు.,modhalupettaadu.
30,"00:02:11,759","00:02:12,349",speaker_0,తన అంతమయ్యి,thana anthamayyi
31,"00:02:12,560","00:02:12,909",speaker_0,బ్రహ్మాండంలో,brahmaandamlo
32,"00:02:13,219","00:02:13,989",speaker_0,పూర్తిగా కలిసిపోవడానికి,poorthigaa kalisipovadaaniki
33,"00:02:14,340","00:02:14,739",speaker_0,ముందే,mundhe
34,"00:02:15,680","00:02:16,729",speaker_0,ఆ దేవి తనని కాపాడింది.,aa dhevi thanani kaapaadindhi.
35,"00:02:18,979","00:02:20,810",speaker_0,తనని కాపాడే ముందు ఒక నిబంధన విధించింది.,thanani kaapaade mundhu oka nibandhana vidhinchindhi.
36,"00:02:21,340","00:02:22,930",speaker_0,"ఇకపై హస్తర్ ని ఎవరూ కొలవరు,","ikapai hasthar ni yevaroo kolavaru,"
37,"00:02:23,400","00:02:24,549",speaker_0,అందరూ తన పేరుని మర్చిపోతారని,andharoo thana peruni marchipothaarani
38,"00:02:24,939","00:02:25,379",speaker_0,చెప్పింది.,cheppindhi.
39,"00:02:27,960","00:02:28,949",speaker_0,ఎన్నో యుగాలు గడిచిపోయాయి.,yenno yugaalu gadichipoyaayi.
40,"00:02:29,900","00:02:31,389",speaker_0,హస్తర్ ఆ దేవి కడుపులోనే నిద్రపోతున్నాడు.,hasthar aa dhevi kadupulone nidhrapothunnaadu.
41,"00:02:33,349","00:02:33,840",speaker_0,అలాంటప్పుడు మన,alaantappudu mana
42,"00:02:33,960","00:02:34,949",speaker_0,పూర్వీకులకు వాడు గుర్తొచ్చాడు.,poorveekulaku vaadu gurthochhaadu.
43,"00:02:36,219","00:02:37,949",speaker_0,హస్తర్ పేరు మీద ఒక గుడిని నిర్మించారు.,hasthar peru meedha oka gudini nirminchaaru.
44,"00:02:41,620","00:02:45,080",speaker_0,ఆనాడు నుంచే దేవతల ఆగ్రహ వర్షం తుంబాడు మీద కురుస్తూనే ఉంది.,aanaadu nunche dhevathala aagraha varsham thumbaadu meedha kurusthoone undhi.
45,"00:02:46,020","00:02:47,759",speaker_1,కానీ మనం ఎందుకు హస్తర్ ని లేపాలి?,kaanee manam yendhuku hasthar ni lepaali?
