index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:01,260","00:00:01,770",speaker_0,తరం మారుతుంది,tharam maaruthundhi
2,"00:00:02,439","00:00:03,270",speaker_0,ఆడపిల్ల ఎదుగుతుంది.,aadapilla yedhuguthundhi.
3,"00:00:03,940","00:00:05,569",speaker_0,ఇంట్లో వంట చేసే స్థాయి నుండి,intlo vanta chese sthaayi nundi
4,"00:00:05,940","00:00:08,220",speaker_0,సబాష్ అని సెల్యూట్ చేయించుకునే స్థాయికి ఎదిగింది.,sabaash ani salute cheyinchukune sthaayiki yedhigindhi.
5,"00:00:08,500","00:00:10,429",speaker_0,అయినా మగాడి రూపంలో ఉన్న కొంతమంది,ayinaa magaadi roopamlo unna konthamandhi
6,"00:00:10,599","00:00:12,490",speaker_0,మృగాల వేటలో మాత్రం విగతజీవి,mrugaala vetalo maathram vigathajeevi
7,"00:00:12,759","00:00:13,349",speaker_0,గానే మిగిలిపోతుంది.,gaane migilipothundhi.
8,"00:00:14,199","00:00:14,549",speaker_0,అందుకే,andhuke
9,"00:00:14,900","00:00:15,769",speaker_0,ఆడపిల్లని కాపాడుకొని,aadapillani kaapaadukoni
10,"00:00:16,039","00:00:16,750",speaker_0,అమ్మని రక్షించుకుందాం.,ammani rakshinchukundhaam.
11,"00:00:18,129","00:00:18,760",speaker_0,గుర్తుంచుకోండి. వాళ్ళ,gurthunchukondi. vaalla
12,"00:00:18,859","00:00:19,210",speaker_0,భద్రత,bhadhratha
13,"00:00:19,800","00:00:20,410",speaker_0,మన బాధ్యత.,mana baadhyatha.
14,"00:02:38,340","00:02:39,049",speaker_0,ఏయ్ మన,yey mana
15,"00:02:39,120","00:02:40,650",speaker_0,ఊరి పిల్లల మీద చేదబడి చేస్తున్న వీళ్ళని,oori pillala meedha chedhabadi chesthunna veellani
16,"00:02:40,769","00:02:42,090",speaker_0,ఊర్లో కూర్చోరా. చుట్టుముట్టండి.,oorlo koorchoraa. chuttumuttandi.
17,"00:03:03,230","00:03:03,900",speaker_0,ఊళ్లో పిల్లలు,oollo pillalu
18,"00:03:04,020","00:03:04,810",speaker_0,చావుకు కారణమైన,chaavuku kaaranamaina
19,"00:03:05,000","00:03:05,769",speaker_0,ఈళ్ళు బతకడానికి,eellu bathakadaaniki
20,"00:03:06,009","00:03:06,379",speaker_0,ఈళ్ళు ఎదరా.,eellu yedharaa.
21,"00:03:07,219","00:03:07,569",speaker_0,చంపేయండి.,champeyandi.
22,"00:03:12,509","00:03:12,859",speaker_0,చంపేయండిరా ఈళ్ళని బతకడానికి ఈళ్ళు ఎదరా.,champeyandiraa eellani bathakadaaniki eellu yedharaa.
23,"00:03:20,860","00:03:21,560",speaker_0,ఏయ్ ఇక్కడ,yey ikkada
24,"00:03:21,840","00:03:22,189",speaker_0,ఈడ్చుకోండి.,eedchukondi.
25,"00:03:25,789","00:03:26,299",speaker_0,అన్యాయానికి మళ్ళీ,anyaayaaniki mallee
26,"00:03:26,349","00:03:26,989",speaker_0,బలం సీతార,balm seethaara
