index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,260","00:00:07,469",speaker_0,ఏ దిక్కుకు తిరిగినా నువ్వు దిక్కుమాలిన సిగరెట్ కాల్చినా దిక్కు,ye dhikkuku thiriginaa nuvvu dhikkumaalina cigarette kaalchinaa dhikku
2,"00:00:07,519","00:00:10,389",speaker_0,లేకుండా పోతావు. Smoking and consumption of alcohol in any directions,lekundaa pothaavu. Smoking and consumption of alcohol in any directions
3,"00:00:10,439","00:00:12,300",speaker_0,is injurious to health and it causes cancer.,is injurious to health and it causes cancer.
4,"00:02:16,810","00:02:17,500",speaker_1,ఆగురా పాపం,aaguraa paapam
5,"00:02:20,860","00:02:21,519",speaker_2,ఏవండీ మనీషా,yevandee maneeshaa
6,"00:02:22,759","00:02:23,669",speaker_1,నేను మాట్లాడి తీసుకొస్తాను,nenu maatlaadi theesukosthaanu
7,"00:02:23,900","00:02:24,620",speaker_1,మీరు ఇక్కడే ఆగండి,meeru ikkade aagandi
8,"00:02:25,919","00:02:26,019",speaker_2,ఊ,oo
9,"00:02:25,939","00:02:26,409",speaker_1,మా మనీషా,maa maneeshaa
10,"00:02:39,110","00:02:39,800",speaker_2,ఏమన్నారు నాన్న?,yemannaaru naanna?
11,"00:02:40,460","00:02:40,900",speaker_1,ఏమంటారు?,yemantaaru?
12,"00:02:42,240","00:02:42,810",speaker_1,ఎప్పుడూ ఉండేదేగా,yeppudoo undedhegaa
13,"00:02:43,620","00:02:44,370",speaker_1,కుదరదు పొమ్మన్నారు,kudharadhu pommannaaru
14,"00:02:46,539","00:02:47,120",speaker_2,పోనిలే నాన్న,ponile naanna
15,"00:02:47,680","00:02:48,689",speaker_2,ఇంకో సంబంధం చూసుకుందాం.,inko sambandham choosukundhaam.
16,"00:02:48,879","00:02:49,229",speaker_1,ఇంకేం,inkem
17,"00:02:49,419","00:02:51,829",speaker_1,చూస్తున్నాం మనీషా? నీ గురించి చాలా bad గా మాట్లాడుకుంటున్నారమ్మా,choosthunnaam maneeshaa? nee gurinchi chaalaa bad gaa maatlaadukuntunnaarammaa
18,"00:02:52,300","00:02:52,520",speaker_1,బయట,bayata
19,"00:02:52,620","00:02:53,650",speaker_2,అందులో నా తప్పేముంది,andhulo naa thappemundhi
20,"00:02:53,840","00:02:54,039",speaker_2,నాన్న?,naanna?
21,"00:02:54,180","00:02:57,519",speaker_1,ఏది తప్పో ఏది right ఓ judge చేసే జనాలు లేరమ్మా ఇక్కడ.,yedhi thappo yedhi right o judge chese janaalu lerammaa ikkada.
22,"00:02:59,699","00:03:01,329",speaker_1,అసలు ఏ తండ్రికి ఈ పరిస్థితి రాకూడదు.,asalu ye thandriki ee paristhithi raakoodadhu.
23,"00:03:03,900","00:03:05,379",speaker_1,పోయిన జన్మలో ఏం పాపం చేశాను?,poyina janmalo yem paapam cheshaanu?
24,"00:03:11,240","00:03:11,340",speaker_1,ఆ,aa
25,"00:03:12,710","00:03:13,369",speaker_1,అందరూ ఎదురు,andharoo yedhuru
26,"00:03:13,419","00:03:13,769",speaker_1,చూస్తున్నారు.,choosthunnaaru.
27,"00:03:14,259","00:03:15,349",speaker_1,పదమ్మా ఇంటికెళ్ళి మాట్లాడదాం.,padhammaa intikelli maatlaadadhaam.
28,"00:03:15,560","00:03:16,099",speaker_2,రా అమ్మ.,raa amma.
29,"00:03:18,360","00:03:19,879",speaker_2,మీరు వెళ్ళండి నాన్న నేను తర్వాత వస్తాను.,meeru vellandi naanna nenu tharvaatha vasthaanu.
30,"00:03:20,120","00:03:20,469",speaker_1,మనీషా!,maneeshaa!
31,"00:03:21,520","00:03:22,449",speaker_1,మాకు ఇంకా ప్రతిమలాడే,maaku inkaa prathimalaade
32,"00:03:22,759","00:03:23,969",speaker_1,అంత ఓపిక లేదమ్మా.,antha opika ledhammaa.
33,"00:03:24,280","00:03:25,090",speaker_2,నేను మిమ్మల్ని ప్రతిమలాడమని,nenu mimmalni prathimalaadamani
34,"00:03:25,400","00:03:26,199",speaker_2,అడగటం లేదు నాన్న.,adagatam ledhu naanna.
35,"00:03:48,259","00:03:48,969",speaker_3,figure చూసావారా?,figure choosaavaaraa?
