index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:39,060","00:01:39,879",speaker_1,మ్ చెప్పు.,m cheppu.
2,"00:01:39,939","00:01:42,069",speaker_0,"రేయ్ Eleven o' clock, Rose tree, Banjara Hills.","rey Eleven o' clock, Rose tree, Banjara Hills."
3,"00:01:43,959","00:01:46,239",speaker_1,ఎందుకే ఇంత పొద్దు పొద్దున్నే లేపి torture పెడుతున్నావ్?,yendhuke intha podhdhu podhdhunne lepi torture peduthunnaav?
4,"00:01:46,359","00:01:47,349",speaker_0,రేయ్! నీకు దిత్తర్లోనే,rey! neeku dhiththarlone
5,"00:01:47,540","00:01:47,890",speaker_0,వయసైపోయేలా,vayasaipoyelaa
6,"00:01:48,060","00:01:50,109",speaker_0,ఉందిరా. ఇలా అయితే పెళ్లి కూడా కల్లోనే చేసుకోవాలి.,undhiraa. ilaa ayithe pelli koodaa kallone chesukovaali.
7,"00:01:51,280","00:01:51,519",speaker_1,"సరే,","sare,"
8,"00:01:52,129","00:01:54,530",speaker_1,నువ్వు తన Instagram profile పంపు. నేను చూసి చెప్తా.,nuvvu thana Instagram profile pampu. nenu choosi chepthaa.
9,"00:01:54,579","00:01:54,989",speaker_0,నువ్ ఇప్పటివరకు,nuv ippativaraku
10,"00:01:55,219","00:01:56,250",speaker_0,ఏం చూసావో నేను చూశానులే.,yem choosaavo nenu chooshaanule.
11,"00:01:56,819","00:01:59,009",speaker_0,నేను ఆ అమ్మాయిని direct గా చూశాను. చాలా బావుంది.,nenu aa ammaayini direct gaa chooshaanu. chaalaa baavundhi.
12,"00:01:59,159","00:01:59,890",speaker_0,ఇంకేం మాట్లాడకుండా,inkem maatlaadakundaa
13,"00:02:00,040","00:02:00,390",speaker_0,వెళ్ళి కలువు.,velli kaluvu.
14,"00:02:01,079","00:02:03,019",speaker_1,ముక్కు మొహం తెలియని అమ్మాయిని ఎలా కలుస్తాను చెప్పు?,mukku moham theliyani ammaayini yelaa kalusthaanu cheppu?
15,"00:02:03,099","00:02:04,369",speaker_0,మరి dating apps లో ఉన్న వాళ్ళందర్నీ,mari dating apps lo unna vaallandharnee
16,"00:02:04,640","00:02:05,489",speaker_0,తెలిసిన వాళ్ళను చూస్తున్నావా?,thelisina vaallanu choosthunnaavaa?
17,"00:02:05,859","00:02:06,489",speaker_0,అత్తె చేయకురా!,aththe cheyakuraa!
18,"00:02:06,920","00:02:08,520",speaker_0,"నీకు మళ్ళీ చెప్తున్నా Eleven o' clock, Rose tree,","neeku mallee chepthunnaa Eleven o' clock, Rose tree,"
19,"00:02:08,620","00:02:09,479",speaker_0,Banjara Hills. Bye bye bye.,Banjara Hills. Bye bye bye.
20,"00:02:09,599","00:02:10,750",speaker_1,ఏ ఏ ఒకసారి చెప్పేది.,ye ye okasaari cheppedhi.
21,"00:03:04,849","00:03:05,569",speaker_0,రేయ్! ఈరోజు,rey! eeroju
22,"00:03:05,620","00:03:06,430",speaker_0,కూడా అదే blue shirt ఆ?,koodaa adhe blue shirt aa?
23,"00:03:06,919","00:03:07,659",speaker_1,వేరే shirt వేసుకువెళ్తే,vere shirt vesukuvelthe
24,"00:03:08,099","00:03:08,449",speaker_1,నచ్చేస్తానా?,nachhesthaanaa?
25,"00:03:09,759","00:03:10,870",speaker_0,కొంచెం నవ్వు ముఖం పెట్టుకోవచ్చుగా.,konchem navvu mukham pettukovachhugaa.
26,"00:03:11,120","00:03:12,689",speaker_0,ఎప్పుడు చూసినా ఉమ్మ్ అని కొండముచ్చీలాగా.,yeppudu choosinaa umm ani kondamuchheelaagaa.
27,"00:03:13,280","00:03:14,069",speaker_1,ఏయ్ ఇప్పుడేంటి,yey ippudenti
28,"00:03:14,400","00:03:15,129",speaker_1,వెళ్ళమన్నా వెళ్తున్నాగా.,vellamannaa velthunnaagaa.
29,"00:03:15,960","00:03:18,329",speaker_1,సరే ఆ అమ్మాయి photo అయినా పెట్టు. అక్కడికెళ్లి బెబ్బే అంటే మూగోడు,sare aa ammaayi photo ayinaa pettu. akkadikelli bebbe ante moogodu
30,"00:03:18,379","00:03:18,729",speaker_1,అనుకుంటది.,anukuntadhi.
31,"00:03:19,039","00:03:20,009",speaker_0,Photo పెట్టడం కుదరదు.,Photo pettadam kudharadhu.
32,"00:03:20,500","00:03:20,849",speaker_0,నువ్వెళ్లి,nuvvelli
33,"00:03:21,139","00:03:21,759",speaker_0,direct గా కలువు.,direct gaa kaluvu.
34,"00:03:22,020","00:03:23,319",speaker_1,ఏయ్ at least పేరైనా చెప్పవే.,yey at least perainaa cheppave.
35,"00:03:23,969","00:03:24,310",speaker_0,రేయ్ రేయ్,rey rey
36,"00:03:24,360","00:03:25,869",speaker_0,నాకు time అయిపోతుంది. నేను మళ్ళీ call చేస్తా.,naaku time ayipothundhi. nenu mallee call chesthaa.
37,"00:03:25,919","00:03:26,710",speaker_0,నువ్వెళ్లి బాగా మాట్లాడు.,nuvvelli baagaa maatlaadu.
38,"00:03:52,219","00:03:52,900",speaker_1,అన్నా payment నేను.,annaa payment nenu.
39,"00:04:10,960","00:04:11,629",speaker_1,ఏదో స్వయంవరం,yedho svayamvaram
40,"00:04:11,750","00:04:12,099",speaker_1,కూర్చున్నట్టు,koorchunnattu
41,"00:04:12,310","00:04:12,829",speaker_1,ఇంతమంది ఉన్నారేంటి?,inthamandhi unnaarenti?
42,"00:04:14,360","00:04:15,229",speaker_1,ఉమ్ నమస్కారం!,um namaskaaram!
43,"00:04:17,319","00:04:17,600",speaker_1,Hello!,Hello!
44,"00:04:18,600","00:04:19,290",speaker_1,అలా చూస్తారేంటే?,alaa choosthaarente?
45,"00:04:19,860","00:04:20,899",speaker_1,నాకు సిగ్గుతో shake అయిపోతుంటే.,naaku siggutho shake ayipothunte.
46,"00:04:21,959","00:04:23,240",speaker_1,కొప్ప తీసింది ముగ్గురికీ చెప్పలేదు కదా.,koppa theesindhi muggurikee cheppaledhu kadhaa.
47,"00:04:23,660","00:04:25,550",speaker_1,అక్కా పెట్టావే పెద్ద బొక్క.,akkaa pettaave pedhdha bokka.
48,"00:04:26,860","00:04:27,740",speaker_1,ఏయ్ phone ఎత్తు phone ఎత్తు.,yey phone yeththu phone yeththu.
49,"00:04:28,699","00:04:29,050",speaker_1,ఎత్తరే.,yeththare.
50,"00:04:32,079","00:04:32,990",speaker_1,phone పెట్టుకో. ఛీ ఛీ.,phone pettuko. chee chee.
51,"00:04:40,719","00:04:41,289",speaker_1,ఎవరైతే నన్నే,yevaraithe nanne
52,"00:04:41,339","00:04:41,689",speaker_1,చూస్తారో,choosthaaro
53,"00:04:42,100","00:04:42,450",speaker_1,తనే.,thane.
54,"00:04:44,399","00:04:44,800",speaker_1,దీనే.,dheene.
55,"00:04:45,660","00:04:45,939",speaker_1,Hi!,Hi!
56,"00:04:48,060","00:04:48,439",speaker_1,సత్య.,sathya.
57,"00:04:49,220","00:04:50,000",speaker_0,"Hi, I'm Vinod నా.","Hi, I'm Vinod naa."
58,"00:04:50,560","00:04:50,839",speaker_0,Sit.,Sit.
59,"00:04:54,500","00:04:55,010",speaker_0,ఏం తీసుకుంటారు?,yem theesukuntaaru?
60,"00:04:56,100","00:04:56,450",speaker_1,ఆ...,aa...
61,"00:04:57,420","00:04:58,720",speaker_0,ఆ ఇంకొక Americano చెప్పనా?,aa inkoka Americano cheppanaa?
62,"00:04:59,920","00:05:00,180",speaker_1,ఊహూ,oohoo
63,"00:05:01,519","00:05:01,759",speaker_0,Yeah?,Yeah?
64,"00:05:02,240","00:05:03,120",speaker_0,"Okay, one more.","Okay, one more."
65,"00:05:03,560","00:05:03,910",speaker_1,Okay.,Okay.
66,"00:05:06,120","00:05:06,220",speaker_1,One minute.,One minute.
67,"00:05:08,459","00:05:09,279",speaker_1,Ma'am your order.,Ma'am your order.
68,"00:05:10,000","00:05:10,710",speaker_0,ఊఁ తీసుకోండి.,ooఁ theesukondi.
69,"00:05:11,180","00:05:11,530",speaker_1,ఆహా,aahaa
70,"00:05:13,829","00:05:14,629",speaker_1,ఛీ Americano,chee Americano
71,"00:05:14,680","00:05:15,560",speaker_1,అంటే black coffee ఆ?,ante black coffee aa?
72,"00:05:16,920","00:05:19,279",speaker_0,నేను sugar use చేయడం మానేసి చాలా use అవుతుంది తెలుసా?,nenu sugar use cheyadam maanesi chaalaa use avuthundhi thelusaa?
73,"00:05:19,699","00:05:21,420",speaker_0,It's actually not good for your health you know.,It's actually not good for your health you know.
74,"00:05:22,480","00:05:22,830",speaker_1,Gorgeous.,Gorgeous.
75,"00:05:24,699","00:05:25,050",speaker_1,వద్దులే.,vadhdhule.
76,"00:05:26,029","00:05:26,759",speaker_0,అయ్యో! మిమ్మల్ని,ayyo! mimmalni
77,"00:05:26,819","00:05:27,650",speaker_0,use చేయొద్దని చెప్పలేదు.,use cheyodhdhani cheppaledhu.
78,"00:05:27,860","00:05:28,870",speaker_0,మీకు కావాలంటే మీరు వేసుకోండి.,meeku kaavaalante meeru vesukondi.
79,"00:05:28,920","00:05:30,629",speaker_1,అలా కాదు. నిన్నే మంతెన్ గారు మంచిది కాదన్నారు.,alaa kaadhu. ninne manthen gaaru manchidhi kaadhannaaru.
80,"00:05:30,800","00:05:31,490",speaker_1,నేను కూడా మానేశానండి.,nenu koodaa maaneshaanandi.
81,"00:05:40,980","00:05:42,339",speaker_0,సత్య this is Vinit.,sathya this is Vinit.
82,"00:05:42,879","00:05:44,019",speaker_1,"ఓ Hi Vinit, I'm Sathya.","o Hi Vinit, I'm Sathya."
83,"00:05:45,259","00:05:45,779",speaker_1,చెయ్యి ఇవ్వరా.,cheyyi ivvaraa.
84,"00:05:47,240","00:05:47,990",speaker_1,ఈనవ్వరూ మీ brother ఆ?,eenavvaroo mee brother aa?
85,"00:05:48,959","00:05:50,189",speaker_0,"He is Vinit, my boyfriend.","He is Vinit, my boyfriend."
86,"00:05:50,420","00:05:51,070",speaker_1,ఓ boyf-b-boyfriend,o boyf-b-boyfriend
87,"00:05:51,839","00:05:51,939",speaker_1,ఆ?,aa?
88,"00:05:53,600","00:05:54,830",speaker_0,See we are in a relationship.,See we are in a relationship.
89,"00:05:55,180","00:05:57,959",speaker_0,"ఇంట్లో చెప్తే వేరే కులా, మట్టి మజానం అని సావా గుడుతున్నారు.","intlo chepthe vere kulaa, matti majaanam ani saavaa guduthunnaaru."
90,"00:05:58,259","00:05:59,910",speaker_0,ఇప్పుడు కూడా ఎంత చెప్పినా వినట్లేదని,ippudu koodaa yentha cheppinaa vinatledhani
91,"00:06:00,079","00:06:01,030",speaker_0,force చేసి నన్ను పంపించారు.,force chesi nannu pampinchaaru.
92,"00:06:01,439","00:06:03,160",speaker_0,In fact నేను మీ photo కూడా చూడలేదు తెలుసా?,In fact nenu mee photo koodaa choodaledhu thelusaa?
93,"00:06:03,699","00:06:05,530",speaker_0,బాబు blue shirt వేసుకొని వచ్చి hi చెప్తాడన్నారు.,baabu blue shirt vesukoni vachhi hi chepthaadannaaru.
94,"00:06:06,324","00:06:07,754",speaker_2,Blue shirt వేసుకొని వస్తే నచ్చేస్తారా?,Blue shirt vesukoni vasthe nachhesthaaraa?
95,"00:06:08,363","00:06:08,483",speaker_2,హా?,haa?
96,"00:06:08,803","00:06:08,944",speaker_1,హా?,haa?
97,"00:06:09,483","00:06:10,394",speaker_2,హ్మ్ అందుకే,hma్ andhuke
98,"00:06:10,644","00:06:12,414",speaker_2,నేరుగా నీకే పరిచయం చేద్దామని తీసుకొచ్చా.,nerugaa neeke parichayam chedhdhaamani theesukochhaa.
99,"00:06:15,903","00:06:16,514",speaker_2,See సత్యా,See sathyaa
100,"00:06:16,944","00:06:17,524",speaker_2,you look good.,you look good.
101,"00:06:18,024","00:06:19,644",speaker_2,నీకు ఎవరో ఒక అమ్మాయి set అవుతుందిలే.,neeku yevaro oka ammaayi set avuthundhile.
102,"00:06:21,283","00:06:22,502",speaker_2,Sorry if it's a bit offensive,Sorry if it's a bit offensive
103,"00:06:23,024","00:06:24,163",speaker_2,I don't really have a choice.,I don't really have a choice.
104,"00:06:25,064","00:06:25,624",speaker_1,Sorry brother,Sorry brother
105,"00:06:27,603","00:06:28,283",speaker_1,I can understand.,I can understand.
106,"00:06:28,903","00:06:29,734",speaker_3,నీ పొంగు understand.,nee pongu understand.
107,"00:06:30,824","00:06:31,713",speaker_2,Sorry once again.,Sorry once again.
108,"00:06:47,763","00:06:48,753",speaker_3,ఈసారి చెడగొట్టావా,eesaari chedagottaavaa
109,"00:06:48,803","00:06:49,153",speaker_3,చంపేస్తా,champesthaa
110,"00:06:49,783","00:06:50,223",speaker_3,తోక్కలే.,thokkale.
111,"00:07:20,983","00:07:22,653",speaker_1,"Sorry, sorry అండి smoking kills.","Sorry, sorry andi smoking kills."
112,"00:07:25,423","00:07:26,204",speaker_1,Sorry అండి sorry.,Sorry andi sorry.
113,"00:07:28,584","00:07:28,934",speaker_2,సత్యా,sathyaa
114,"00:07:29,803","00:07:29,983",speaker_1,ఆహ్,aah
115,"00:07:31,283","00:07:31,634",speaker_1,మీరు,meeru
116,"00:07:32,644","00:07:32,994",speaker_2,సరిపోయింది.,saripoyindhi.
117,"00:07:33,684","00:07:35,034",speaker_2,నా కోసం వచ్చి ఎవరో అని అడుగుతారేంటి?,naa kosam vachhi yevaro ani aduguthaarenti?
118,"00:07:35,603","00:07:38,313",speaker_2,"మీ అక్క చాలా మంచి అబ్బాయి, నిన్ను కన్నెత్తి కూడా చూడడు అని certificate","mee akka chaalaa manchi abbaayi, ninnu kanneththi koodaa choodadu ani certificate"
119,"00:07:38,363","00:07:39,213",speaker_2,ఇస్తుంది. ఇక్కడేమో,isthundhi. ikkademo
120,"00:07:39,363","00:07:40,234",speaker_2,దమ్ము కొట్టి పొగరుతున్నారు.,dhammu kotti pogaruthunnaaru.
121,"00:07:40,983","00:07:41,474",speaker_2,ఏం నడుస్తుంది?,yem nadusthundhi?
122,"00:07:46,843","00:07:47,723",speaker_1,అక్క చెప్పిన అమ్మాయి మీరేనా?,akka cheppina ammaayi meerenaa?
123,"00:07:48,463","00:07:50,303",speaker_2,Yeah! ఆమె ఇచ్చిన photo లోనే ఇలా లేనా?,Yeah! aame ichhina photo lone ilaa lena?
124,"00:08:06,824","00:08:07,923",speaker_2,అతను తన boyfriend ఆ?,athanu thana boyfriend aa?
125,"00:08:09,843","00:08:10,524",speaker_2,ఒక నిమిషం,oka nimisham
126,"00:08:11,543","00:08:12,114",speaker_2,నేను లోపలికెళ్ళి,nenu lopalikelli
127,"00:08:12,283","00:08:12,634",speaker_2,నవ్వుకోస్తాను.,navvukosthaanu.
128,"00:08:12,803","00:08:12,903",speaker_1,Okay.,Okay.
129,"00:08:12,894","00:08:13,843",speaker_2,వద్దు coffee please.,vadhdhu coffee please.
130,"00:08:19,613","00:08:20,293",speaker_1,ఊరిని blue,oorini blue
131,"00:08:20,343","00:08:20,783",speaker_1,shirt.,shirt.
132,"00:08:29,403","00:08:30,244",speaker_1,మీరేం order చేస్తారు?,meerem order chesthaaru?
133,"00:08:32,303","00:08:32,624",speaker_1,ఆహ్,aah
134,"00:08:33,283","00:08:34,163",speaker_1,ఇంకో americano చెప్పనా?,inko americano cheppanaa?
135,"00:08:37,244","00:08:37,604",speaker_2,వద్దు.,vadhdhu.
136,"00:08:38,283","00:08:39,043",speaker_2,నాది నేను చెప్పుకుంటా.,naadhi nenu cheppukuntaa.
137,"00:08:39,563","00:08:39,823",speaker_1,ఆహ్,aah
138,"00:08:41,144","00:08:41,913",speaker_2,Excuse me,Excuse me
139,"00:08:42,303","00:08:42,984",speaker_2,one hot chocolate.,one hot chocolate.
140,"00:08:43,344","00:08:43,844",speaker_4,ఆ yes ma'am.,aa yes ma'am.
141,"00:08:51,403","00:08:51,504",speaker_1,ఆ,aa
142,"00:08:52,004","00:08:53,183",speaker_1,అక్క ఇంకేమైనా చెప్పిందా?,akka inkemainaa cheppindhaa?
143,"00:08:53,244","00:08:53,594",speaker_2,మ్,m
144,"00:08:53,903","00:08:54,254",speaker_2,అదే,adhe
145,"00:08:54,803","00:08:55,454",speaker_2,"చాలా మంచోడు,","chaalaa manchodu,"
146,"00:08:55,764","00:08:56,984",speaker_2,నోట్లో వేలు పెట్టినా కొరకడు అని-,notlo velu pettinaa korakadu ani-
147,"00:08:57,033","00:08:57,553",speaker_1,అది సరేనండి,adhi sarenandi
148,"00:08:58,004","00:09:00,303",speaker_1,నా గొప్పలు కాకుండా ఇంకేమైనా చెప్పిందా అని అడుగుతున్నా.,naa goppalu kaakundaa inkemainaa cheppindhaa ani aduguthunnaa.
149,"00:09:01,313","00:09:02,323",speaker_2,"మ్ designer,","m designer,"
150,"00:09:02,484","00:09:03,094",speaker_2,బాగా సంపాదిస్తున్నాడు,baagaa sampaadhisthunnaadu
151,"00:09:03,484","00:09:05,033",speaker_2,blah blah blah అలాంటివే తప్ప,blah blah blah alaantive thappa
152,"00:09:05,244","00:09:06,163",speaker_2,పెద్దగా ఇంకేం చెప్పలేదు.,pedhdhagaa inkem cheppaledhu.
153,"00:09:06,663","00:09:07,764",speaker_1,ఓ అవును ఇంతకీ మీరేం చేస్తుంటారు?,o avunu inthakee meerem chesthuntaaru?
154,"00:09:08,683","00:09:08,864",speaker_2,హ్మ్!,hma్!
155,"00:09:10,583","00:09:11,194",speaker_2,నా గురించి,naa gurinchi
156,"00:09:12,144","00:09:13,104",speaker_2,మీకేం చెప్పలేదా మీ అక్క?,meekem cheppaledhaa mee akka?
157,"00:09:13,323","00:09:13,673",speaker_1,ఆహ్,aah
158,"00:09:13,844","00:09:14,194",speaker_1,లేదండి,ledhandi
159,"00:09:14,504","00:09:16,514",speaker_1,photo పెడితే ఏదో ఒక కారణం చెప్పి reject చేస్తానని,photo pedithe yedho oka kaaranam cheppi reject chesthaanani
160,"00:09:17,043","00:09:18,014",speaker_1,direct గా వెళ్లి కలవమన్నారు.,direct gaa velli kalavamannaaru.
161,"00:09:18,703","00:09:18,984",speaker_2,ఓహ్!,oh!
162,"00:09:20,344","00:09:20,644",speaker_2,so,so
163,"00:09:21,104","00:09:21,984",speaker_2,basically నేను ఉండేది,basically nenu undedhi
164,"00:09:22,183","00:09:22,533",speaker_2,బెంగళూరులో,bengaloorulo
165,"00:09:22,764","00:09:25,443",speaker_2,తెలుగు. ఇక్కడికి two weeks back ఏ shift అయ్యా.,thelugu. ikkadiki two weeks back ye shift ayyaa.
166,"00:09:25,754","00:09:26,104",speaker_2,ఆ,aa
167,"00:09:26,283","00:09:29,004",speaker_2,content writer గా work చేస్తున్నా. అది part time ఏ full time I,content writer gaa work chesthunnaa. adhi part time ye full time I
168,"00:09:29,053","00:09:29,553",speaker_2,am an influencer.,am an influencer.
169,"00:09:30,244","00:09:30,594",speaker_1,ఓహో,oho
170,"00:09:33,104","00:09:34,884",speaker_2,నిజంగా మీరు నన్ను Instagram లో ఎప్పుడూ చూడలేదా?,nijangaa meeru nannu Instagram lo yeppudoo choodaledhaa?
171,"00:09:35,403","00:09:37,704",speaker_1,అయ్యో sorry అండి నేను social media లో పెద్దగా active-,ayyo sorry andi nenu social media lo pedhdhagaa active-
172,"00:09:37,754","00:09:39,903",speaker_2,లేదు లేదు పర్లేదు it's okay. తర్వాత ఎప్పుడైనా చూడండి.,ledhu ledhu parledhu it's okay. tharvaatha yeppudainaa choodandi.
