index,start_time,end_time,speaker,original_telugu,transliteration,Actors
1,"00:00:10,000","00:00:10,349",speaker_0,గోవిందా,govindhaa,#Vatsala Rajagopal
2,"00:00:45,079","00:00:45,649",speaker_0,మన కస్తూరికి,mana kasthooriki,#Vatsala Rajagopal
3,"00:00:46,219","00:00:47,439",speaker_0,మగ పిల్లాడు పుట్టాడు రా,maga pillaadu puttaadu raa,#Vatsala Rajagopal
4,"00:00:47,619","00:00:50,190",speaker_1,ఎంత మంచి వార్త చెప్పావు అమ్మ ఆ పెరుగుమానుల దయవల్ల,yentha manchi vaartha cheppaavu amma aa perugumaanula dhayavalla,#Tanikella Bharani
5,"00:00:50,560","00:00:51,890",speaker_1,ఈ మూడో కాన్పు అయినా నిలబడింది.,ee moodo kaanpu ayinaa nilabadindhi.,#Tanikella Bharani
6,"00:00:52,179","00:00:52,770",speaker_0,అవును రా,avunu raa,#Vatsala Rajagopal
7,"00:00:52,979","00:00:54,170",speaker_0,నువ్వు పంచాంగం అది చూసుకుని,nuvvu panchaangam adhi choosukuni,#Vatsala Rajagopal
8,"00:00:54,600","00:00:56,539",speaker_0,నీ కొడుకును చూడటానికి రా ఉంటా మరి,nee kodukunu choodataaniki raa untaa mari,#Vatsala Rajagopal
9,"00:00:56,640","00:00:56,990",speaker_1,సరేనే,sarene,#Tanikella Bharani
10,"00:00:57,399","00:00:57,659",speaker_2,అమ్మ,amma,#Ragini
11,"00:00:58,899","00:01:00,130",speaker_2,కస్తూరి తాలూకు మీరేనా,kasthoori thaalooku meerenaa,#Ragini
12,"00:01:00,679","00:01:01,030",speaker_0,అవునమ్మా,avunammaa,#Vatsala Rajagopal
13,"00:01:01,520","00:01:02,190",speaker_0,తను నా కోడలే,thanu naa kodale,#Vatsala Rajagopal
14,"00:01:02,740","00:01:03,710",speaker_2,తనకు పుట్టిన బిడ్డ,thanaku puttina bidda,#Ragini
15,"00:01:03,899","00:01:04,250",speaker_2,చనిపోయాడమ్మా,chanipoyaadammaa,#Ragini
16,"00:01:05,260","00:01:06,260",speaker_0,ఏంటమ్మా నువ్వు చెప్పేది,yentammaa nuvvu cheppedhi,#Vatsala Rajagopal
17,"00:01:06,560","00:01:06,840",speaker_2,అవును,avunu,#Ragini
18,"00:01:07,480","00:01:08,209",speaker_2,బాబు శ్వాసకోశాలు,baabu shvaasakoshaalu,#Ragini
19,"00:01:08,659","00:01:09,009",speaker_2,మూసుకుపోయి,moosukupoyi,#Ragini
20,"00:01:14,799","00:01:15,149",speaker_0,దేవుడా,dhevudaa,#Vatsala Rajagopal
21,"00:01:16,480","00:01:17,579",speaker_0,ఇది మూడో ప్రసవం,idhi moodo prasavam,#Vatsala Rajagopal
22,"00:01:18,340","00:01:19,049",speaker_0,నిజం తెలిస్తే,nijam thelisthe,#Vatsala Rajagopal
23,"00:01:19,219","00:01:20,519",speaker_0,నా కోడలు పిచ్చిది అయిపోతుంది.,naa kodalu pichhidhi ayipothundhi.,#Vatsala Rajagopal
24,"00:01:21,120","00:01:21,849",speaker_2,ఊరుకోండి అమ్మ,oorukondi amma,#Ragini
25,"00:01:22,019","00:01:23,229",speaker_2,పోయిన వాళ్ళని తిరిగి తీసుకురాలేం,poyina vaallani thirigi theesukuraalem,#Ragini
26,"00:01:24,390","00:01:24,959",speaker_2,కానీ మీరు,kaanee meeru,#Ragini
27,"00:01:25,019","00:01:25,369",speaker_2,సరేనంటే,sarenante,#Ragini
28,"00:01:26,120","00:01:27,019",speaker_2,మరొక మార్గం ఉంది,maroka maargam undhi,#Ragini
29,"00:01:27,939","00:01:29,109",speaker_2,పక్క వాడిలో ఒక ఆవిడకి,pakka vaadilo oka aavidaki,#Ragini
30,"00:01:29,400","00:01:30,849",speaker_2,ఇందాకే ఇద్దరు మగ పిల్లలు పుట్టారు,indhaake idhdharu maga pillalu puttaaru,#Ragini
31,"00:01:33,579","00:01:34,669",speaker_2,చాలా కష్టాల్లో ఉన్నట్టుంది,chaalaa kashtaallo unnattundhi,#Ragini
32,"00:01:35,159","00:01:37,089",speaker_2,ఆవిడకు తెలియకుండా ఒక బిడ్డను మార్చి మీరు పెంచుకుంటే,aavidaku theliyakundaa oka biddanu maarchi meeru penchukunte,#Ragini
33,"00:01:37,560","00:01:38,769",speaker_2,అప్పుడు ఆవిడ కష్టము తగ్గుతుంది,appudu aavida kashtamu thagguthundhi,#Ragini
34,"00:01:39,319","00:01:40,709",speaker_2,మీ కోడలు ఆనందంగా ఉంటుంది,mee kodalu aanandhangaa untundhi,#Ragini
35,"00:01:40,980","00:01:41,329",speaker_2,ఏమంటారు.,yemantaaru.,#Ragini
36,"00:01:41,760","00:01:42,309",speaker_0,ఆ భగవంతుడు,aa bhagavanthudu,#Vatsala Rajagopal
37,"00:01:43,359","00:01:43,709",speaker_0,అర్ధాంతరంగా,ardhaantharangaa,#Vatsala Rajagopal
38,"00:01:44,200","00:01:44,829",speaker_0,కొన్ని తీసుకెళ్ళిపోతే,konni theesukellipothe,#Vatsala Rajagopal
39,"00:01:45,799","00:01:46,149",speaker_0,అడక్కుండానే,adakkundaane,#Vatsala Rajagopal
40,"00:01:46,640","00:01:46,989",speaker_0,కొన్నిస్తూ,konnisthoo,#Vatsala Rajagopal
41,"00:01:47,180","00:01:47,579",speaker_0,ఉంటాడు,untaadu,#Vatsala Rajagopal
42,"00:01:48,459","00:01:48,969",speaker_0,ఆ పిల్లాడ్ని,aa pillaadni,#Vatsala Rajagopal
43,"00:01:49,799","00:01:50,549",speaker_0,స్వామి ప్రసాదంలా,svaami prasaadhamlaa,#Vatsala Rajagopal
44,"00:01:51,420","00:01:51,769",speaker_0,భావిస్తాం,bhaavisthaam,#Vatsala Rajagopal
45,"00:02:11,879","00:02:12,339",speaker_1,ఛి ఛి,chi chi,#Tanikella Bharani
46,"00:02:12,389","00:02:12,489",speaker_1,ఛి,chi,#Tanikella Bharani
47,"00:02:13,120","00:02:13,870",speaker_1,ఆ ముక్కు చూసావుటే,aa mukku choosaavute,#Tanikella Bharani
48,"00:02:14,139","00:02:15,049",speaker_1,అచ్చం మా నాన్నగారి,achham maa naannagaari,#Tanikella Bharani
49,"00:02:15,360","00:02:16,659",speaker_1,పోలిక కదటే అమ్మ,polika kadhate amma,#Tanikella Bharani
50,"00:02:18,330","00:02:19,169",speaker_1,అదేమిటే పొట్టండాయిలా,adhemite pottandaayilaa,#Tanikella Bharani
51,"00:02:19,219","00:02:21,500",speaker_1,అలా తిప్పుతున్నావు తల కొంపతీసి కాదా ఏమిటి,alaa thipputhunnaavu thala kompatheesi kaadhaa yemiti,#Tanikella Bharani
52,"00:02:21,719","00:02:22,939",speaker_0,ఏమిటా అప్రచం మాటలు,yemitaa apracham maatalu,#Vatsala Rajagopal
53,"00:02:23,730","00:02:24,269",speaker_0,అచ్చుగుద్దినట్టు ఆయన,achhugudhdhinattu aayana,#Vatsala Rajagopal
54,"00:02:24,360","00:02:24,710",speaker_0,పోలికే,polike,#Vatsala Rajagopal
55,"00:02:25,000","00:02:25,319",speaker_1,అది,adhi,#Tanikella Bharani
56,"00:02:26,250","00:02:26,949",speaker_1,వజస్తంభం కంటలా,vajasthambham kantalaa,#Tanikella Bharani
57,"00:02:27,000","00:02:28,389",speaker_1,గలగల ఎలా నవ్వుతున్నాడో వెధవ,galagala yelaa navvuthunnaado vedhava,#Tanikella Bharani
58,"00:02:29,439","00:02:30,289",speaker_2,సారీ ఇందిరా గారు,saaree indhiraa gaaru,#Ragini
59,"00:02:30,659","00:02:32,090",speaker_2,రాత్రికి రాత్రే ఎందుకిలా జరిగిందో,raathriki raathre yendhukilaa jarigindho,#Ragini
60,"00:02:32,580","00:02:33,509",speaker_2,నాకు అర్థం కావట్లేదు,naaku artham kaavatledhu,#Ragini
61,"00:02:34,060","00:02:34,669",speaker_2,very unfortunate,very unfortunate,#Ragini
62,"00:02:35,419","00:02:35,930",speaker_2,ఆ దేవుడు,aa dhevudu,#Ragini
63,"00:02:36,580","00:02:38,080",speaker_2,నాకు ఇద్దరినీ పెంచే శక్తి లేదని,naaku idhdharinee penche shakti ledhani,#Ragini
64,"00:02:38,580","00:02:39,289",speaker_2,ఒకడ్ని తీసుకెళ్లిపోయినట్టున్నాడు,okadni theesukellipoyinattunnaadu,#Ragini
65,"00:02:40,699","00:02:41,049",speaker_2,వస్తానండి,vasthaanandi,#Ragini
66,"00:03:12,939","00:03:14,710",speaker_1,నక్షత్రం ప్రకారం వీడి పేరు నాతో మొదలవ్వాలి,nakshathram prakaaram veedi peru naatho modhalavvaali,#Tanikella Bharani
67,"00:03:15,039","00:03:16,150",speaker_1,మా నాన్నగారి పేరు నరసింహాచార్యులు,maa naannagaari peru narasimhaachaaryulu,#Tanikella Bharani
68,"00:03:16,620","00:03:17,750",speaker_1,అంచేత వీడి పేరు బృందావనం,anchetha veedi peru brundhaavanam,#Tanikella Bharani
69,"00:03:17,900","00:03:18,250",speaker_1,నరసింహాచార్యులు,narasimhaachaaryulu,#Tanikella Bharani
70,"00:03:18,699","00:03:19,239",speaker_1,రాయ్ నాన్న,raay naanna,#Tanikella Bharani
71,"00:03:19,289","00:03:19,639",speaker_0,అమ్మా,ammaa,#Vatsala Rajagopal
72,"00:03:22,979","00:03:25,849",speaker_0,అబ్బాయి నక్షత్రం ప్రకారం నాతో పేరు పెడితే దివ్యంగా ఉంటుందమ్మా,abbaayi nakshathram prakaaram naatho peru pedithe dhivyangaa untundhammaa,#Vatsala Rajagopal
73,"00:03:26,379","00:03:26,729",speaker_2,అయితే,ayithe,#Ragini
74,"00:03:27,000","00:03:27,750",speaker_2,ఆ లక్ష్మీ నరసింహస్వామి,aa laksha్mee narasimhasvaami,#Ragini
75,"00:03:28,000","00:03:28,560",speaker_2,పేరే పెట్టండి,pere pettandi,#Ragini
76,"00:03:28,800","00:03:29,150",speaker_0,సరేనమ్మా,sarenammaa,#Vatsala Rajagopal
77,"00:03:29,639","00:03:29,989",speaker_0,నరసింహ,narasimha,#Vatsala Rajagopal
78,"00:03:31,759","00:03:32,120",speaker_2,అమ్మా,ammaa,#Ragini
79,"00:03:32,840","00:03:33,189",speaker_2,నరసింహ,narasimha,#Ragini
80,"00:03:34,409","00:03:35,409",speaker_0,చార్లు ఒరేయ్,chaarlu orey,#Vatsala Rajagopal
81,"00:03:35,460","00:03:35,810",speaker_0,చార్లు,chaarlu,#Vatsala Rajagopal
82,"00:03:36,439","00:03:36,789",speaker_0,ఏమిట్రా,yemitraa,#Vatsala Rajagopal
83,"00:03:37,400","00:03:38,030",speaker_0,పైకి చూస్తున్నావ్,paiki choosthunnaav,#Vatsala Rajagopal
84,"00:03:40,199","00:03:41,439",speaker_0,కోడిని చూస్తున్నావ్ ఏమిట్రా,kodini choosthunnaav yemitraa,#Vatsala Rajagopal
85,"00:03:41,680","00:03:42,030",speaker_3,ఏమిటోనేవ్వమ్మా,yemitonevvammaa,
86,"00:03:42,840","00:03:44,090",speaker_3,తను పొద్దున్న నుంచి చూస్తుంటే,thanu podhdhunna nunchi choosthunte,
87,"00:03:44,300","00:03:45,370",speaker_3,తినాలి తినాలి అనిపిస్తుంది,thinaali thinaali anipisthundhi,
88,"00:03:45,840","00:03:46,609",speaker_0,ఆ కోడినా,aa kodinaa,#Vatsala Rajagopal
89,"00:03:46,919","00:03:47,269",speaker_1,కోడే,kode,#Tanikella Bharani
90,"00:03:47,860","00:03:48,829",speaker_1,మీ అమ్మ కొడుకు మాడా,mee amma koduku maadaa,#Tanikella Bharani
91,"00:03:49,060","00:03:50,119",speaker_1,గుండుమే గుద్దేస్తాను వెధవా,gundume gudhdhesthaanu vedhavaa,#Tanikella Bharani
92,"00:03:50,169","00:03:50,959",speaker_0,అయ్యయ్యో ఏంటమ్మా అయితే,ayyayyo yentammaa ayithe,#Vatsala Rajagopal
93,"00:03:51,009","00:03:51,969",speaker_1,చూసావటమ్మా ఎలాంటి విరుద్ధమైన,choosaavatammaa yelaanti virudhdhamaina,#Tanikella Bharani
94,"00:03:52,099","00:03:52,750",speaker_1,కోరికలు కోరుకుంటున్నాడో,korikalu korukuntunnaado,#Tanikella Bharani
95,"00:03:53,300","00:03:55,430",speaker_1,వీడి వాలకం చూస్తుంటే మన వంశాన్ని భ్రష్టు పట్టించేసేలా,veedi vaalakam choosthunte mana vamshaanni bhrashtu pattincheselaa,#Tanikella Bharani
96,"00:03:55,659","00:03:55,759",speaker_1,ఉన్నాడు,unnaadu,#Tanikella Bharani
97,"00:03:55,800","00:03:57,650",speaker_0,ఊరుకోరా గోవిందం పాపం చిన్న పిల్లాడు,oorukoraa govindham paapam chinna pillaadu,#Vatsala Rajagopal
98,"00:03:57,879","00:03:58,659",speaker_0,వాడికేం తెలుసు,vaadikem thelusu,#Vatsala Rajagopal
99,"00:03:59,080","00:04:01,240",speaker_0,ఈరోజు నుంచి వాడిని స్వచ్ఛమైన బ్రాహ్మణుడిలా పెంచుతాను,eeroju nunchi vaadini svachhamaina braahmanudilaa penchuthaanu,#Vatsala Rajagopal
100,"00:04:01,360","00:04:02,129",speaker_1,బ్రాహ్మణుడి లాగానా,braahmanudi laagaanaa,#Tanikella Bharani
101,"00:04:02,560","00:04:04,039",speaker_1,కొంపతీసి బ్రాహ్మణుడు కాదా అయితే,kompatheesi braahmanudu kaadhaa ayithe,#Tanikella Bharani
102,"00:04:05,569","00:04:06,479","speaker_1, speaker_0",తలదించుకుంటున్నావేమిటి అబ్బా,thaladhinchukuntunnaavemiti abbaa,
103,"00:04:06,539","00:04:06,889",speaker_0,ఆపండి,aapandi,#Vatsala Rajagopal
104,"00:04:07,520","00:04:08,750",speaker_0,వీడికి ఆ వుడుకు కాస్త చేసేస్తే,veediki aa vuduku kaastha chesesthe,#Vatsala Rajagopal
105,"00:04:09,139","00:04:11,599",speaker_0,ఆ పాడూ ఆలోచనలు అవే పోతాయి ముంద ఏ ఏర్పాట్లు చూడండి,aa paadoo aalochanalu ave pothaayi mundha ye yerpaatlu choodandi,#Vatsala Rajagopal
106,"00:04:11,659","00:04:11,759",speaker_4,జై,jai,
107,"00:04:23,849","00:04:24,720",speaker_4,బోలో గణేష్,bolo ganesh,
108,"00:04:24,779","00:04:25,129",speaker_4,మహరాజ్,maharaaj,
109,"00:04:25,269","00:04:25,600",speaker_4,కి,ki,
110,"00:04:26,339","00:04:26,439",speaker_4,జై,jai,
111,"00:04:26,519","00:04:26,869",speaker_2,రేయ్,rey,#Ragini
